PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
Zm00001eb192230,Zm00001eb192230,Zm00001eb202100,Zm00001eb277700,Zm00001eb014110,Zm00001eb045780,Zm00001eb001560,Zm00001eb426230
Zm00001eb204210,Zm00001eb258010,Zm00001eb058860,Zm00001eb401400,Zm00001eb032940,Zm00001eb103730,Zm00001eb022050,Zm00001eb113170
Zm00001eb277700,Zm00001eb430620,Zm00001eb419530,Zm00001eb195100,Zm00001eb059050,Zm00001eb289320,Zm00001eb102470,Zm00001eb131190
Zm00001eb384860,Zm00001eb277700,Zm00001eb211960,Zm00001eb254960,Zm00001eb066630,Zm00001eb164580,Zm00001eb194740,Zm00001eb112250
Zm00001eb351150,Zm00001eb401400,Zm00001eb326840,Zm00001eb368580,Zm00001eb222050,Zm00001eb193280,Zm00001eb276250,Zm00001eb396970
Zm00001eb062910,Zm00001eb071890,Zm00001eb002570,Zm00001eb384970,Zm00001eb303060,Zm00001eb321890,Zm00001eb281180,Zm00001eb046210
Zm00001eb356130,Zm00001eb227990,Zm00001eb233720,Zm00001eb166100,Zm00001eb362650,Zm00001eb426260,Zm00001eb330530,Zm00001eb053220
Zm00001eb388080,Zm00001eb319220,Zm00001eb270630,Zm00001eb067730,Zm00001eb378340,Zm00001eb076810,Zm00001eb390710,Zm00001eb126980
Zm00001eb038610,Zm00001eb289980,Zm00001eb257300,Zm00001eb068210,Zm00001eb402940,Zm00001eb257750,Zm00001eb395060,Zm00001eb022050
Zm00001eb289980,Zm00001eb395470,Zm00001eb257310,Zm00001eb118090,Zm00001eb403550,Zm00001eb151650,Zm00001eb144570,Zm00001eb067730
Zm00001eb351770,Zm00001eb082560,Zm00001eb257750,Zm00001eb280790,Zm00001eb030420,Zm00001eb349510,Zm00001eb198820,Zm00001eb068210
Zm00001eb041140,Zm00001eb130000,Zm00001eb256120,Zm00001eb291850,Zm00001eb073810,Zm00001eb093490,Zm00001eb105040,Zm00001eb425840
Zm00001eb110020,Zm00001eb251980,Zm00001eb313490,Zm00001eb390710,Zm00001eb297760,Zm00001eb260190,Zm00001eb194210,Zm00001eb156040
