Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
PC1,5017799at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb192230,protein-serine_threonine phosphatase,PROTEIN PHOSPHATASE 2C 27-RELATED (PTHR13832:SF684),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),signal transduction(GO:0007165),nucleus(GO:0005634);cytoplasm(GO:0005737),SORBI_3005G087800;SORBI_3006G209400,LOC_Os04g04520,HORVU.MOREX.r3.2HG0202320,AT1G34750;AT2G30020
PC1,5017799at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb204210,,,,,,,SORBI_3005G087800;SORBI_3006G209400,LOC_Os04g04520,HORVU.MOREX.r3.2HG0202320,AT1G34750;AT2G30020
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb003660,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb016040,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb038610,,,,,,,SORBI_3001G003600,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.3HG0303800,AT2G04570;AT2G30310;AT5G33370
PC1,589535at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb039590,Histidine-containing phosphotransfer protein,HISTIDINE-CONTAINING PHOSPHOTRANSFER PROTEIN 1 (PTHR28242:SF47),,protein binding(GO:0005515);histidine phosphotransfer kinase activity(GO:0009927);protein histidine kinase binding(GO:0043424),phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736);positive regulation of cytokinin-activated signaling pathway(GO:0080038),nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829),SORBI_3009G202900,,HORVU.MOREX.r3.4HG0332600,AT3G21510
PC1,4925430at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb041140,,,,,,,SORBI_3003G302800;SORBI_3010G186300,,HORVU.MOREX.r3.1HG0017980,AT1G30270;AT3G17510;AT3G23000;AT5G07070
PC1,4999782at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb047520,Beta-glucuronosyltransferase GlcAT14A,"CORE-2_I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN (PTHR45719:SF4)",glycosyltransferase(PC00111),glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),double fertilization forming a zygote and endosperm(GO:0009567);pollen tube development(GO:0048868),membrane(GO:0016020),SORBI_3007G036800,,HORVU.MOREX.r3.2HG0159100,AT3G03690;AT3G15350
PC1,627709at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb058360,GNAT transcription factor,OS12G0561600 PROTEIN (PTHR43072:SF48),acetyltransferase(PC00038),"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",,,SORBI_3001G079600,LOC_Os03g07640,,AT2G30090
PC1,679576at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb058370,C2H2-type domain-containing protein,ZINC FINGER PROTEIN 1 (PTHR45988:SF91),C2H2 zinc finger transcription factor(PC00248),transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634),SORBI_3001G079500,,HORVU.MOREX.r3.5HG0512730,AT3G19580
PC1,648461at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb058940,Lectin-like receptor kinase 7,OS02G0299000 PROTEIN (PTHR27007:SF416),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);carbohydrate binding(GO:0030246),defense response to oomycetes(GO:0002229);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);defense response to bacterium(GO:0042742);negative regulation of response to salt stress(GO:1901001),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3002G025700,LOC_Os03g08230,HORVU.MOREX.r3.7HG0634830,
PC1,35153at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb062910,Ras-related protein RABA2c,RAS-RELATED PROTEIN RAB11A (PTHR47978:SF28),small GTPase(PC00208),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),,endosome(GO:0005768);Golgi apparatus(GO:0005794);endomembrane system(GO:0012505),SORBI_3001G031900;SORBI_3009G198700,LOC_Os01g07500,,AT1G01200;AT1G07410;AT1G16920
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb067730,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb068210,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb107190,,,,,,,SORBI_3001G063300;SORBI_3001G361300;SORBI_3008G053300,,HORVU.MOREX.r3.3HG0303750,AT2G38910;AT4G21940
PC1,4925430at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb110020,,,,,,,SORBI_3003G302800;SORBI_3010G186300,,HORVU.MOREX.r3.1HG0017980,AT1G30270;AT3G17510;AT3G23000;AT5G07070
PC1,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb110250,,,,,,,SORBI_3001G063300;SORBI_3001G361300;SORBI_3008G053300,,HORVU.MOREX.r3.3HG0303750,AT2G38910;AT4G21940
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb112170,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb117300,,,,,,,SORBI_3001G063300;SORBI_3001G361300;SORBI_3008G053300,,HORVU.MOREX.r3.3HG0303750,AT2G38910;AT4G21940
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb118090,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb134240,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb145890,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb167820,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb167830,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb194740,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb214630,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb225230,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb228140,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb264870,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,35153at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb277700,,,,,,,SORBI_3001G031900;SORBI_3009G198700,LOC_Os01g07500,,AT1G01200;AT1G07410;AT1G16920
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb281180,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb282430,,,,,,,SORBI_3001G080200;SORBI_3003G320800;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.1HG0025050;HORVU.MOREX.r3.2HG0112600;HORVU.MOREX.r3.2HG0112660;HORVU.MOREX.r3.2HG0112670;HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.5HG0494460,AT2G22420;AT2G37130;AT3G49110;AT4G11290;AT5G06720
PC1,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb289980,GDSL esterase_lipase,OS05G0468500 PROTEIN (PTHR45642:SF145),hydrolase(PC00121),"hydrolase activity, acting on ester bonds(GO:0016788)",,,SORBI_3001G003600,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.3HG0303800,AT2G04570;AT2G30310;AT5G33370
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb316130,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb326880,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,635367at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb339070,Reticulon-like protein,RETICULON-LIKE PROTEIN (PTHR10994:SF131),membrane traffic protein(PC00150),,response to bacterium(GO:0009617),endoplasmic reticulum membrane(GO:0005789),,LOC_Os07g01420,HORVU.MOREX.r3.1HG0083700,AT4G11220
PC1,128682at3193,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb351150,Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5,PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 (PTHR31165:SF59),,DNA binding(GO:0003677),mRNA transcription(GO:0009299);response to light stimulus(GO:0009416),nucleus(GO:0005634),SORBI_3009G170100,LOC_Os10g04780,,AT2G31160;AT5G28490
PC1,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb351770,,,,,,,SORBI_3001G003600,,HORVU.MOREX.r3.2HG0198640;HORVU.MOREX.r3.3HG0303800,AT2G04570;AT2G30310;AT5G33370
PC1,35153at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb356130,,,,,,,SORBI_3001G031900;SORBI_3009G198700,LOC_Os01g07500,,AT1G01200;AT1G07410;AT1G16920
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb361520,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb362650,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,35153at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb384860,,,,,,,SORBI_3001G031900;SORBI_3009G198700,LOC_Os01g07500,,AT1G01200;AT1G07410;AT1G16920
PC1,1873865at2759,4,Maize;Sorghum;Rice;Arabidopsis,Zm00001eb388080,Expansin,EXPANSIN-A20 (PTHR31867:SF99),,,syncytium formation(GO:0006949);plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020),SORBI_3003G128800,LOC_Os03g08220,,AT5G02260
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb402940,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,643341at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb403550,,,,,,,SORBI_3001G085300;SORBI_3001G265700;SORBI_3006G217900;SORBI_3007G038000,,HORVU.MOREX.r3.2HG0186650;HORVU.MOREX.r3.5HG0513800,AT1G09970;AT1G72300;AT2G02220;AT2G26330;AT5G62230
PC1,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb408020,,,,,,,SORBI_3001G063300;SORBI_3001G361300;SORBI_3008G053300,,HORVU.MOREX.r3.3HG0303750,AT2G38910;AT4G21940
PC1,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb429270,,,,,,,SORBI_3001G063300;SORBI_3001G361300;SORBI_3008G053300,,HORVU.MOREX.r3.3HG0303750,AT2G38910;AT4G21940
PC1,638084at2759,3,Maize;Sorghum;Barley,Zm00001eb001830,,,,,,,SORBI_3003G223100,,HORVU.MOREX.r3.7HG0636540,
PC1,590539at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb002610,,,,,,,SORBI_3001G030400,,,AT5G41260
PC1,627237at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb003170,,,,,,,SORBI_3001G032000;SORBI_3001G133900,,,AT1G12110;AT1G32450;AT1G52190;AT1G68570;AT3G45680;AT5G46050
PC1,139695at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb006020,,,,,,,SORBI_3001G438100,,,AT1G68530
PC1,203738at2759,3,Maize;Barley;Arabidopsis,Zm00001eb007310,CASP-like protein 5A2,CASP-LIKE PROTEIN 5A1 (PTHR32021:SF1),,,,plasma membrane(GO:0005886);membrane(GO:0016020),,,HORVU.MOREX.r3.5HG0502190,AT2G37200
PC1,139695at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb008920,,,,,,,SORBI_3001G438100,,,AT1G68530
PC1,139695at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb010500,,,,,,,SORBI_3001G438100,,,AT1G68530
PC1,311215at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb015120,,,,,,,SORBI_3002G423300,,,AT5G49620
PC1,5004521at2759,3,Maize;Sorghum;Barley,Zm00001eb016920,Beta-amylase,BETA-AMYLASE (PTHR31352:SF32),,"beta-amylase activity(GO:0016161);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",polysaccharide catabolic process(GO:0000272);starch catabolic process(GO:0005983),,SORBI_3001G226600,,HORVU.MOREX.r3.4HG0412150,
PC1,4917248at2759,3,Maize;Barley;Arabidopsis,Zm00001eb017290,,,,,,,,,HORVU.MOREX.r3.6HG0631810;HORVU.MOREX.r3.7HG0752890,AT1G10900
PC1,650895at3193,3,Maize;Barley;Arabidopsis,Zm00001eb019240,,,,,,,,,HORVU.MOREX.r3.5HG0486750,AT1G47380;AT1G68410
PC1,549788at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb020730,Uncharacterized protein,,,,,,SORBI_3001G328800,,,AT5G67390
PC1,171627at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb029220,Dof zinc finger protein,DOF ZINC FINGER PROTEIN (PTHR31992:SF75),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634),SORBI_3009G014400,,,AT3G21270
PC1,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb030420,,,,,,,SORBI_3003G420500,,,AT5G57110
PC1,5006073at2759,3,Maize;Barley;Arabidopsis,Zm00001eb034990,ABC transporter C family member 10,ABC TRANSPORTER C FAMILY MEMBER 10 (PTHR24223:SF459),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),membrane(GO:0016020),,,HORVU.MOREX.r3.2HG0195130,AT3G59140
PC1,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb035840,,,,,,,SORBI_3003G420500,,,AT5G57110
PC1,718954at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb037360,Ankyrin repeat family protein,ANKYRIN REPEAT FAMILY PROTEIN (PTHR24186:SF8),phosphatase modulator(PC00184),,,plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3002G266000,,,AT2G31820
PC1,2174516at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb045340,,,,,,,SORBI_3005G037000,,,AT1G34540
PC1,788495at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb048420,,,,,,,SORBI_3002G180000,,,AT1G76360;AT2G02800;AT2G45910;AT5G15080
PC1,434872at2759,3,Maize;Barley;Arabidopsis,Zm00001eb051450,Cyclin-like domain-containing protein,CYCLIN-D5-1 (PTHR10177:SF400),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538),G1/S transition of mitotic cell cycle(GO:0000082);cell division(GO:0051301),cyclin-dependent protein kinase holoenzyme complex(GO:0000307);nucleus(GO:0005634);cytoplasm(GO:0005737),,,HORVU.MOREX.r3.4HG0343000,AT4G37630
PC1,4917248at2759,3,Maize;Barley;Arabidopsis,Zm00001eb054190,,,,,,,,,HORVU.MOREX.r3.6HG0631810;HORVU.MOREX.r3.7HG0752890,AT1G10900
PC1,4782124at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb057860,Cyclic nucleotide-gated ion channel 2,CYCLIC NUCLEOTIDE-GATED ION CHANNEL 2 (PTHR45651:SF50),ligand-gated ion channel(PC00141),,monoatomic ion transport(GO:0006811);monoatomic ion transmembrane transport(GO:0034220),membrane(GO:0016020),SORBI_3003G317700,,,AT3G17700;AT5G15410
PC1,157436at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb058970,Formin-like protein 18,EXPRESSED PROTEIN (PTHR31317:SF6),,,,,SORBI_3001G074400,,,AT1G10020;AT4G29310
PC1,4972322at2759,3,Maize;Barley;Arabidopsis,Zm00001eb059310,Mitochondrial import inner membrane translocase subunit TIM14,OS03G0776900 PROTEIN (PTHR12763:SF42),,ATPase activator activity(GO:0001671),protein import into mitochondrial matrix(GO:0030150),"PAM complex, Tim23 associated import motor(GO:0001405);mitochondrial inner membrane(GO:0005743);endoplasmic reticulum(GO:0005783)",,,HORVU.MOREX.r3.5HG0514290,AT2G35795
PC1,600787at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb059460,BHLH domain-containing protein,TRANSCRIPTION FACTOR PHYTOCHROME INTERACTING FACTOR-LIKE 13 (PTHR45855:SF17),DNA-binding transcription factor(PC00218),DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634),SORBI_3006G217800,,,AT3G59060
PC1,4804397at2759,3,Maize;Rice;Arabidopsis,Zm00001eb060640,,,,,,,,LOC_Os05g01690,,AT3G04780;AT3G08710
PC1,741905at2759,3,Maize;Rice;Arabidopsis,Zm00001eb061310,Vesicle-associated membrane protein 722,OS03G0803000 PROTEIN (PTHR21136:SF218),SNARE protein(PC00034),,protein transport(GO:0015031);vesicle-mediated transport(GO:0016192),endosome(GO:0005768);plasma membrane(GO:0005886);membrane(GO:0016020);early endosome membrane(GO:0031901),,LOC_Os03g08030;LOC_Os10g01540,,AT5G11150
PC1,227017at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb062920,Permease I,OS03G0823800 PROTEIN (PTHR11119:SF84),transporter(PC00227),transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020),SORBI_3001G031700;SORBI_3003G303000,,,AT2G05760
PC1,191146at3193,3,Maize;Sorghum;Rice,Zm00001eb062930,Mitotic-spindle organizing protein 1A,MITOTIC-SPINDLE ORGANIZING PROTEIN 1 (PTHR28520:SF2),,,gamma-tubulin complex localization(GO:0033566);microtubule nucleation by interphase microtubule organizing center(GO:0051415);mitotic spindle assembly(GO:0090307),gamma-tubulin complex(GO:0000930);gamma-tubulin ring complex(GO:0000931);microtubule organizing center(GO:0005815);spindle(GO:0005819);interphase microtubule organizing center(GO:0031021),SORBI_3001G031400,LOC_Os03g08240,,
