Phenotype,species,snp,chr,pos,p,logp
pH,Arabidopsis,Chr2_4670787.0,2,4670787,6.41913e-11,10.1925238289097
pH,Arabidopsis,Chr2_4670844.0,2,4670844,6.41913e-11,10.1925238289097
pH,Arabidopsis,Chr2_4670846.0,2,4670846,6.41913e-11,10.1925238289097
pH,Arabidopsis,Chr5_25628715.0,5,25628715,1.383238e-10,9.85910308873093
pH,Arabidopsis,Chr4_5229095.0,4,5229095,1.396607e-09,8.85492578554163
pH,Arabidopsis,Chr2_4670829.0,2,4670829,1.451385e-09,8.83821736964561
pH,Arabidopsis,Chr5_24943180.0,5,24943180,1.736502e-08,7.76032471215831
pH,Arabidopsis,Chr2_7623407.0,2,7623407,9.461076e-08,7.02405946885311
pH,Arabidopsis,Chr5_5347658.0,5,5347658,1.276283e-07,6.89405301549652
pH,Arabidopsis,Chr2_7636620.0,2,7636620,1.489344e-07,6.82700497985226
pH,Arabidopsis,Chr2_7630427.0,2,7630427,1.819442e-07,6.74006178425551
pH,Arabidopsis,Chr2_7623355.0,2,7623355,1.907353e-07,6.71956892322834
pH,Arabidopsis,Chr2_7632702.0,2,7632702,2.160181e-07,6.66550985810467
pH,Arabidopsis,Chr1_4849214.0,1,4849214,2.26126e-07,6.64564949954165
pH,Arabidopsis,Chr5_5347866.0,5,5347866,2.374024e-07,6.62451489489496
pH,Arabidopsis,Chr1_5616158.0,1,5616158,2.644824e-07,6.57760322282425
pH,Arabidopsis,Chr5_25554421.0,5,25554421,3.250466e-07,6.48805437233781
pH,Arabidopsis,Chr5_25554337.0,5,25554337,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554582.0,5,25554582,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554630.0,5,25554630,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554631.0,5,25554631,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554813.0,5,25554813,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554816.0,5,25554816,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554818.0,5,25554818,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554819.0,5,25554819,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554893.0,5,25554893,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554919.0,5,25554919,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554922.0,5,25554922,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554931.0,5,25554931,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554991.0,5,25554991,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25554998.0,5,25554998,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555000.0,5,25555000,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555004.0,5,25555004,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555042.0,5,25555042,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555060.0,5,25555060,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555163.0,5,25555163,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555169.0,5,25555169,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555176.0,5,25555176,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555181.0,5,25555181,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555193.0,5,25555193,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555205.0,5,25555205,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_25555226.0,5,25555226,3.286644e-07,6.48324733492314
pH,Arabidopsis,Chr5_5316530.0,5,5316530,4.219052e-07,6.37478512188669
pH,Arabidopsis,Chr2_6777260.0,2,6777260,4.289621e-07,6.36758107725112
pH,Arabidopsis,Chr2_5885988.0,2,5885988,4.634504e-07,6.33399673866934
pH,Arabidopsis,Chr5_25554451.0,5,25554451,4.793014e-07,6.31939130246787
pH,Arabidopsis,Chr5_25554456.0,5,25554456,4.793014e-07,6.31939130246787
pH,Arabidopsis,Chr2_8767047.0,2,8767047,5.191215e-07,6.2847309839549
pH,Arabidopsis,Chr5_25556912.0,5,25556912,5.256725e-07,6.2792847420431
pH,Arabidopsis,Chr4_5941084.0,4,5941084,5.313877e-07,6.27458850239836
pH,Arabidopsis,Chr4_5942171.0,4,5942171,5.313877e-07,6.27458850239836
pH,Arabidopsis,Chr5_25556690.0,5,25556690,5.478515e-07,6.26133714492884
pH,Arabidopsis,Chr5_24088793.0,5,24088793,5.51219e-07,6.25867582112049
pH,Arabidopsis,Chr2_6777980.0,2,6777980,5.677595e-07,6.24583559024242
pH,Arabidopsis,Chr5_5320765.0,5,5320765,6.050958e-07,6.21817586151668
pH,Arabidopsis,Chr5_5326970.0,5,5326970,6.050958e-07,6.21817586151668
pH,Arabidopsis,Chr5_5327542.0,5,5327542,6.050958e-07,6.21817586151668
pH,Arabidopsis,Chr5_5327645.0,5,5327645,6.050958e-07,6.21817586151668
pH,Arabidopsis,Chr5_5328663.0,5,5328663,6.050958e-07,6.21817586151668
pH,Arabidopsis,Chr5_25555743.0,5,25555743,6.807838e-07,6.16699078731582
pH,Arabidopsis,Chr5_2487917.0,5,2487917,6.888556e-07,6.16187180667827
pH,Arabidopsis,Chr5_2487980.0,5,2487980,6.888556e-07,6.16187180667827
pH,Arabidopsis,Chr5_5326451.0,5,5326451,7.097319e-07,6.14890567429398
pH,Arabidopsis,Chr2_7436439.0,2,7436439,8.48301e-07,6.07145002104004
pH,Arabidopsis,Chr5_25556913.0,5,25556913,8.592224e-07,6.06589440940338
pH,Arabidopsis,Chr2_7422151.0,2,7422151,8.736307e-07,6.05867211295627
pH,Arabidopsis,Chr5_25555269.0,5,25555269,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555338.0,5,25555338,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555345.0,5,25555345,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555366.0,5,25555366,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555418.0,5,25555418,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555445.0,5,25555445,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555703.0,5,25555703,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555718.0,5,25555718,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555875.0,5,25555875,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555886.0,5,25555886,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25555894.0,5,25555894,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556045.0,5,25556045,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556061.0,5,25556061,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556066.0,5,25556066,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556177.0,5,25556177,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556190.0,5,25556190,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556208.0,5,25556208,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556225.0,5,25556225,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556270.0,5,25556270,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556272.0,5,25556272,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556332.0,5,25556332,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556465.0,5,25556465,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556477.0,5,25556477,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556541.0,5,25556541,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556594.0,5,25556594,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556666.0,5,25556666,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556668.0,5,25556668,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556669.0,5,25556669,8.917481e-07,6.04975780731666
pH,Arabidopsis,Chr5_25556728.0,5,25556728,8.917481e-07,6.04975780731666
