Phenotype,species,snp,chr,pos,p,logp
soilN,Arabidopsis,Chr2_6790599.0,2,6790599,8.702079e-13,12.060376978374
soilN,Arabidopsis,Chr2_6777260.0,2,6777260,4.03693e-12,11.3939487811513
soilN,Arabidopsis,Chr2_6790940.0,2,6790940,5.00075e-12,11.300964856377
soilN,Arabidopsis,Chr2_6766190.0,2,6766190,1.895282e-11,10.722326161985
soilN,Arabidopsis,Chr2_6772151.0,2,6772151,1.895282e-11,10.722326161985
soilN,Arabidopsis,Chr2_6776473.0,2,6776473,1.895282e-11,10.722326161985
soilN,Arabidopsis,Chr3_14481628.0,3,14481628,2.639853e-11,10.5784202561098
soilN,Arabidopsis,Chr3_14481616.0,3,14481616,3.639099e-11,10.4390061294732
soilN,Arabidopsis,Chr3_14481618.0,3,14481618,5.238248e-11,10.280813944154
soilN,Arabidopsis,Chr4_8883701.0,4,8883701,7.550951e-11,10.1219983479678
soilN,Arabidopsis,Chr4_11405588.0,4,11405588,1.414694e-10,9.84933748839623
soilN,Arabidopsis,Chr2_6767446.0,2,6767446,1.823265e-10,9.73915020480984
soilN,Arabidopsis,Chr2_6775564.0,2,6775564,1.823265e-10,9.73915020480984
soilN,Arabidopsis,Chr2_17534085.0,2,17534085,1.939691e-10,9.71226744928801
soilN,Arabidopsis,Chr2_17536102.0,2,17536102,1.939691e-10,9.71226744928801
soilN,Arabidopsis,Chr2_17540824.0,2,17540824,1.939691e-10,9.71226744928801
soilN,Arabidopsis,Chr5_11733352.0,5,11733352,2.048566e-10,9.68855003953409
soilN,Arabidopsis,Chr2_6768389.0,2,6768389,2.357327e-10,9.62758016951417
soilN,Arabidopsis,Chr2_6777980.0,2,6777980,3.01353e-10,9.52092448072847
soilN,Arabidopsis,Chr4_8883346.0,4,8883346,3.385461e-10,9.47038218484466
soilN,Arabidopsis,Chr2_6770624.0,2,6770624,4.914818e-10,9.30849255983778
soilN,Arabidopsis,Chr2_6787204.0,2,6787204,5.830921e-10,9.23426284256052
soilN,Arabidopsis,Chr1_15148910.0,1,15148910,6.483697e-10,9.18817728905837
soilN,Arabidopsis,Chr2_6767803.0,2,6767803,1.042994e-09,8.981718189919
soilN,Arabidopsis,Chr2_10336188.0,2,10336188,1.154076e-09,8.93776559040576
soilN,Arabidopsis,Chr2_10336201.0,2,10336201,1.154076e-09,8.93776559040576
soilN,Arabidopsis,Chr2_10336210.0,2,10336210,1.154076e-09,8.93776559040576
soilN,Arabidopsis,Chr1_2359030.0,1,2359030,1.302219e-09,8.88531597237803
soilN,Arabidopsis,Chr2_17531555.0,2,17531555,1.39993e-09,8.85389367958874
soilN,Arabidopsis,Chr2_6787742.0,2,6787742,1.444739e-09,8.84021060349421
soilN,Arabidopsis,Chr3_15790219.0,3,15790219,1.52008e-09,8.81813355505241
soilN,Arabidopsis,Chr5_11729558.0,5,11729558,2.203769e-09,8.65683393036609
soilN,Arabidopsis,Chr3_15957222.0,3,15957222,2.404703e-09,8.61893855481038
soilN,Arabidopsis,Chr5_10048087.0,5,10048087,2.771626e-09,8.55726537330068
soilN,Arabidopsis,Chr1_2359050.0,1,2359050,3.161809e-09,8.50006436867055
soilN,Arabidopsis,Chr2_5779541.0,2,5779541,3.539558e-09,8.45105096682897
soilN,Arabidopsis,Chr2_6795109.0,2,6795109,4.778933e-09,8.32066905818694
soilN,Arabidopsis,Chr2_6795089.0,2,6795089,4.983102e-09,8.30250022308707
soilN,Arabidopsis,Chr2_5714325.0,2,5714325,5.00108e-09,8.30093619818565
soilN,Arabidopsis,Chr4_8887781.0,4,8887781,5.472147e-09,8.26184224454245
soilN,Arabidopsis,Chr4_8889395.0,4,8889395,5.472147e-09,8.26184224454245
soilN,Arabidopsis,Chr4_8889837.0,4,8889837,5.472147e-09,8.26184224454245
soilN,Arabidopsis,Chr4_8890894.0,4,8890894,5.472147e-09,8.26184224454245
soilN,Arabidopsis,Chr3_18638963.0,3,18638963,6.091028e-09,8.21530940407475
soilN,Arabidopsis,Chr4_8895677.0,4,8895677,7.774505e-09,8.10932725279786
soilN,Arabidopsis,Chr1_2359287.0,1,2359287,7.996848e-09,8.09708115875185
soilN,Arabidopsis,Chr4_2486439.0,4,2486439,1.00233e-08,7.99898927089984
soilN,Arabidopsis,Chr4_2492681.0,4,2492681,1.00233e-08,7.99898927089984
soilN,Arabidopsis,Chr2_5776774.0,2,5776774,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5777148.0,2,5777148,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5779312.0,2,5779312,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5781130.0,2,5781130,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5781591.0,2,5781591,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5781984.0,2,5781984,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5783937.0,2,5783937,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5785856.0,2,5785856,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5786680.0,2,5786680,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5787351.0,2,5787351,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5788473.0,2,5788473,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5788549.0,2,5788549,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5794927.0,2,5794927,1.022163e-08,7.99047984357904
soilN,Arabidopsis,Chr2_5792201.0,2,5792201,1.198878e-08,7.92122500924691
soilN,Arabidopsis,Chr2_6794729.0,2,6794729,1.314487e-08,7.88124370461748
soilN,Arabidopsis,Chr1_1162312.0,1,1162312,1.349047e-08,7.8699729195015
soilN,Arabidopsis,Chr2_17670870.0,2,17670870,1.519382e-08,7.8183330229541
soilN,Arabidopsis,Chr4_8920626.0,4,8920626,1.626404e-08,7.78877156625898
soilN,Arabidopsis,Chr3_12658939.0,3,12658939,1.800371e-08,7.74463799120202
soilN,Arabidopsis,Chr3_14743092.0,3,14743092,1.886248e-08,7.72440120770114
soilN,Arabidopsis,Chr3_14743999.0,3,14743999,1.886248e-08,7.72440120770114
