Taxa,Long,Lat,Species,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,PC1,PC2,PC3,aridity_index,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized
88,0.683333,47.4,Arabidopsis,11.45764542,8.843708038,37.81867599,555.3560181,25.1760006,1.791499972,23.3845005,5.706250191,18.4907074,18.4907074,4.981249809,676,68,40,14.46601009,195,138,138,192,-1.628343453,1.59239929,-1.50320777,0.6313,63,539, NA, NA
108,-4.06667,48.5167,Arabidopsis,11.14618778,6.338791847,37.73089981,387.2242126,20.74150085,3.941499949,16.80000114,7.708208084,15.96008396,16.13212585,6.833749771,1070,131,48,32.68798447,382,161,188,368,-5.114514384,-0.024134051,-0.53828149,1.3052,61,516, NA, NA
139,-4.06667,48.5167,Arabidopsis,11.14618778,6.338791847,37.73089981,387.2242126,20.74150085,3.941499949,16.80000114,7.708208084,15.96008396,16.13212585,6.833749771,1070,131,48,32.68798447,382,161,188,368,-5.114514384,-0.024134051,-0.53828149,1.3052,61,516, NA, NA
159,3.93333,47.35,Arabidopsis,9.729520798,8.270124435,33.8353653,598.2340698,23.52700043,-0.915250003,24.44225121,3.549208164,5.592916489,17.23950005,2.523416519,824,78,57,10.74741077,226,182,204,212,-1.752342906,-0.848116561,-0.994354263,0.9627,63,788,0.61393708,0.259354115
265,-1.16667,44.65,Arabidopsis,12.96099281,9.325713158,42.00522232,475.7623901,24.94079018,2.739473581,22.20131683,8.134320259,18.78004456,18.91271973,7.397697449,969,117,43,27.67941093,330,160,191,299,-3.855294212,1.551423926,0.425032897,0.9189, NA, NA, NA, NA
350,4.11667,46.6667,Arabidopsis,10.34045792,8.925624847,34.98838806,619.9864502,24.89374924,-0.61650002,25.51025009,18.15670776,6.228583336,18.15670776,2.918874979,797,81,50,15.18571854,221,158,221,184,-0.951273401,-0.031762731,0.023947604,0.7802,60,551,0.61393708,0.259354115
351,4.11667,46.6667,Arabidopsis,10.34045792,8.925624847,34.98838806,619.9864502,24.89374924,-0.61650002,25.51025009,18.15670776,6.228583336,18.15670776,2.918874979,797,81,50,15.18571854,221,158,221,184,-0.951273401,-0.031762731,0.023947604,0.7802,60,551,0.61393708,0.259354115
403,16.2667,49.3667,Arabidopsis,7.357791424,8.322750092,30.26867294,733.4036255,22.55374908,-4.942500114,27.49625015,16.29429245,-0.360500008,16.29429245,-1.680458307,557,84,26,42.84936523,226,82,226,84,1.454573012,-0.310823428,-0.584246282,0.5988,58,605,0.595904589,0.108668901
410,16.3497,49.4211,Arabidopsis,7.565625191,8.094124794,29.87809372,730.2456055,22.45224953,-4.638249874,27.09049988,16.4800415,-0.127166614,16.4800415,-1.42083323,552,84,25,43.2153511,224,80,224,83,1.421670975,-0.239276643,-0.657666545,0.5875,54,653,0.595904589,0.108668901
424,16.2815,49.4112,Arabidopsis,7.357791424,8.322750092,30.26867294,733.4036255,22.55374908,-4.942500114,27.49625015,16.29429245,-0.360500008,16.29429245,-1.680458307,557,84,26,42.84936523,226,82,226,84,1.454573012,-0.310823428,-0.584246282,0.6422,64,556,0.595904589,0.108668901
428,16.232,49.403,Arabidopsis,7.357791424,8.322750092,30.26867294,733.4036255,22.55374908,-4.942500114,27.49625015,16.29429245,-0.360500008,16.29429245,-1.680458307,557,84,26,42.84936523,226,82,226,84,1.454573012,-0.310823428,-0.584246282,0.6409,66,669,0.595904589,0.108668901
430,15.5,47,Arabidopsis,8.932916641,9.629166603,32.29259109,767.9335327,24.38050079,-5.438000202,29.81850052,18.15262413,-0.77229172,18.15262413,-0.77229172,885,121,28,43.18821716,356,109,356,109,0.244960264,-0.777332734,2.021846672,0.9357, NA, NA, NA, NA
470,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
476,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
484,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
504,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
506,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
531,-87.735,40.8313,Arabidopsis,10.20990658,11.534729,29.35512352,1027.154907,29.5795002,-9.714249611,39.29375076,20.30633354,-3.142708302,22.2998333,-3.142708302,971,104,40,27.28920937,310,151,299,151,1.775761181,-0.680667047,4.042834367,0.8531,66,895, NA, NA
544,-73.2089,40.9076,Arabidopsis,11.21104717,9.107820511,27.88152122,869.6807861,27.78102493,-4.885128021,32.66615295,9.617948532,19.34572601,21.85307693,0.439914554,1097,104,78,9.081986427,299,258,262,264,-1.878678299,-1.432686238,2.654220533,0.8983, NA, NA, NA, NA
546,-73.2089,40.9076,Arabidopsis,11.21104717,9.107820511,27.88152122,869.6807861,27.78102493,-4.885128021,32.66615295,9.617948532,19.34572601,21.85307693,0.439914554,1097,104,78,9.081986427,299,258,262,264,-1.878678299,-1.432686238,2.654220533,0.8983, NA, NA, NA, NA
628,-72.9069,40.7777,Arabidopsis,11.18298626,8.971528053,27.86549377,858.3584595,27.55463028,-4.64120388,32.19583511,3.117206573,19.11396599,21.70871925,0.62716049,1067,103,74,11.1865139,290,237,248,272,-1.938931673,-1.209635472,2.09565589,0.9005,46,975, NA, NA
630,-72.9069,40.7777,Arabidopsis,11.18298626,8.971528053,27.86549377,858.3584595,27.55463028,-4.64120388,32.19583511,3.117206573,19.11396599,21.70871925,0.62716049,1067,103,74,11.1865139,290,237,248,272,-1.938931673,-1.209635472,2.09565589,0.9005,46,975, NA, NA
