PC1_Arabidopsis,PC1_Barley,PC1_Rice,PC1_Maize,PC1_Sorghum,PC2_Arabidopsis,PC2_Barley,PC2_Rice,PC2_Maize,PC2_Sorghum,PC3_Arabidopsis,PC3_Barley,PC3_Rice,PC3_Maize,PC3_Sorghum,pH_Arabidopsis,pH_Barley,pH_Rice,pH_Maize,pH_Sorghum,soilN_Arabidopsis,soilN_Barley,soilN_Rice,soilN_Maize,soilN_Sorghum,AM_rel_Arabidopsis,AM_rel_Barley,AM_rel_Rice,AM_rel_Maize,AM_rel_Sorghum,AM_roots_Arabidopsis,AM_roots_Barley,AM_roots_Rice,AM_roots_Maize,AM_roots_Sorghum,aridity_Arabidopsis,aridity_Barley,aridity_Rice,aridity_Maize,aridity_Sorghum
AT1G01200,HORVU.MOREX.r3.1HG0002100,LOC_Os01g01019,Zm00001eb001830,SORBI_3001G003300,AT1G02400,HORVU.MOREX.r3.1HG0004220,LOC_Os01g01210,Zm00001eb001560,SORBI_3001G021500,AT1G01030,HORVU.MOREX.r3.1HG0002660,LOC_Os01g01210,Zm00001eb001370,SORBI_3001G003300,AT1G01120,HORVU.MOREX.r3.1HG0002320,LOC_Os01g01019,Zm00001eb001240,SORBI_3001G023800,AT1G01620,HORVU.MOREX.r3.1HG0000070,LOC_Os01g01790,Zm00001eb000390,SORBI_3001G040300,AT1G01520,HORVU.MOREX.r3.1HG0013050,LOC_Os01g06330,Zm00001eb000470,SORBI_3001G038700,AT1G01200,HORVU.MOREX.r3.1HG0002020,LOC_Os01g01560,Zm00001eb000660,SORBI_3001G003500,AT1G01120,HORVU.MOREX.r3.1HG0001050,LOC_Os01g01390,Os07g0657900,SORBI_3001G003500
AT1G02330,HORVU.MOREX.r3.1HG0004220,LOC_Os01g01070,Zm00001eb001840,SORBI_3001G003400,AT1G02880,HORVU.MOREX.r3.1HG0005040,LOC_Os01g01790,Zm00001eb001710,SORBI_3001G021700,AT1G01120,HORVU.MOREX.r3.1HG0006210,LOC_Os01g01390,Zm00001eb001990,SORBI_3001G003400,AT1G01340,HORVU.MOREX.r3.1HG0002330,LOC_Os01g01070,Zm00001eb001370,SORBI_3001G025700,AT1G01650,HORVU.MOREX.r3.1HG0002870,LOC_Os01g08120,Zm00001eb000660,SORBI_3001G041400,AT1G02400,HORVU.MOREX.r3.1HG0019330,LOC_Os01g06680,Zm00001eb000480,SORBI_3001G050100,AT1G02130,HORVU.MOREX.r3.1HG0004310,LOC_Os01g03190,Zm00001eb001260,SORBI_3001G003600,AT1G01490,HORVU.MOREX.r3.1HG0013220,LOC_Os01g01410,Zm00001eb000660,SORBI_3001G003600
AT1G02400,HORVU.MOREX.r3.1HG0011020,LOC_Os01g01080,Zm00001eb001990,SORBI_3001G003600,AT1G03730,HORVU.MOREX.r3.1HG0008130,LOC_Os01g05870,Zm00001eb001830,SORBI_3001G032700,AT1G01230,HORVU.MOREX.r3.1HG0006570,LOC_Os01g02190,Zm00001eb002470,SORBI_3001G003600,AT1G02780,HORVU.MOREX.r3.1HG0002870,LOC_Os01g01115,Zm00001eb001780,SORBI_3001G025900,AT1G02330,HORVU.MOREX.r3.1HG0003110,LOC_Os01g08320,Zm00001eb001940,SORBI_3001G041500,AT1G03780,HORVU.MOREX.r3.1HG0047980,LOC_Os01g06770,Zm00001eb001560,SORBI_3001G050300,AT1G02880,HORVU.MOREX.r3.1HG0008860,LOC_Os01g06660,Zm00001eb001270,SORBI_3001G066700,AT1G02270,HORVU.MOREX.r3.1HG0014340,LOC_Os01g01500,Zm00001eb000700,SORBI_3002G190700
AT1G02780,HORVU.MOREX.r3.1HG0012340,LOC_Os01g01295,Zm00001eb002250,SORBI_3001G012500,AT1G03870,HORVU.MOREX.r3.1HG0014350,LOC_Os01g06090,Zm00001eb001840,SORBI_3001G032800,AT1G01620,HORVU.MOREX.r3.1HG0012340,LOC_Os01g02240,Zm00001eb002570,SORBI_3001G016200,AT1G03010,HORVU.MOREX.r3.1HG0003080,LOC_Os01g01190,Zm00001eb002250,SORBI_3001G026200,AT1G02830,HORVU.MOREX.r3.1HG0005040,LOC_Os01g08370,Zm00001eb002250,SORBI_3001G041600,AT1G03905,HORVU.MOREX.r3.1HG0049580,LOC_Os01g07020,Zm00001eb002270,SORBI_3001G050500,AT1G02930,HORVU.MOREX.r3.1HG0013050,LOC_Os01g06740,Zm00001eb001280,SORBI_3001G066900,AT1G02305,HORVU.MOREX.r3.1HG0040810,LOC_Os01g01710,Zm00001eb001950,SORBI_3002G268100
AT1G02880,HORVU.MOREX.r3.1HG0017980,LOC_Os01g01302,Zm00001eb002270,SORBI_3001G019300,AT1G04430,HORVU.MOREX.r3.1HG0014680,LOC_Os01g07080,Zm00001eb002320,SORBI_3001G033000,AT1G02000,HORVU.MOREX.r3.1HG0018190,LOC_Os01g02830,Zm00001eb003210,SORBI_3001G016700,AT1G04370,HORVU.MOREX.r3.1HG0003950,LOC_Os01g01280,Zm00001eb003000,SORBI_3001G026300,AT1G03010,HORVU.MOREX.r3.1HG0005090,LOC_Os01g09520,Zm00001eb002570,SORBI_3001G041700,AT1G04120,HORVU.MOREX.r3.1HG0049610,LOC_Os01g07080,Zm00001eb002290,SORBI_3001G125300,AT1G03010,HORVU.MOREX.r3.1HG0013220,LOC_Os01g06750,Zm00001eb001560,SORBI_3001G067000,AT1G03680,HORVU.MOREX.r3.1HG0041600,LOC_Os01g01760,Zm00001eb003540,SORBI_3003G027700
AT1G02920,HORVU.MOREX.r3.1HG0025050,LOC_Os01g01320,Zm00001eb002290,SORBI_3001G030400,AT1G04680,HORVU.MOREX.r3.1HG0018150,LOC_Os01g08160,Zm00001eb002470,SORBI_3001G033200,AT1G02030,HORVU.MOREX.r3.1HG0018590,LOC_Os01g03010,Zm00001eb004550,SORBI_3001G023800,AT1G04610,HORVU.MOREX.r3.1HG0004560,LOC_Os01g01360,Zm00001eb003010,SORBI_3001G026400,AT1G03620,HORVU.MOREX.r3.1HG0005410,LOC_Os01g09550,Zm00001eb003140,SORBI_3001G042500,AT1G04500,HORVU.MOREX.r3.1HG0049650,LOC_Os01g07170,Zm00001eb003350,SORBI_3001G125700,AT1G03680,HORVU.MOREX.r3.1HG0017310,LOC_Os01g06770,Zm00001eb001830,SORBI_3001G070800,AT1G03950,HORVU.MOREX.r3.1HG0043600,LOC_Os01g01790,Zm00001eb004420,SORBI_3003G307000
AT1G04270,HORVU.MOREX.r3.1HG0053620,LOC_Os01g01410,Zm00001eb002610,SORBI_3001G030500,AT1G04990,HORVU.MOREX.r3.1HG0019330,LOC_Os01g08320,Zm00001eb002610,SORBI_3001G041400,AT1G03250,HORVU.MOREX.r3.1HG0052130,LOC_Os01g05510,Zm00001eb005530,SORBI_3001G023900,AT1G05520,HORVU.MOREX.r3.1HG0005750,LOC_Os01g01410,Zm00001eb003020,SORBI_3001G026500,AT1G03630,HORVU.MOREX.r3.1HG0005750,LOC_Os01g09570,Zm00001eb003150,SORBI_3001G042800,AT1G04680,HORVU.MOREX.r3.1HG0052290,LOC_Os01g08500,Zm00001eb007000,SORBI_3001G125800,AT1G03980,HORVU.MOREX.r3.1HG0046700,LOC_Os01g07020,Zm00001eb002030,SORBI_3001G070900,AT1G04120,HORVU.MOREX.r3.1HG0044640,LOC_Os01g01840,Zm00001eb005700,SORBI_3003G427600
AT1G04340,HORVU.MOREX.r3.1HG0057440,LOC_Os01g01790,Zm00001eb003170,SORBI_3001G030600,AT1G05670,HORVU.MOREX.r3.1HG0019340,LOC_Os01g08410,Zm00001eb003440,SORBI_3001G041500,AT1G03620,HORVU.MOREX.r3.1HG0052290,LOC_Os01g05600,Zm00001eb006350,SORBI_3001G024100,AT1G06770,HORVU.MOREX.r3.1HG0005790,LOC_Os01g01780,Zm00001eb003030,SORBI_3001G026800,AT1G04030,HORVU.MOREX.r3.1HG0005790,LOC_Os01g09590,Zm00001eb003170,SORBI_3001G043400,AT1G07530,HORVU.MOREX.r3.1HG0054020,LOC_Os01g09110,Zm00001eb007020,SORBI_3001G161300,AT1G04990,HORVU.MOREX.r3.1HG0058280,LOC_Os01g07080,Zm00001eb002040,SORBI_3001G071000,AT1G04370,HORVU.MOREX.r3.1HG0052290,LOC_Os01g02090,Zm00001eb012190,SORBI_3004G083000
AT1G04370,HORVU.MOREX.r3.1HG0067040,LOC_Os01g05870,Zm00001eb003660,SORBI_3001G030900,AT1G05870,HORVU.MOREX.r3.1HG0022910,LOC_Os01g08660,Zm00001eb003540,SORBI_3001G041800,AT1G03630,HORVU.MOREX.r3.1HG0052350,LOC_Os01g05870,Zm00001eb007600,SORBI_3001G027900,AT1G06890,HORVU.MOREX.r3.1HG0007690,LOC_Os01g01790,Zm00001eb003230,SORBI_3001G027000,AT1G04290,HORVU.MOREX.r3.1HG0006440,LOC_Os01g09640,Zm00001eb003230,SORBI_3001G043900,AT1G08230,HORVU.MOREX.r3.1HG0054280,LOC_Os01g09130,Zm00001eb008140,SORBI_3001G161400,AT1G06220,HORVU.MOREX.r3.1HG0066110,LOC_Os01g07110,Zm00001eb002250,SORBI_3001G071700,AT1G04610,HORVU.MOREX.r3.1HG0054280,LOC_Os01g02110,Zm00001eb012270,SORBI_3004G166600
AT1G04610,HORVU.MOREX.r3.1HG0067070,LOC_Os01g06090,Zm00001eb005460,SORBI_3001G031400,AT1G05890,HORVU.MOREX.r3.1HG0046890,LOC_Os01g08750,Zm00001eb004020,SORBI_3001G042500,AT1G04030,HORVU.MOREX.r3.1HG0054180,LOC_Os01g05880,Zm00001eb007880,SORBI_3001G028100,AT1G06920,HORVU.MOREX.r3.1HG0011020,LOC_Os01g01800,Zm00001eb004000,SORBI_3001G030500,AT1G04430,HORVU.MOREX.r3.1HG0006570,LOC_Os02g01540,Zm00001eb003490,SORBI_3001G045000,AT1G08250,HORVU.MOREX.r3.1HG0058270,LOC_Os01g09140,Zm00001eb008930,SORBI_3001G208500,AT1G06410,HORVU.MOREX.r3.1HG0066850,LOC_Os01g07310,Zm00001eb002610,SORBI_3001G079200,AT1G04635,HORVU.MOREX.r3.1HG0054940,LOC_Os01g02320,Zm00001eb017520,SORBI_3004G276200
