panel,species,trait,value
A,Arabidopsis,PC1,38
B,Arabidopsis,PC1,5699
A,Arabidopsis,PC2,13
B,Arabidopsis,PC2,5108
A,Arabidopsis,PC3,29
B,Arabidopsis,PC3,5597
A,Arabidopsis,pH,6
B,Arabidopsis,pH,5102
A,Arabidopsis,soilN,64
B,Arabidopsis,soilN,5034
A,Arabidopsis,AM_rel,824
B,Arabidopsis,AM_rel,5613
A,Arabidopsis,AM_roots,1160
B,Arabidopsis,AM_roots,5617
A,Arabidopsis,aridity,436
B,Arabidopsis,aridity,5663
A,Barley,PC1,8
B,Barley,PC1,1270
A,Barley,PC2,1
B,Barley,PC2,1557
A,Barley,PC3,24
B,Barley,PC3,1629
A,Barley,pH,6
B,Barley,pH,1526
A,Barley,soilN,4
B,Barley,soilN,1636
A,Barley,AM_rel,9
B,Barley,AM_rel,1246
A,Barley,AM_roots,125
B,Barley,AM_roots,1153
A,Barley,aridity,1
B,Barley,aridity,807
A,Rice,PC1,602
B,Rice,PC1,8459
A,Rice,PC2,0
B,Rice,PC2,6859
A,Rice,PC3,10
B,Rice,PC3,8122
A,Rice,pH,383
B,Rice,pH,9635
A,Rice,soilN,202
B,Rice,soilN,4851
A,Rice,AM_rel,268
B,Rice,AM_rel,6947
A,Rice,AM_roots,1536
B,Rice,AM_roots,5975
A,Rice,aridity,0
B,Rice,aridity,9209
A,Maize,PC1,1
B,Maize,PC1,3852
A,Maize,PC2,1
B,Maize,PC2,3953
A,Maize,PC3,0
B,Maize,PC3,3961
A,Maize,pH,0
B,Maize,pH,3937
A,Maize,soilN,1
B,Maize,soilN,4423
A,Maize,AM_rel,1
B,Maize,AM_rel,3791
A,Maize,AM_roots,5
B,Maize,AM_roots,3934
A,Maize,aridity,4
B,Maize,aridity,1573
A,Sorghum,PC1,6
B,Sorghum,PC1,1283
A,Sorghum,PC2,0
B,Sorghum,PC2,1151
A,Sorghum,PC3,80
B,Sorghum,PC3,554
A,Sorghum,pH,3
B,Sorghum,pH,1203
A,Sorghum,soilN,2
B,Sorghum,soilN,990
A,Sorghum,AM_rel,0
B,Sorghum,AM_rel,994
A,Sorghum,AM_roots,4
B,Sorghum,AM_roots,940
A,Sorghum,aridity,90
B,Sorghum,aridity,131
C,,PC1,1
D,,PC1,15
C,,PC2,1
D,,PC2,17
C,,PC3,1
D,,PC3,17
C,,pH,3
D,,pH,23
C,,soilN,2
D,,soilN,20
C,,AM_rel,1
D,,AM_rel,12
C,,AM_roots,2
D,,AM_roots,18
C,,aridity,0
D,,aridity,7
