Table,Column,N_genes
SuppTable11,PC1_Arabidopsis,5699
SuppTable11,PC1_Barley,1270
SuppTable11,PC1_Rice,8459
SuppTable11,PC1_Maize,3852
SuppTable11,PC1_Sorghum,1283
SuppTable11,PC2_Arabidopsis,5108
SuppTable11,PC2_Barley,1557
SuppTable11,PC2_Rice,6859
SuppTable11,PC2_Maize,3953
SuppTable11,PC2_Sorghum,1151
SuppTable11,PC3_Arabidopsis,5597
SuppTable11,PC3_Barley,1629
SuppTable11,PC3_Rice,8122
SuppTable11,PC3_Maize,3961
SuppTable11,PC3_Sorghum,554
SuppTable11,pH_Arabidopsis,5102
SuppTable11,pH_Barley,1526
SuppTable11,pH_Rice,9635
SuppTable11,pH_Maize,3937
SuppTable11,pH_Sorghum,1203
SuppTable11,soilN_Arabidopsis,5034
SuppTable11,soilN_Barley,1636
SuppTable11,soilN_Rice,4851
SuppTable11,soilN_Maize,4423
SuppTable11,soilN_Sorghum,990
SuppTable11,AM_rel_Arabidopsis,5613
SuppTable11,AM_rel_Barley,1246
SuppTable11,AM_rel_Rice,6947
SuppTable11,AM_rel_Maize,3791
SuppTable11,AM_rel_Sorghum,994
SuppTable11,AM_roots_Arabidopsis,5617
SuppTable11,AM_roots_Barley,1153
SuppTable11,AM_roots_Rice,5975
SuppTable11,AM_roots_Maize,3934
SuppTable11,AM_roots_Sorghum,940
SuppTable11,aridity_Arabidopsis,5663
SuppTable11,aridity_Barley,807
SuppTable11,aridity_Rice,9209
SuppTable11,aridity_Maize,1573
SuppTable11,aridity_Sorghum,131
SuppTable12,PC1_Arabidopsis,558
SuppTable12,PC1_Barley,249
SuppTable12,PC1_Rice,83
SuppTable12,PC1_Maize,750
SuppTable12,PC1_Sorghum,332
SuppTable12,PC2_Arabidopsis,499
SuppTable12,PC2_Barley,303
SuppTable12,PC2_Rice,68
SuppTable12,PC2_Maize,733
SuppTable12,PC2_Sorghum,293
SuppTable12,PC3_Arabidopsis,527
SuppTable12,PC3_Barley,309
SuppTable12,PC3_Rice,90
SuppTable12,PC3_Maize,749
SuppTable12,PC3_Sorghum,151
SuppTable12,pH_Arabidopsis,520
SuppTable12,pH_Barley,335
SuppTable12,pH_Rice,107
SuppTable12,pH_Maize,782
SuppTable12,pH_Sorghum,299
SuppTable12,soilN_Arabidopsis,498
SuppTable12,soilN_Barley,321
SuppTable12,soilN_Rice,48
SuppTable12,soilN_Maize,784
SuppTable12,soilN_Sorghum,275
SuppTable12,AM_rel_Arabidopsis,564
SuppTable12,AM_rel_Barley,257
SuppTable12,AM_rel_Rice,69
SuppTable12,AM_rel_Maize,696
SuppTable12,AM_rel_Sorghum,222
SuppTable12,AM_roots_Arabidopsis,566
SuppTable12,AM_roots_Barley,236
SuppTable12,AM_roots_Rice,83
SuppTable12,AM_roots_Maize,739
SuppTable12,AM_roots_Sorghum,229
SuppTable12,aridity_Arabidopsis,283
SuppTable12,aridity_Barley,121
SuppTable12,aridity_Rice,77
SuppTable12,aridity_Maize,221
SuppTable12,aridity_Sorghum,25
