"term","ref_count","input_count","expected","direction","fold_enrichment","raw_p","fdr","phenotype","ontology","phenotype_label","term_wrapped","term_facet","neglog10_fdr"
"dipeptide transmembrane transport (GO:0035442)",6,3,0.05,"+",54.94,1.46e-05,0.00143,"AMF","BP","AM fungal phenotypes","dipeptide transmembrane transport
(GO:0035442)","dipeptide transmembrane transport
(GO:0035442)___AM fungal phenotypes",2.84466396253494
"dipeptide transport (GO:0042938)",6,3,0.05,"+",54.94,1.46e-05,0.00147,"AMF","BP","AM fungal phenotypes","dipeptide transport (GO:0042938)","dipeptide transport (GO:0042938)___AM fungal phenotypes",2.83268266525182
"positive regulation of brassinosteroid mediated signaling pathway (GO:1900459)",4,2,0.04,"+",54.94,0.000489,0.0252,"AMF","BP","AM fungal phenotypes","positive regulation of
brassinosteroid mediated
signaling pathway (GO:1900459)","positive regulation of
brassinosteroid mediated
signaling pathway (GO:1900459)___AM fungal phenotypes",1.59859945921846
"pigmentation (GO:0043473)",4,2,0.04,"+",54.94,0.000489,0.0255,"AMF","BP","AM fungal phenotypes","pigmentation (GO:0043473)","pigmentation (GO:0043473)___AM fungal phenotypes",1.59345981956604
"pigment accumulation (GO:0043476)",4,2,0.04,"+",54.94,0.000489,0.0258,"AMF","BP","AM fungal phenotypes","pigment accumulation (GO:0043476)","pigment accumulation (GO:0043476)___AM fungal phenotypes",1.58838029403677
"pigment accumulation in response to UV light (GO:0043478)",4,2,0.04,"+",54.94,0.000489,0.0262,"AMF","BP","AM fungal phenotypes","pigment accumulation in response
to UV light (GO:0043478)","pigment accumulation in response
to UV light (GO:0043478)___AM fungal phenotypes",1.58169870868025
"pigment accumulation in tissues in response to UV light (GO:0043479)",4,2,0.04,"+",54.94,0.000489,0.0266,"AMF","BP","AM fungal phenotypes","pigment accumulation in tissues
in response to UV light
(GO:0043479)","pigment accumulation in tissues
in response to UV light
(GO:0043479)___AM fungal phenotypes",1.57511836336893
"pigment accumulation in tissues (GO:0043480)",4,2,0.04,"+",54.94,0.000489,0.0269,"AMF","BP","AM fungal phenotypes","pigment accumulation in tissues
(GO:0043480)","pigment accumulation in tissues
(GO:0043480)___AM fungal phenotypes",1.57024771999759
"anthocyanin accumulation in tissues in response to UV light (GO:0043481)",4,2,0.04,"+",54.94,0.000489,0.0273,"AMF","BP","AM fungal phenotypes","anthocyanin accumulation in
tissues in response to UV light
(GO:0043481)","anthocyanin accumulation in
tissues in response to UV light
(GO:0043481)___AM fungal phenotypes",1.56383735295924
"alternative respiration (GO:0010230)",5,2,0.05,"+",43.96,0.000811,0.0391,"AMF","BP","AM fungal phenotypes","alternative respiration
(GO:0010230)","alternative respiration
(GO:0010230)___AM fungal phenotypes",1.40782324260413
"radial axis specification (GO:0009945)",3,2,0.05,"+",44.44,0.000667,0.0414,"PCs","BP","WorldClim PCs","radial axis specification
(GO:0009945)","radial axis specification
(GO:0009945)___WorldClim PCs",1.3829996588791
"protein-tetrapyrrole linkage (GO:0017006)",8,3,0.12,"+",25,0.000178,0.0136,"PCs","BP","WorldClim PCs","protein-tetrapyrrole linkage
(GO:0017006)","protein-tetrapyrrole linkage
(GO:0017006)___WorldClim PCs",1.86646109162978
"mitochondrial transmembrane transport (GO:1990542)",9,3,0.14,"+",22.22,0.000264,0.0194,"PCs","BP","WorldClim PCs","mitochondrial transmembrane
transport (GO:1990542)","mitochondrial transmembrane
transport (GO:1990542)___WorldClim PCs",1.71219827006977
"detection of visible light (GO:0009584)",10,3,0.15,"+",20,0.000372,0.026,"PCs","BP","WorldClim PCs","detection of visible light
(GO:0009584)","detection of visible light
(GO:0009584)___WorldClim PCs",1.58502665202918
"lignin biosynthetic process (GO:0009809)",16,4,0.24,"+",16.66,7.9e-05,0.00671,"PCs","BP","WorldClim PCs","lignin biosynthetic process
(GO:0009809)","lignin biosynthetic process
(GO:0009809)___WorldClim PCs",2.17327747983101
"oligopeptide transmembrane transport (GO:0035672)",40,7,0.6,"+",11.66,1.99e-06,0.000205,"PCs","BP","WorldClim PCs","oligopeptide transmembrane
transport (GO:0035672)","oligopeptide transmembrane
transport (GO:0035672)___WorldClim PCs",3.68824613894425
"response to steroid hormone (GO:0048545)",76,13,1.14,"+",11.4,1.08e-10,1.51e-08,"PCs","BP","WorldClim PCs","response to steroid hormone
(GO:0048545)","response to steroid hormone
(GO:0048545)___WorldClim PCs",7.82102305270683
