




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (516)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
radial axis specification (GO:0009945)	3	2	.05	+	44.44	6.67E-04	4.14E-02
protein-tetrapyrrole linkage (GO:0017006)	8	3	.12	+	25.00	1.78E-04	1.36E-02
mitochondrial transmembrane transport (GO:1990542)	9	3	.14	+	22.22	2.64E-04	1.94E-02
detection of visible light (GO:0009584)	10	3	.15	+	20.00	3.72E-04	2.60E-02
lignin biosynthetic process (GO:0009809)	16	4	.24	+	16.66	7.90E-05	6.71E-03
oligopeptide transmembrane transport (GO:0035672)	40	7	.60	+	11.66	1.99E-06	2.05E-04
brassinosteroid mediated signaling pathway (GO:0009742)	76	13	1.14	+	11.40	1.08E-10	1.77E-08
cellular response to steroid hormone stimulus (GO:0071383)	76	13	1.14	+	11.40	1.08E-10	1.69E-08
cellular response to brassinosteroid stimulus (GO:0071367)	76	13	1.14	+	11.40	1.08E-10	1.63E-08
steroid hormone receptor signaling pathway (GO:0043401)	76	13	1.14	+	11.40	1.08E-10	1.57E-08
response to steroid hormone (GO:0048545)	76	13	1.14	+	11.40	1.08E-10	1.51E-08
lignin metabolic process (GO:0009808)	41	7	.62	+	11.38	2.37E-06	2.38E-04
response to brassinosteroid (GO:0009741)	86	13	1.29	+	10.08	5.39E-10	7.27E-08
hydrogen peroxide catabolic process (GO:0042744)	147	22	2.21	+	9.98	6.94E-16	2.71E-13
hydrogen peroxide metabolic process (GO:0042743)	150	22	2.25	+	9.78	1.08E-15	3.82E-13
peptide transport (GO:0015833)	63	9	.95	+	9.52	4.14E-07	4.63E-05
oligopeptide transport (GO:0006857)	63	9	.95	+	9.52	4.14E-07	4.50E-05
cell surface receptor protein serine/threonine kinase signaling pathway (GO:0007178)	43	6	.65	+	9.30	4.22E-05	3.75E-03
enzyme-linked receptor protein signaling pathway (GO:0007167)	43	6	.65	+	9.30	4.22E-05	3.66E-03
reactive oxygen species metabolic process (GO:0072593)	171	22	2.57	+	8.58	1.77E-14	4.07E-12
cellular oxidant detoxification (GO:0098869)	211	25	3.17	+	7.90	2.03E-15	6.60E-13
amide transport (GO:0042886)	85	10	1.28	+	7.84	6.06E-07	6.40E-05
detection of stimulus (GO:0051606)	45	5	.68	+	7.41	5.55E-04	3.50E-02
cellular response to toxic substance (GO:0097237)	227	25	3.41	+	7.34	1.12E-14	2.93E-12
cellular detoxification (GO:1990748)	227	25	3.41	+	7.34	1.12E-14	2.75E-12
detoxification (GO:0098754)	280	27	4.20	+	6.43	2.60E-14	5.64E-12
response to oxidative stress (GO:0006979)	259	24	3.89	+	6.18	1.70E-12	3.33E-10
calcium ion transmembrane transport (GO:0070588)	65	6	.98	+	6.15	4.33E-04	2.92E-02
response to toxic substance (GO:0009636)	294	27	4.41	+	6.12	8.51E-14	1.75E-11
calcium ion transport (GO:0006816)	66	6	.99	+	6.06	4.70E-04	3.11E-02
cell surface receptor signaling pathway (GO:0007166)	173	15	2.60	+	5.78	6.25E-08	8.14E-06
regulation of intracellular signal transduction (GO:1902531)	93	7	1.40	+	5.02	5.12E-04	3.28E-02
