




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (313)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
anthocyanin accumulation in tissues in response to UV light (GO:0043481)	4	2	.04	+	54.94	4.89E-04	2.73E-02
pigment accumulation in tissues (GO:0043480)	4	2	.04	+	54.94	4.89E-04	2.69E-02
pigment accumulation in tissues in response to UV light (GO:0043479)	4	2	.04	+	54.94	4.89E-04	2.66E-02
pigment accumulation in response to UV light (GO:0043478)	4	2	.04	+	54.94	4.89E-04	2.62E-02
pigment accumulation (GO:0043476)	4	2	.04	+	54.94	4.89E-04	2.58E-02
pigmentation (GO:0043473)	4	2	.04	+	54.94	4.89E-04	2.55E-02
dipeptide transport (GO:0042938)	6	3	.05	+	54.94	1.46E-05	1.47E-03
positive regulation of brassinosteroid mediated signaling pathway (GO:1900459)	4	2	.04	+	54.94	4.89E-04	2.52E-02
dipeptide transmembrane transport (GO:0035442)	6	3	.05	+	54.94	1.46E-05	1.43E-03
alternative respiration (GO:0010230)	5	2	.05	+	43.96	8.11E-04	3.91E-02
beta-glucan catabolic process (GO:0051275)	25	8	.23	+	35.16	4.07E-11	1.99E-08
cellulose catabolic process (GO:0030245)	25	8	.23	+	35.16	4.07E-11	1.77E-08
UDP-galactose transmembrane transport (GO:0072334)	13	4	.12	+	33.81	4.51E-06	6.53E-04
tripeptide transport (GO:0042939)	11	3	.10	+	29.97	1.17E-04	8.61E-03
intracellular manganese ion homeostasis (GO:0030026)	19	4	.17	+	23.13	2.34E-05	2.18E-03
manganese ion homeostasis (GO:0055071)	19	4	.17	+	23.13	2.34E-05	2.13E-03
lignin biosynthetic process (GO:0009809)	16	3	.15	+	20.60	3.83E-04	2.30E-02
manganese ion transmembrane transport (GO:0071421)	23	4	.21	+	19.11	5.20E-05	4.15E-03
manganese ion transport (GO:0006828)	24	4	.22	+	18.31	6.19E-05	4.84E-03
cellular response to phosphate starvation (GO:0016036)	19	3	.17	+	17.35	6.49E-04	3.25E-02
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	32	5	.29	+	17.17	9.95E-06	1.05E-03
toxin metabolic process (GO:0009404)	20	3	.18	+	16.48	7.59E-04	3.75E-02
regulation of root development (GO:2000280)	20	3	.18	+	16.48	7.59E-04	3.71E-02
iron ion transmembrane transport (GO:0034755)	29	4	.26	+	15.16	1.34E-04	9.32E-03
cellulose metabolic process (GO:0030243)	77	10	.70	+	14.27	2.16E-09	7.68E-07
glucan catabolic process (GO:0009251)	62	8	.56	+	14.18	9.49E-08	2.32E-05
nucleotide-sugar transmembrane transport (GO:0015780)	40	5	.36	+	13.74	3.06E-05	2.60E-03
peptide transport (GO:0015833)	63	7	.57	+	12.21	1.73E-06	2.94E-04
oligopeptide transport (GO:0006857)	63	7	.57	+	12.21	1.73E-06	2.82E-04
beta-glucan metabolic process (GO:0051273)	91	10	.83	+	12.08	1.13E-08	3.40E-06
amino acid transmembrane transport (GO:0003333)	83	9	.76	+	11.92	6.95E-08	1.81E-05
iron ion transport (GO:0006826)	37	4	.34	+	11.88	3.51E-04	2.18E-02
oligopeptide transmembrane transport (GO:0035672)	40	4	.36	+	10.99	4.75E-04	2.69E-02
lignin metabolic process (GO:0009808)	41	4	.37	+	10.72	5.22E-04	2.65E-02
amide transport (GO:0042886)	85	8	.77	+	10.34	1.13E-06	2.00E-04
amino acid transport (GO:0006865)	98	9	.89	+	10.09	2.95E-07	5.77E-05
protein refolding (GO:0042026)	59	5	.54	+	9.31	2.02E-04	1.34E-02
MAPK cascade (GO:0000165)	49	4	.45	+	8.97	1.03E-03	4.92E-02
hydrogen peroxide catabolic process (GO:0042744)	147	11	1.34	+	8.22	1.17E-07	2.70E-05
hydrogen peroxide metabolic process (GO:0042743)	150	11	1.37	+	8.06	1.44E-07	2.97E-05
carbohydrate derivative transport (GO:1901264)	84	6	.76	+	7.85	1.21E-04	8.62E-03
reactive oxygen species metabolic process (GO:0072593)	171	11	1.56	+	7.07	5.40E-07	1.00E-04
inorganic ion homeostasis (GO:0098771)	119	7	1.08	+	6.46	1.13E-04	8.52E-03
intracellular signaling cassette (GO:0141124)	103	6	.94	+	6.40	3.69E-04	2.26E-02
polysaccharide catabolic process (GO:0000272)	174	10	1.58	+	6.32	4.88E-06	6.58E-04
organic anion transport (GO:0015711)	148	8	1.35	+	5.94	6.73E-05	5.16E-03
cellular oxidant detoxification (GO:0098869)	211	11	1.92	+	5.73	4.21E-06	6.33E-04
cellular response to toxic substance (GO:0097237)	227	11	2.07	+	5.32	8.43E-06	9.69E-04
cellular detoxification (GO:1990748)	227	11	2.07	+	5.32	8.43E-06	9.42E-04
monoatomic cation homeostasis (GO:0055080)	166	8	1.51	+	5.30	1.50E-04	1.03E-02
monoatomic ion homeostasis (GO:0050801)	180	8	1.64	+	4.88	2.60E-04	1.66E-02
glucan metabolic process (GO:0044042)	226	10	2.06	+	4.86	4.69E-05	3.90E-03
carbohydrate catabolic process (GO:0016052)	301	13	2.74	+	4.75	4.54E-06	6.34E-04
detoxification (GO:0098754)	280	12	2.55	+	4.71	1.14E-05	1.17E-03
intracellular signal transduction (GO:0035556)	470	20	4.28	+	4.68	1.57E-08	4.39E-06
response to oxidative stress (GO:0006979)	259	11	2.36	+	4.67	2.87E-05	2.49E-03
response to toxic substance (GO:0009636)	294	12	2.68	+	4.49	1.85E-05	1.77E-03
transmembrane transport (GO:0055085)	1430	54	13.01	+	4.15	5.75E-19	2.25E-15
polysaccharide metabolic process (GO:0005976)	420	15	3.82	+	3.92	8.49E-06	9.22E-04
metal ion transport (GO:0030001)	297	10	2.70	+	3.70	4.30E-04	2.51E-02
transport (GO:0006810)	2508	66	22.82	+	2.89	3.63E-15	2.83E-12
establishment of localization (GO:0051234)	2613	66	23.78	+	2.78	2.53E-14	1.65E-11
localization (GO:0051179)	2730	66	24.84	+	2.66	1.93E-13	1.08E-10
nitrogen compound transport (GO:0071705)	952	23	8.66	+	2.65	2.46E-05	2.18E-03
carbohydrate metabolic process (GO:0005975)	996	23	9.06	+	2.54	4.91E-05	4.00E-03
signaling (GO:0023052)	1382	31	12.58	+	2.46	6.70E-06	8.44E-04
signal transduction (GO:0007165)	1382	31	12.58	+	2.46	6.70E-06	8.18E-04
cellular response to chemical stimulus (GO:0070887)	804	18	7.32	+	2.46	4.66E-04	2.68E-02
cell communication (GO:0007154)	1386	31	12.61	+	2.46	6.85E-06	8.12E-04
cellular response to stimulus (GO:0051716)	2232	49	20.31	+	2.41	1.04E-08	3.40E-06
catabolic process (GO:0009056)	1658	35	15.09	+	2.32	3.91E-06	6.11E-04
response to chemical (GO:0042221)	1329	27	12.09	+	2.23	1.53E-04	1.03E-02
response to stimulus (GO:0050896)	3725	74	33.90	+	2.18	9.07E-11	3.55E-08
response to stress (GO:0006950)	1887	33	17.17	+	1.92	3.84E-04	2.28E-02
cellular process (GO:0009987)	13370	195	121.67	+	1.60	5.64E-17	1.10E-13
biological_process (GO:0008150)	16762	224	152.54	+	1.47	2.28E-16	2.23E-13
Unclassified (UNCLASSIFIED)	17633	89	160.46	-	.55	2.28E-16	2.97E-13
nucleobase-containing compound metabolic process (GO:0006139)	2550	7	23.21	-	.30	1.20E-04	8.67E-03
RNA biosynthetic process (GO:0032774)	1222	1	11.12	-	.09	3.02E-04	1.90E-02
nucleic acid biosynthetic process (GO:0141187)	1273	1	11.58	-	.09	2.12E-04	1.38E-02
RNA metabolic process (GO:0016070)	1625	1	14.79	-	.07	6.49E-06	8.46E-04
nucleic acid metabolic process (GO:0090304)	2071	1	18.85	-	.05	1.28E-07	2.77E-05
