"PC","VarianceExplained"
"PC1",0.445631119855095
"PC2",0.251602251432727
"PC3",0.165306590725118
"PC4",0.0579675337167823
"PC5",0.0333797193354908
"PC6",0.0201376319625852
"PC7",0.00947136567452191
"PC8",0.00513018625462927
"PC9",0.00464878066068307
"PC10",0.00257669110714204
"PC11",0.00211369994307832
"PC12",0.000804243559480328
"PC13",0.000424012628715802
"PC14",0.000339071044407438
"PC15",0.000249064029648426
"PC16",0.000163031913981717
"PC17",5.0656329264951e-05
"PC18",4.34982664798719e-06
"PC19",7.46169020882433e-17
