"Variable","PC1","PC2","PC3"
"BIO01",-0.172482386597701,0.334701008340354,0.119516129657967
"BIO02",0.173051539805379,0.199310035336164,0.300298847922769
"BIO03",-0.206961052774682,0.252526470217125,-0.028262908282599
"BIO04",0.326006801965001,-0.0954016396429468,0.279663064748075
"BIO05",0.088883801918869,0.319617386235955,0.319982032533705
"BIO06",-0.295268206917951,0.233789600892429,-0.137639387563535
"BIO07",0.317711095524286,-0.00930011942361493,0.321132038511112
"BIO08",0.161679555230559,0.0399178535418835,0.262375365149616
"BIO09",-0.212083238271012,0.302076516697408,-0.0200552267504637
"BIO10",0.0386796389945726,0.30785088910309,0.312732390932707
"BIO11",-0.275994878031798,0.277769569456262,-0.0696534519096932
"BIO12",-0.294572332282089,-0.181129895428987,0.288088118238685
"BIO13",-0.260662643970894,-0.0893326152713566,0.345782070836044
"BIO14",-0.222375856282406,-0.285961993729543,0.0767610197197014
"BIO15",0.0377198287028353,0.219751163131685,0.135730003893081
"BIO16",-0.280069395645177,-0.106351325998714,0.319939534583878
"BIO17",-0.226280712571916,-0.271103141886631,0.126236360265116
"BIO18",-0.0695549789681688,-0.311219811388863,0.208602950401467
"BIO19",-0.326045129090238,-0.0344973928749441,0.177437827709987
