"Variable","PC1","PC2","PC3"
"BIO01",-0.327261511013243,-0.240665514028733,0.0432844148777007
"BIO02",0.207066288856696,-0.145367813507644,0.320082819381958
"BIO03",-0.0827783284026185,0.0577384461271361,0.35846371260802
"BIO04",0.257801012297466,-0.165655874850255,-0.0552781679139139
"BIO05",-0.181078136434588,-0.354111577319395,-0.0033188686587058
"BIO06",-0.37665987167988,-0.136219472690041,-0.0659157840493183
"BIO07",0.294565720170432,-0.186321896162225,0.0803347259057443
"BIO08",-0.16402382090883,0.0568509078041881,0.147977056076938
"BIO09",-0.254087406259686,-0.295677786615513,-0.0529797795302019
"BIO10",-0.236567092162224,-0.313492777778854,0.00297409174689904
"BIO11",-0.370153525431591,-0.157711780307828,0.0331577484035826
"BIO12",-0.247571873028986,0.314680505727746,0.0394590842553406
"BIO13",-0.220856012346252,0.265445120826673,0.243911885411537
"BIO14",-0.0459887048134427,0.263428963549934,-0.354854682774445
"BIO15",0.027462248710686,-0.0701402766251079,0.460105218358222
"BIO16",-0.229423702278828,0.272701407873943,0.224757061036601
"BIO17",-0.0588129971380287,0.26864082812809,-0.352812828980323
"BIO18",-0.128601420607943,0.323907562511693,0.250480446176858
"BIO19",-0.21275856461147,-0.0494826340389127,-0.30182420382474
