"PC","VarianceExplained"
"PC1",0.459219528932925
"PC2",0.200706892048856
"PC3",0.166089069295834
"PC4",0.084537622576684
"PC5",0.0368065707715057
"PC6",0.0225534436751872
"PC7",0.0128786137761198
"PC8",0.00748902604583128
"PC9",0.00345741030183527
"PC10",0.00302509540206021
"PC11",0.00107778790432053
"PC12",0.000914074704029442
"PC13",0.000553246726947972
"PC14",0.000378449210546063
"PC15",0.000169362873414007
"PC16",0.000101006453464048
"PC17",3.80132145588917e-05
"PC18",4.7860858805236e-06
"PC19",1.93398718582961e-16
