"Variable","PC1","PC2","PC3"
"BIO01",-0.286520780662987,-0.284501893023597,0.0121041414421904
"BIO02",-0.161842293007784,0.176612352483756,0.137894297402043
"BIO03",0.226393537305843,-0.223002231002355,0.282647162623069
"BIO04",-0.153121351974999,0.322132942604742,-0.205673300035299
"BIO05",-0.358202348771,-0.0906591740551192,-0.0855560017033656
"BIO06",-0.0809646025702246,-0.41706714957018,0.106493039809606
"BIO07",-0.223260733470224,0.309407348419585,-0.1694278562202
"BIO08",-0.297295267536584,-0.130068348609897,-0.0427953103342328
"BIO09",-0.188915202695772,-0.340246897425948,0.0497247360175106
"BIO10",-0.346718293647658,-0.120998405897511,-0.0931750642740501
"BIO11",-0.15579461488732,-0.385695682525339,0.106048906747273
"BIO12",0.214473173520966,-0.209742018358079,-0.379182314070374
"BIO13",0.0304510522725997,-0.154608742832194,-0.51573979935983
"BIO14",0.269743425603898,-0.0876662463559287,0.0222080069838824
"BIO15",-0.310054767894554,0.0772454225899273,-0.136614837152217
"BIO16",0.0521214680896207,-0.156277449270152,-0.519125218135311
"BIO17",0.278095997347776,-0.102151140725019,0.00999846115423433
"BIO18",0.214586744254712,0.0416255341883354,-0.275634491696976
"BIO19",0.147720124102189,-0.205534999391447,-0.112073500084588
