"PC","VarianceExplained"
"PC1",0.336628725277647
"PC2",0.296000508991851
"PC3",0.153701480136213
"PC4",0.0980300087209218
"PC5",0.0538217180616005
"PC6",0.0355186202821725
"PC7",0.00995689780476683
"PC8",0.00623799709162169
"PC9",0.00468924782979249
"PC10",0.00211666365156489
"PC11",0.0011453496507655
"PC12",0.000943906816721252
"PC13",0.000471083716594606
"PC14",0.000322023669112169
"PC15",0.000183190438583806
"PC16",0.00015588540977444
"PC17",6.00848393479258e-05
"PC18",1.66076109481486e-05
"PC19",3.42249363611365e-16
