"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"BRIDGE_HOR_12516",-16.56333333,28.33944444,"barley",15.9035711288452,7.02514314651489,46.4012069702148,292.867370605469,24.5548572540283,9.41485691070557,15.1400003433228,12.831714630127,19.0260944366455,19.8777141571045,12.7000951766968,369,66,1,75.8778228759766,181,6,16,158,-2.82649556123237,-1.20083960932594,0.293244092006037
"BRIDGE_HOR_12779",-16.56333333,28.33944444,"barley",15.9035711288452,7.02514314651489,46.4012069702148,292.867370605469,24.5548572540283,9.41485691070557,15.1400003433228,12.831714630127,19.0260944366455,19.8777141571045,12.7000951766968,369,66,1,75.8778228759766,181,6,16,158,-2.82649556123237,-1.20083960932594,0.293244092006037
"BRIDGE_HOR_12780",-16.56333333,28.33944444,"barley",15.9035711288452,7.02514314651489,46.4012069702148,292.867370605469,24.5548572540283,9.41485691070557,15.1400003433228,12.831714630127,19.0260944366455,19.8777141571045,12.7000951766968,369,66,1,75.8778228759766,181,6,16,158,-2.82649556123237,-1.20083960932594,0.293244092006037
"BRIDGE_BCC_1576",-13.46194444,9.131944444,"barley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIDGE_HOR_13419",-9.483333333,30.46666667,"barley",19.2218341827393,10.8986253738403,49.5589141845703,369.156646728516,29.6040000915527,7.61275005340576,21.9912490844727,14.4662914276123,23.3430824279785,23.8230419158936,14.4662914276123,215,51,0,89.4416122436523,122,3,4,122,-2.47129483836262,-2.64572700084162,1.31186623724681
"BRIDGE_HOR_13418",-9.366666667,30.46666667,"barley",19.2218341827393,10.8986253738403,49.5589141845703,369.156646728516,29.6040000915527,7.61275005340576,21.9912490844727,14.4662914276123,23.3430824279785,23.8230419158936,14.4662914276123,215,51,0,89.4416122436523,122,3,4,122,-2.47129483836262,-2.64572700084162,1.31186623724681
"BRIDGE_HOR_13420",-9.05,30.88333333,"barley",14.6313753128052,11.7542505264282,44.4500122070312,506.372650146484,28.4942493438721,2.05049991607666,26.4437484741211,9.39249992370605,20.8274993896484,21.0394992828369,8.41604137420654,368,54,1,63.9613952636719,152,14,14,144,-0.993431913407624,-2.0956660258246,0.591431553379899
"BRIDGE_HOR_12820",-8.966666667,37.13305556,"barley",16.4652519226074,7.30184745788574,44.6528205871582,318.027679443359,25.1384620666504,8.78597259521484,16.3524894714355,13.6306934356689,20.1719455718994,20.6131229400635,12.8188533782959,506,85,1,70.6042785644531,240,16,22,221,-3.09369193142981,-1.15238616899654,0.0804243840314834
"BRIDGE_HOR_13423",-8.916666667,30.45,"barley",20.0800724029541,11.7331457138062,47.0983695983887,430.018951416016,31.9087505340576,6.99674987792969,24.9120006561279,14.501916885376,25.0932083129883,25.470874786377,14.501916885376,234,60,0,92.9393081665039,134,2,4,134,-2.39719776498072,-3.10070739770124,1.36893723645842
"BRIDGE_HOR_13414",-8.883333333,31.16666667,"barley",16.0976047515869,11.4402503967285,43.7322616577148,506.002532958984,29.6827507019043,3.52300000190735,26.1597499847412,10.8454170227051,22.1622085571289,22.4946250915527,9.86275005340576,331,50,1,63.1406631469727,135,12,12,128,-1.32615739488038,-2.40650333465108,0.554446402907559
