"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"IS14446.70MUKAAXX.2.250006019",35.22000122,14.03999996,"sorghum",25.2156658172607,13.6210412979126,63.2624664306641,183.505706787109,36.3479995727539,14.8170003890991,21.5309982299805,23.9200839996338,24.6866245269775,27.7838745117188,23.6327495574951,550,182,0,140.323516845703,427,0,27,0,-1.65067207318747,-0.234570557466093,1.12892967451755
"IS14567.MRG.4.250047680",35.43000031,13.82999992,"sorghum",25.5317707061768,13.2777080535889,64.621940612793,173.031890869141,36.2215003967285,15.674750328064,20.5467491149902,23.9204158782959,24.5011672973633,28.0475826263428,23.9204158782959,653,206,0,134.33935546875,488,0,40,488,-1.16177220606644,-0.995460619858754,0.608265136567821
"IS21519.628NVAAXX.5.250006979",33.63000107,-11.71000004,"sorghum",19.3562602996826,11.7391042709351,58.4493026733398,216.87907409668,28.9150009155273,8.83075046539307,20.0842514038086,20.5745830535889,16.2354164123535,21.641040802002,16.2354164123535,904,211,1,113.865379333496,592,5,269,5,1.60412111699965,1.60915287210396,-0.426141630705034
"IS25522.MRG.4.250047691",29.39999962,-3.339999914,"sorghum",21.1069374084473,9.94287490844727,77.1947402954102,40.3076324462891,27.5774993896484,14.6972503662109,12.8802490234375,21.0868339538574,20.7418746948242,21.6080417633057,20.6405830383301,1218,188,6,61.9052848815918,487,40,172,125,2.9029715539434,-1.08763786577333,0.975458710727016
"IS25523.MRG.4.250047692",29.39999962,-3.339999914,"sorghum",21.1069374084473,9.94287490844727,77.1947402954102,40.3076324462891,27.5774993896484,14.6972503662109,12.8802490234375,21.0868339538574,20.7418746948242,21.6080417633057,20.6405830383301,1218,188,6,61.9052848815918,487,40,172,125,2.9029715539434,-1.08763786577333,0.975458710727016
"IS25524.MRG.4.250047693",29.34000015,-3.49000001,"sorghum",21.1069374084473,9.94287490844727,77.1947402954102,40.3076324462891,27.5774993896484,14.6972503662109,12.8802490234375,21.0868339538574,20.7418746948242,21.6080417633057,20.6405830383301,1218,188,6,61.9052848815918,487,40,172,125,2.9029715539434,-1.08763786577333,0.975458710727016
"IS30898.B064FABXX.1.250009989",33.75,1.860000014,"sorghum",24.3218116760254,12.4716672897339,79.1701126098633,99.2014846801758,33.2137489318848,17.460750579834,15.7529983520508,23.1817512512207,25.4317493438721,25.6218757629395,23.0882091522217,1233,172,22,49.9383735656738,429,94,140,417,2.08176237941342,-2.24180332735374,1.24611136631806
"IS31123.B064FABXX.1.250010001",30.92000008,3.160000086,"sorghum",24.0572090148926,11.0971660614014,74.1107940673828,117.434356689453,32.4937515258789,17.5200004577637,14.9737510681152,23.0010414123535,25.2437496185303,25.6264572143555,22.6545009613037,1401,199,17,52.7734909057617,578,90,140,532,2.26307382816732,-2.48798335772528,0.331696252475331
"IS9168.70MUKAAXX.2.250006009",34.7451266,-0.6054147,"sorghum",20.1717090606689,11.7532920837402,81.176155090332,68.8210830688477,27.8687496185303,13.3900003433228,14.4787492752075,20.5519161224365,20.7863330841064,21.0654163360596,19.3002910614014,1596,229,65,34.5312843322754,580,250,299,370,6.14958255377366,-1.95202202467397,0.182023796008271
"IS10068.C1AB3ACXX.7.250137465",-4.76666,10.6333,"sorghum",27.4558334350586,10.3837080001831,72.1040802001953,91.6429061889648,34.2944984436035,19.8934993743896,14.4009990692139,27.0028343200684,26.7135429382324,28.7718753814697,26.589334487915,1077,273,2,100.552093505859,662,10,189,16,-0.317517983196357,-2.81869980675681,-0.139608921838958
