"Lines","Long","Lat","n_value","elevation_m"
"SEEDGWAS10:MRG:4:250054453",-96.87067,19.938631,385,445
"SEEDGWAS1000:MRG:4:250067677",-99.634229,21.83299,175,975
"SEEDGWAS1001:MRG:4:250067678",-99.653771,22.023366,155,1385
"SEEDGWAS1003:MRG:4:250067679",-89.732539,20.485433,359,52
"SEEDGWAS1006:MRG:4:250067682",-57.309104,-23.267981,175,135
"SEEDGWAS1007:MRG:4:250067684",-62.46666667,8.433333333,346,114
"SEEDGWAS1008:MRG:4:250067716",-74.91666667,3.85,253,335
"SEEDGWAS1009:MRG:4:250067717",-88.05,19.58333333,448,20
"SEEDGWAS101:MRG:4:250054517",-97.382222,20.43027778,286,143
"SEEDGWAS1014:MRG:4:250067720",-98.38333333,21.51666667,339,54
"SEEDGWAS1015:MRG:4:250067721",-99.537659,17.167363,289,611
"SEEDGWAS1019:MRG:4:250067723",-98.746577,21.296297,475,253
"SEEDGWAS1020:MRG:4:250067724",-92.81666667,16.56666667,210,715
"SEEDGWAS1022:MRG:4:250067725",-93,16.71666667,209,1045
"SEEDGWAS1023:MRG:4:250067726",-93.26666667,16.25,173,642
"SEEDGWAS1024:MRG:4:250067727",-93.26666667,16.2,192,642
"SEEDGWAS1025:MRG:4:250067728",-92.81666667,16.56666667,210,715
"SEEDGWAS1026:MRG:4:250067729",-62.7,-35.96666667,203,91
"SEEDGWAS1027:MRG:4:250067730",-59.85,-27.01666667,255,76
"SEEDGWAS1029:MRG:4:250067732",-93.71666667,16.7,189,711
"SEEDGWAS1030:MRG:4:250067733",-97.63333333,21.06666667,345,94
"SEEDGWAS1031:MRG:4:250067734",-93.71666667,16.7,189,711
"SEEDGWAS1032:MRG:4:250067735",-88.05,19.58333333,448,20
"SEEDGWAS1033:MRG:4:250067736",-101.728267,18.317643,232,433
"SEEDGWAS1034:MRG:4:250067737",-96.96666667,19.38333333,361,1050
"SEEDGWAS1035:MRG:4:250067738",-98.43333333,22.81666667,186,80
"SEEDGWAS1036:MRG:4:250067739",-93.21666667,17.1,429,846
"SEEDGWAS1037:MRG:4:250067740",-101.799996,17.971798,220,219
"SEEDGWAS1039:MRG:4:250067741",-54.13,-26.63,418,543
"SEEDGWAS104:MRG:4:250054519",-89.82814,19.744273,262,94
"SEEDGWAS1040:MRG:4:250067742",-58.240208,-26.142484,180,65
"SEEDGWAS1041:MRG:4:250067743",-58.75,-25.3,271,87
"SEEDGWAS1042:MRG:4:250067744",-61.333411,-24.164012,201,168
"SEEDGWAS1045:MRG:4:250067747",-98.277964,21.038899,426,214
"SEEDGWAS1048:MRG:4:250067748",-98.222282,21.10534,500,214
"SEEDGWAS1049:MRG:4:250067749",-98.222282,21.10534,500,214
"SEEDGWAS105:MRG:4:250054520",-90.102679,20.601679,533,12
"SEEDGWAS1050:MRG:4:250067750",-98.296549,21.029685,458,214
"SEEDGWAS1051:MRG:4:250067752",-98.296549,21.029685,458,214
"SEEDGWAS106:MRG:4:250054521",-88.760766,15.827325,596,230
"SEEDGWAS107:MRG:4:250054522",-90.193023,16.681491,407,175
"SEEDGWAS1085:MRG:4:250067782",-102.8,20.55,146,1681
"SEEDGWAS1087:MRG:4:250067785",-100.21527,22.031961,175,1318
"SEEDGWAS1088:MRG:4:250067786",-99.816363,22.05427,180,1170
"SEEDGWAS1091:MRG:4:250067789",-100.9672228,25.552339,112,1392
"SEEDGWAS1095:MRG:4:250067792",-99.45,18.75,216,1161
"SEEDGWAS1096:MRG:4:250067793",-99.3,18.68,200,1107
"SEEDGWAS1097:MRG:4:250067794",-105.2977778,27.15888889,153,1533
"SEEDGWAS1099:MRG:4:250067796",-49,-15,265,671
"SEEDGWAS1100:MRG:4:250067797",-83.99449,9.954306,565,1890
"SEEDGWAS1101:MRG:4:250067798",-83.665901,9.358024,460,1723
"SEEDGWAS1102:MRG:4:250067799",-82.907759,8.820336,497,889
