"Lines","Long","Lat","crop","n_value","log_n","elevation_m"
"SEEDGWAS10:MRG:4:250054453",-96.87067,19.938631,"maize",385,2.5854607295085,445
"SEEDGWAS1000:MRG:4:250067677",-99.634229,21.83299,"maize",175,2.24303804868629,975
"SEEDGWAS1001:MRG:4:250067678",-99.653771,22.023366,"maize",155,2.19033169817029,1385
"SEEDGWAS1003:MRG:4:250067679",-89.732539,20.485433,"maize",359,2.55509444857832,52
"SEEDGWAS1009:MRG:4:250067717",-88.05,19.58333333,"maize",448,2.65127801399814,20
"SEEDGWAS101:MRG:4:250054517",-97.382222,20.43027778,"maize",286,2.45636603312904,143
"SEEDGWAS1014:MRG:4:250067720",-98.38333333,21.51666667,"maize",339,2.53019969820308,54
"SEEDGWAS1015:MRG:4:250067721",-99.537659,17.167363,"maize",289,2.46089784275655,611
"SEEDGWAS1019:MRG:4:250067723",-98.746577,21.296297,"maize",475,2.67669360962487,253
"SEEDGWAS1020:MRG:4:250067724",-92.81666667,16.56666667,"maize",210,2.32221929473392,715
"SEEDGWAS1022:MRG:4:250067725",-93,16.71666667,"maize",209,2.32014628611105,1045
"SEEDGWAS1023:MRG:4:250067726",-93.26666667,16.25,"maize",173,2.2380461031288,642
"SEEDGWAS1024:MRG:4:250067727",-93.26666667,16.2,"maize",192,2.28330122870355,642
"SEEDGWAS1025:MRG:4:250067728",-92.81666667,16.56666667,"maize",210,2.32221929473392,715
"SEEDGWAS1029:MRG:4:250067732",-93.71666667,16.7,"maize",189,2.27646180417324,711
"SEEDGWAS1030:MRG:4:250067733",-97.63333333,21.06666667,"maize",345,2.53781909507327,94
"SEEDGWAS1031:MRG:4:250067734",-93.71666667,16.7,"maize",189,2.27646180417324,711
"SEEDGWAS1032:MRG:4:250067735",-88.05,19.58333333,"maize",448,2.65127801399814,20
"SEEDGWAS1033:MRG:4:250067736",-101.728267,18.317643,"maize",232,2.3654879848909,433
"SEEDGWAS1034:MRG:4:250067737",-96.96666667,19.38333333,"maize",361,2.55750720190566,1050
"SEEDGWAS1035:MRG:4:250067738",-98.43333333,22.81666667,"maize",186,2.26951294421792,80
"SEEDGWAS1036:MRG:4:250067739",-93.21666667,17.1,"maize",429,2.63245729218472,846
"SEEDGWAS1037:MRG:4:250067740",-101.799996,17.971798,"maize",220,2.34242268082221,219
"SEEDGWAS104:MRG:4:250054519",-89.82814,19.744273,"maize",262,2.41830129131975,94
