"PC","VarianceExplained"
"PC1",0.321895930708181
"PC2",0.274618995047159
"PC3",0.198960843280639
"PC4",0.100662338948542
"PC5",0.0440981002986762
"PC6",0.0318669154929031
"PC7",0.0176735854436489
"PC8",0.00532958676361216
"PC9",0.00217978683089396
"PC10",0.00109856809374472
"PC11",0.000578103234548268
"PC12",0.000339939814201618
"PC13",0.000272626642743611
"PC14",0.000209116739027964
"PC15",0.00011889951490181
"PC16",6.74180528857304e-05
"PC17",2.2604041384057e-05
"PC18",6.64105230706063e-06
"PC19",2.29132536368002e-16
