"Variable","PC1","PC2","PC3"
"BIO01",0.253546076668063,0.30390243427165,0.0367126904404998
"BIO02",-0.229722641838198,0.172288091259191,0.111195035623081
"BIO03",0.294162955613673,-0.129410072031297,0.165905633882012
"BIO04",-0.317984288121843,-0.00389459057943057,-0.0484848287731447
"BIO05",0.0210564734228379,0.419102178608389,0.0985408846517198
"BIO06",0.321824599965652,0.130032180060675,0.0636342820626191
"BIO07",-0.316970643568281,0.0896482825618999,-0.0126305364959144
"BIO08",0.139782958745582,0.35973817281191,-0.0125894805817162
"BIO09",0.284257975690922,0.215516126031886,0.0941495847293242
"BIO10",0.0975591316980915,0.412764182755464,0.0494376192172595
"BIO11",0.303060223104235,0.196872580721796,0.0550648652247906
"BIO12",0.247249639655985,-0.113871646213844,-0.340328595763248
"BIO13",0.118823461831648,0.0597080315929732,-0.5041740185607
"BIO14",0.225551632254256,-0.246968423901922,0.123488310500757
"BIO15",-0.189149773719865,0.295457277976337,-0.197032019285112
"BIO16",0.133444470123978,0.0430784760652692,-0.502690791854316
"BIO17",0.231768978279039,-0.248102399529296,0.11970279933877
"BIO18",0.0486180660853602,-0.0927750748718134,-0.478554752856634
"BIO19",0.230901435960078,-0.196917132692331,0.0886958391161912
