species,gene,pvalue
Arabidopsis,AT2G15530,2.352412e-11
Arabidopsis,AT4G09760,5.150257e-09
Arabidopsis,AT2G35950,1.433976e-08
Arabidopsis,AT2G36640,3.637627e-08
Arabidopsis,AT2G36680,3.637627e-08
Arabidopsis,AT2G46480,4.376087e-08
Arabidopsis,AT3G21270,8.304798e-08
Arabidopsis,AT4G36270,1.03727e-07
Arabidopsis,AT2G36660,1.195381e-07
Arabidopsis,AT3G21540,1.366264e-07
Arabidopsis,AT1G70440,1.56971e-07
Arabidopsis,AT3G19370,1.586938e-07
Arabidopsis,AT3G19480,1.586938e-07
Arabidopsis,AT3G19570,1.586938e-07
Arabidopsis,AT3G21060,1.680688e-07
Arabidopsis,AT5G10740,1.840634e-07
Arabidopsis,AT5G05130,2.028891e-07
Arabidopsis,AT4G04900,2.110651e-07
Arabidopsis,AT5G01060,2.576777e-07
Arabidopsis,AT5G01160,2.576777e-07
Arabidopsis,AT5G01190,2.576777e-07
Arabidopsis,AT1G01830,2.67136e-07
Arabidopsis,AT5G26950,3.056806e-07
Arabidopsis,AT1G64110,3.059586e-07
Arabidopsis,AT3G19490,3.137628e-07
Arabidopsis,AT1G74453,3.403766e-07
Arabidopsis,AT3G20280,4.44634e-07
Arabidopsis,AT3G20310,4.44634e-07
Arabidopsis,AT5G01225,4.494814e-07
Arabidopsis,AT4G25650,4.617413e-07
Arabidopsis,AT1G74470,4.638845e-07
Arabidopsis,AT5G10730,4.743545e-07
Arabidopsis,AT5G27970,5.167109e-07
Arabidopsis,AT5G27980,5.167109e-07
Arabidopsis,AT2G36560,5.979327e-07
Arabidopsis,AT2G18300,6.040296e-07
Arabidopsis,AT3G13855,6.230994e-07
Arabidopsis,AT2G14878,6.590776e-07
Arabidopsis,AT3G59080,7.116919e-07
Arabidopsis,AT5G27960,7.166701e-07
Arabidopsis,AT3G21080,7.181262e-07
Arabidopsis,AT5G07250,7.316899e-07
Arabidopsis,AT3G13890,7.33161e-07
Arabidopsis,AT1G51630,7.633895e-07
Arabidopsis,AT4G25500,8.265959e-07
Arabidopsis,AT4G25515,8.265959e-07
Arabidopsis,AT4G25520,8.265959e-07
Arabidopsis,AT4G25540,8.265959e-07
Arabidopsis,AT4G25550,8.265959e-07
Arabidopsis,AT4G25580,8.265959e-07
Arabidopsis,AT4G25590,8.265959e-07
Arabidopsis,AT4G25670,8.265959e-07
Arabidopsis,AT2G44280,1.300231e-06
Arabidopsis,AT4G25660,1.37598e-06
Arabidopsis,AT2G32510,1.390339e-06
Arabidopsis,AT2G46450,1.392389e-06
Arabidopsis,AT5G64850,1.399265e-06
Arabidopsis,AT5G06839,1.421277e-06
Arabidopsis,AT2G35760,1.558356e-06
Arabidopsis,AT2G46440,1.596364e-06
Arabidopsis,AT5G66562,1.756701e-06
Arabidopsis,AT5G66564,1.756701e-06
Arabidopsis,AT4G15093,1.875238e-06
Arabidopsis,AT3G20780,1.883293e-06
Arabidopsis,AT3G20810,1.883293e-06
Arabidopsis,AT2G18190,1.89218e-06
Arabidopsis,AT3G47010,1.895519e-06
Arabidopsis,AT5G63390,2.051327e-06
Arabidopsis,AT2G36620,2.204476e-06
Arabidopsis,AT3G19260,2.216912e-06
Arabidopsis,AT4G25730,2.255502e-06
Arabidopsis,AT4G01820,2.438049e-06
Arabidopsis,AT2G32270,2.543456e-06
Arabidopsis,AT5G14390,2.553839e-06
Arabidopsis,AT4G05530,2.612009e-06
Arabidopsis,AT3G50020,2.648608e-06
Arabidopsis,AT5G25140,2.805961e-06
Arabidopsis,AT1G01660,2.8565e-06
Arabidopsis,AT1G01670,2.8565e-06
Arabidopsis,AT4G15955,2.93721e-06
Arabidopsis,AT5G01090,2.950205e-06
Arabidopsis,AT5G60900,3.138986e-06
Arabidopsis,AT4G04760,3.396964e-06
Arabidopsis,AT3G48260,3.48334e-06
Arabidopsis,AT2G22360,3.749598e-06
Arabidopsis,AT5G66550,4.023908e-06
Arabidopsis,AT5G66558,4.023908e-06
Arabidopsis,AT5G11170,4.036844e-06
Arabidopsis,AT5G27944,4.140416e-06
Arabidopsis,AT2G46420,4.191007e-06
Arabidopsis,AT5G46660,4.335444e-06
Arabidopsis,AT3G20978,4.389279e-06
Arabidopsis,AT3G21000,4.389279e-06
Arabidopsis,AT4G25510,4.395907e-06
Arabidopsis,AT1G12040,4.550132e-06
Arabidopsis,AT1G12050,4.550132e-06
Arabidopsis,AT2G30280,4.849346e-06
Arabidopsis,AT1G04300,5.08287e-06
Arabidopsis,AT3G20460,5.391849e-06
Arabidopsis,AT4G11080,5.651339e-06
Arabidopsis,AT5G61190,5.701471e-06
Arabidopsis,AT1G27120,5.811097e-06
Arabidopsis,AT3G50130,6.07699e-06
Arabidopsis,AT3G46280,6.147832e-06
Arabidopsis,AT4G11150,6.680771e-06
Arabidopsis,AT4G11160,6.680771e-06
Arabidopsis,AT5G62040,7.081362e-06
Arabidopsis,AT2G22290,7.227874e-06
Arabidopsis,AT3G13970,7.621318e-06
Arabidopsis,AT2G46410,8.393271e-06
Arabidopsis,AT1G12060,8.403027e-06
Arabidopsis,AT3G13850,8.737216e-06
Arabidopsis,AT4G36950,8.89986e-06
Arabidopsis,AT2G15480,8.935333e-06
Arabidopsis,AT5G40430,9.017152e-06
Arabidopsis,AT4G39330,9.024959e-06
Arabidopsis,AT2G17540,9.480031e-06
Arabidopsis,AT2G01910,9.850295e-06
Arabidopsis,AT5G10770,9.869069e-06
Arabidopsis,AT2G35980,1.001717e-05
Arabidopsis,AT1G72040,1.003631e-05
Arabidopsis,AT5G01220,1.008058e-05
Arabidopsis,AT5G01110,1.013011e-05
Arabidopsis,AT5G60690,1.053848e-05
Arabidopsis,AT1G03900,1.136334e-05
Arabidopsis,AT5G65940,1.140204e-05
Arabidopsis,AT5G65970,1.140204e-05
Arabidopsis,AT5G65980,1.140204e-05
Arabidopsis,AT3G20950,1.155551e-05
Arabidopsis,AT3G20960,1.155551e-05
Arabidopsis,AT4G25750,1.162187e-05
Arabidopsis,AT4G16130,1.175883e-05
Arabidopsis,AT3G10060,1.199593e-05
Arabidopsis,AT2G30310,1.231748e-05
Arabidopsis,AT5G66540,1.256542e-05
Arabidopsis,AT5G27510,1.257997e-05
Arabidopsis,AT3G54560,1.28248e-05
Arabidopsis,AT4G11780,1.295322e-05
Arabidopsis,AT1G60920,1.309564e-05
Arabidopsis,AT3G29050,1.314861e-05
Arabidopsis,AT3G13860,1.359722e-05
Arabidopsis,AT3G13820,1.388942e-05
Arabidopsis,AT3G43420,1.414138e-05
Arabidopsis,AT4G01850,1.420976e-05
Arabidopsis,AT1G55790,1.446035e-05
Arabidopsis,AT5G20950,1.472641e-05
Arabidopsis,AT2G35770,1.484341e-05
Arabidopsis,AT3G16750,1.491227e-05
Arabidopsis,AT2G32275,1.549117e-05
Arabidopsis,AT5G60700,1.552416e-05
Arabidopsis,AT5G66010,1.615938e-05
Arabidopsis,AT5G66500,1.632472e-05
Arabidopsis,AT5G66510,1.632472e-05
Arabidopsis,AT2G31820,1.648595e-05
Arabidopsis,AT3G21175,1.677349e-05
Arabidopsis,AT3G21180,1.677349e-05
Arabidopsis,AT5G61020,1.688177e-05
Arabidopsis,AT5G10940,1.70312e-05
Arabidopsis,AT5G04090,1.802467e-05
Arabidopsis,AT2G01280,1.834428e-05
Arabidopsis,AT2G02490,1.876627e-05
Arabidopsis,AT3G24610,1.906421e-05
Arabidopsis,AT5G10720,1.925137e-05
Arabidopsis,AT3G60260,1.933003e-05
Arabidopsis,AT2G32440,1.939442e-05
Arabidopsis,AT1G72010,1.97535e-05
Arabidopsis,AT4G01860,1.991522e-05
Arabidopsis,AT1G52810,2.043624e-05
Arabidopsis,AT3G18130,2.115638e-05
Arabidopsis,AT2G07310,2.145894e-05
Arabidopsis,AT3G60100,2.160889e-05
Arabidopsis,AT5G60130,2.169673e-05
Arabidopsis,AT5G04970,2.170356e-05
Arabidopsis,AT5G27990,2.181153e-05
Arabidopsis,AT5G60710,2.187037e-05
Arabidopsis,AT4G00610,2.204518e-05
Arabidopsis,AT1G23580,2.263642e-05
Arabidopsis,AT3G11420,2.268652e-05
Arabidopsis,AT4G11040,2.291376e-05
Arabidopsis,AT3G50810,2.312513e-05
Arabidopsis,AT1G12070,2.335738e-05
Arabidopsis,AT5G60750,2.349947e-05
Arabidopsis,AT5G60440,2.356756e-05
Arabidopsis,AT4G11680,2.374923e-05
Arabidopsis,AT1G55750,2.500207e-05
Arabidopsis,AT3G21200,2.50431e-05
Arabidopsis,AT5G62310,2.545143e-05
Arabidopsis,AT3G05220,2.6209e-05
Arabidopsis,AT4G15075,2.714861e-05
Arabidopsis,AT1G65050,2.80543e-05
Arabidopsis,AT3G08850,2.825034e-05
Arabidopsis,AT4G16110,2.833053e-05
Arabidopsis,AT4G11790,2.852291e-05
Arabidopsis,AT4G11800,2.852291e-05
Arabidopsis,AT2G21240,2.858145e-05
Arabidopsis,AT4G15563,2.892822e-05
Arabidopsis,AT3G44480,2.915029e-05
Arabidopsis,AT4G15870,2.94086e-05
Arabidopsis,AT2G42600,2.942143e-05
Arabidopsis,AT3G43660,2.976738e-05
Arabidopsis,AT5G60390,3.024594e-05
Arabidopsis,AT5G60400,3.024594e-05
Arabidopsis,AT4G01970,3.029177e-05
Arabidopsis,AT4G15980,3.056176e-05
Arabidopsis,AT4G16000,3.056176e-05
Arabidopsis,AT4G16105,3.056176e-05
Arabidopsis,AT3G14010,3.080718e-05
Arabidopsis,AT2G18150,3.132614e-05
Arabidopsis,AT3G43470,3.135759e-05
Arabidopsis,AT3G13870,3.156523e-05
Arabidopsis,AT3G54610,3.178145e-05
Arabidopsis,AT3G54620,3.178145e-05
Arabidopsis,AT5G11050,3.181277e-05
Arabidopsis,AT3G19400,3.193104e-05
Arabidopsis,AT3G54550,3.259457e-05
Arabidopsis,AT2G32240,3.284745e-05
Arabidopsis,AT3G19620,3.287237e-05
Arabidopsis,AT4G01900,3.342822e-05
Arabidopsis,AT3G20770,3.414399e-05
Arabidopsis,AT5G25050,3.520378e-05
Arabidopsis,AT5G25080,3.520378e-05
Arabidopsis,AT5G02780,3.525809e-05
Arabidopsis,AT3G50110,3.631328e-05
Arabidopsis,AT5G55200,3.642026e-05
Arabidopsis,AT1G48820,3.678575e-05
Arabidopsis,AT4G01335,3.682806e-05
Arabidopsis,AT4G20010,3.686679e-05
Arabidopsis,AT1G64880,3.704949e-05
Arabidopsis,AT5G54062,3.718346e-05
Arabidopsis,AT4G12065,3.767359e-05
Arabidopsis,AT1G64910,3.768665e-05
Arabidopsis,AT1G05550,3.806403e-05
Arabidopsis,AT4G09880,3.856523e-05
