GO molecular function complete	Hordeum vulgare subsp. vulgare - REFLIST (34193)	upload_1 (850)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
double-stranded methylated DNA binding (GO:0010385)	1	1	0.02	+	40.23	2.49E-02
snoRNP binding (GO:0030519)	1	1	0.02	+	40.23	2.49E-02
"dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity (GO:0052917)"	1	1	0.02	+	40.23	2.49E-02
3-deoxy-manno-octulosonate cytidylyltransferase activity (GO:0008690)	1	1	0.02	+	40.23	2.49E-02
box C/D methylation guide snoRNP complex binding (GO:0062064)	1	1	0.02	+	40.23	2.49E-02
cysteine-type carboxypeptidase activity (GO:0016807)	1	1	0.02	+	40.23	2.49E-02
xanthine dehydrogenase activity (GO:0004854)	1	1	0.02	+	40.23	2.49E-02
proteoglycan sulfotransferase activity (GO:0050698)	1	1	0.02	+	40.23	2.49E-02
dethiobiotin synthase activity (GO:0004141)	1	1	0.02	+	40.23	2.49E-02
N-terminal protein N-methyltransferase activity (GO:0071885)	1	1	0.02	+	40.23	2.49E-02
biotin synthase activity (GO:0004076)	1	1	0.02	+	40.23	2.49E-02
cysteine-type exopeptidase activity (GO:0070004)	1	1	0.02	+	40.23	2.49E-02
O-phospho-L-serine:2-oxoglutarate aminotransferase activity (GO:0004648)	1	1	0.02	+	40.23	2.49E-02
glutathione peroxidase activity (GO:0004602)	1	1	0.02	+	40.23	2.49E-02
heparan sulfate 6-sulfotransferase activity (GO:0017095)	1	1	0.02	+	40.23	2.49E-02
peroxisome matrix targeting signal-1 binding (GO:0005052)	1	1	0.02	+	40.23	2.49E-02
mediator complex binding (GO:0036033)	1	1	0.02	+	40.23	2.49E-02
heparan sulfate sulfotransferase activity (GO:0034483)	1	1	0.02	+	40.23	2.49E-02
leukotriene-C4 synthase activity (GO:0004464)	1	1	0.02	+	40.23	2.49E-02
euchromatin binding (GO:1990188)	1	1	0.02	+	40.23	2.49E-02
1-phosphatidylinositol-3-kinase activity (GO:0016303)	1	1	0.02	+	40.23	2.49E-02
glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	2	1	0.05	+	20.11	4.91E-02
jasmonoyl-L-amino acid ligase activity (GO:0080123)	2	1	0.05	+	20.11	4.91E-02
2-(3-amino-3-carboxypropyl)histidine synthase activity (GO:0090560)	2	1	0.05	+	20.11	4.91E-02
UFM1 ligase activity (GO:0061666)	2	1	0.05	+	20.11	4.91E-02
5-diphosphoinositol pentakisphosphate 1-kinase activity (GO:0033857)	2	1	0.05	+	20.11	4.91E-02
molecular condensate scaffold activity (GO:0140693)	2	1	0.05	+	20.11	4.91E-02
misfolded protein binding (GO:0051787)	2	1	0.05	+	20.11	4.91E-02
transketolase activity (GO:0004802)	2	1	0.05	+	20.11	4.91E-02
"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor (GO:0016726)"	2	1	0.05	+	20.11	4.91E-02
gamma-glutamylaminecyclotransferase activity (GO:0061929)	2	1	0.05	+	20.11	4.91E-02
diphosphoinositol pentakisphosphate kinase activity (GO:0000829)	2	1	0.05	+	20.11	4.91E-02
inositol hexakisphosphate kinase activity (GO:0000828)	2	1	0.05	+	20.11	4.91E-02
thiol S-methyltransferase activity (GO:0018708)	2	1	0.05	+	20.11	4.91E-02
sulfur dioxygenase activity (GO:0050313)	2	1	0.05	+	20.11	4.91E-02
homoserine dehydrogenase activity (GO:0004412)	2	1	0.05	+	20.11	4.91E-02
NADPH-hemoprotein reductase activity (GO:0003958)	2	1	0.05	+	20.11	4.91E-02
phosphoglycerate dehydrogenase activity (GO:0004617)	7	3	0.17	+	17.24	4.97E-04
5'-3' RNA exonuclease activity (GO:0004534)	10	2	0.25	+	8.05	2.43E-02
auxin receptor activity (GO:0038198)	10	2	0.25	+	8.05	2.43E-02
histone octamer slider activity (GO:0140751)	10	2	0.25	+	8.05	2.43E-02
nucleosome array spacer activity (GO:0140750)	10	2	0.25	+	8.05	2.43E-02
cytidylyltransferase activity (GO:0070567)	12	2	0.3	+	6.7	3.45E-02
protein kinase inhibitor activity (GO:0004860)	13	2	0.32	+	6.19	4.02E-02
fatty acid elongase activity (GO:0009922)	13	2	0.32	+	6.19	4.02E-02
rRNA N-glycosylase activity (GO:0030598)	20	3	0.5	+	6.03	1.27E-02
magnesium ion transmembrane transporter activity (GO:0015095)	20	3	0.5	+	6.03	1.27E-02
RNA glycosylase activity (GO:0030597)	21	3	0.52	+	5.75	1.46E-02
"1,3-beta-D-glucan synthase activity (GO:0003843)"	14	2	0.35	+	5.75	4.61E-02
calmodulin binding (GO:0005516)	150	17	3.73	+	4.56	2.23E-07
toxin activity (GO:0090729)	31	3	0.77	+	3.89	4.11E-02
xenobiotic transmembrane transporter activity (GO:0042910)	62	5	1.54	+	3.24	1.89E-02
quercetin 7-O-glucosyltransferase activity (GO:0080044)	53	4	1.32	+	3.04	4.26E-02
quercetin 3-O-glucosyltransferase activity (GO:0080043)	53	4	1.32	+	3.04	4.26E-02
actin filament binding (GO:0051015)	82	6	2.04	+	2.94	1.65E-02
actin binding (GO:0003779)	108	7	2.68	+	2.61	1.84E-02
protein-containing complex binding (GO:0044877)	260	15	6.46	+	2.32	3.75E-03
DNA binding (GO:0003677)	2573	81	63.96	+	1.27	2.95E-02
lipid binding (GO:0008289)	311	2	7.73	-	0.26	2.74E-02
