GO biological process complete	Zea mays - REFLIST (39216)	upload_1 (3615)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
corolla development (GO:0048465)	2	2	0.18	+	10.85	8.50E-03
petal development (GO:0048441)	2	2	0.18	+	10.85	8.50E-03
cap-dependent translational initiation (GO:0002191)	2	2	0.18	+	10.85	8.50E-03
D-gluconate metabolic process (GO:0019521)	3	2	0.28	+	7.23	2.39E-02
serotonin metabolic process (GO:0042428)	3	2	0.28	+	7.23	2.39E-02
transcription antitermination (GO:0031564)	3	2	0.28	+	7.23	2.39E-02
mitochondrial fission (GO:0000266)	3	2	0.28	+	7.23	2.39E-02
"glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)"	3	2	0.28	+	7.23	2.39E-02
glucosinolate metabolic process (GO:0019760)	3	2	0.28	+	7.23	2.39E-02
positive regulation of gibberellic acid mediated signaling pathway (GO:0009939)	3	2	0.28	+	7.23	2.39E-02
regulation of mitochondrion organization (GO:0010821)	5	3	0.46	+	6.51	6.79E-03
negative regulation of termination of DNA-templated transcription (GO:0060567)	4	2	0.37	+	5.42	4.49E-02
regulation of termination of DNA-templated transcription (GO:0031554)	4	2	0.37	+	5.42	4.49E-02
regulation of transcription by RNA polymerase I (GO:0006356)	4	2	0.37	+	5.42	4.49E-02
anthocyanin accumulation in tissues in response to UV light (GO:0043481)	4	2	0.37	+	5.42	4.49E-02
pigment accumulation in tissues (GO:0043480)	4	2	0.37	+	5.42	4.49E-02
pigment accumulation in tissues in response to UV light (GO:0043479)	4	2	0.37	+	5.42	4.49E-02
pigment accumulation in response to UV light (GO:0043478)	4	2	0.37	+	5.42	4.49E-02
pigment accumulation (GO:0043476)	4	2	0.37	+	5.42	4.49E-02
pigmentation (GO:0043473)	4	2	0.37	+	5.42	4.49E-02
positive regulation of brassinosteroid mediated signaling pathway (GO:1900459)	4	2	0.37	+	5.42	4.49E-02
microsporogenesis (GO:0009556)	8	4	0.74	+	5.42	3.72E-03
establishment or maintenance of cytoskeleton polarity (GO:0030952)	4	2	0.37	+	5.42	4.49E-02
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	4	2	0.37	+	5.42	4.49E-02
positive regulation of mitochondrial DNA replication (GO:0090297)	4	2	0.37	+	5.42	4.49E-02
regulation of mitochondrial DNA replication (GO:0090296)	4	2	0.37	+	5.42	4.49E-02
endocytic recycling (GO:0032456)	6	3	0.55	+	5.42	1.26E-02
collagen metabolic process (GO:0032963)	4	2	0.37	+	5.42	4.49E-02
specification of plant organ axis polarity (GO:0090708)	4	2	0.37	+	5.42	4.49E-02
