GO molecular function complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
acireductone dioxygenase [iron(II)-requiring] activity (GO:0010309)	4	4	1.53	+	2.61	2.15E-02
acireductone dioxygenase (Ni2+-requiring) activity (GO:0010308)	4	4	1.53	+	2.61	2.15E-02
galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity (GO:0015018)	4	4	1.53	+	2.61	2.15E-02
"phosphotransferase activity, paired acceptors (GO:0016781)"	4	4	1.53	+	2.61	2.15E-02
DNA (cytosine-5-)-methyltransferase activity (GO:0003886)	9	8	3.44	+	2.32	2.73E-03
1-aminocyclopropane-1-carboxylate synthase activity (GO:0016847)	8	7	3.06	+	2.29	6.40E-03
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity (GO:0004365)	7	6	2.68	+	2.24	1.48E-02
glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] (phosphorylating) activity (GO:0043891)	7	6	2.68	+	2.24	1.48E-02
uniporter activity (GO:0015292)	7	6	2.68	+	2.24	1.48E-02
"alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity (GO:0033840)"	6	5	2.3	+	2.18	3.36E-02
alanine-glyoxylate transaminase activity (GO:0008453)	6	5	2.3	+	2.18	3.36E-02
"oxidoreductase activity, acting on other nitrogenous compounds as donors (GO:0016661)"	6	5	2.3	+	2.18	3.36E-02
L-leucine-2-oxoglutarate transaminase activity (GO:0052654)	6	5	2.3	+	2.18	3.36E-02
DNA-methyltransferase activity (GO:0009008)	10	8	3.83	+	2.09	9.04E-03
auxin influx transmembrane transporter activity (GO:0010328)	12	9	4.59	+	1.96	1.41E-02
protein phosphatase binding (GO:0019903)	12	9	4.59	+	1.96	1.41E-02
trehalose-phosphatase activity (GO:0004805)	11	8	4.21	+	1.9	2.70E-02
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)"	17	12	6.51	+	1.84	1.02E-02
"phosphatidylinositol-4,5-bisphosphate phosphatase activity (GO:0106019)"	15	10	5.74	+	1.74	3.19E-02
DNA-binding transcription repressor activity (GO:0001217)	27	18	10.33	+	1.74	4.47E-03
"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)"	15	10	5.74	+	1.74	3.19E-02
primary methylamine oxidase activity (GO:0008131)	15	10	5.74	+	1.74	3.19E-02
auxin transmembrane transporter activity (GO:0080161)	29	19	11.1	+	1.71	3.57E-03
auxin efflux transmembrane transporter activity (GO:0010329)	26	17	9.95	+	1.71	7.35E-03
phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595)	20	13	7.65	+	1.7	1.96E-02
"NAD+ nucleosidase activity, cyclic ADP-ribose generating (GO:0061809)"	82	53	31.39	+	1.69	1.79E-06
terpene synthase activity (GO:0010333)	33	21	12.63	+	1.66	3.68E-03
zinc ion transmembrane transporter activity (GO:0005385)	27	17	10.33	+	1.65	9.96E-03
phosphatidylinositol phosphate phosphatase activity (GO:0052866)	28	17	10.72	+	1.59	1.87E-02
cysteine-type endopeptidase activity (GO:0004197)	63	38	24.11	+	1.58	4.12E-04
L-amino acid transmembrane transporter activity (GO:0015179)	29	17	11.1	+	1.53	3.38E-02
histone H3 methyltransferase activity (GO:0140938)	29	17	11.1	+	1.53	3.38E-02
pectate lyase activity (GO:0030570)	26	15	9.95	+	1.51	4.54E-02
cyclin-dependent protein kinase regulator activity (GO:0019914)	52	30	19.9	+	1.51	6.07E-03
"oxidoreductase activity, acting on the CH-NH2 group of donors (GO:0016638)"	26	15	9.95	+	1.51	4.54E-02
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	52	30	19.9	+	1.51	6.07E-03
calcium/calmodulin-dependent protein kinase activity (GO:0004683)	47	27	17.99	+	1.5	9.89E-03
calcium-dependent protein serine/threonine kinase activity (GO:0009931)	47	27	17.99	+	1.5	9.89E-03
