GO molecular function complete	Oryza sativa - REFLIST (43658)	upload_1 (343)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
L-galactose dehydrogenase activity (GO:0010349)	1	1	0.01	+	 > 100	7.86E-03
L-cystine transmembrane transporter activity (GO:0015184)	1	1	0.01	+	 > 100	7.86E-03
tRNA (guanine(26)-N2)-dimethyltransferase activity (GO:0160104)	2	2	0.02	+	 > 100	6.15E-05
galactose oxidase activity (GO:0045480)	1	1	0.01	+	 > 100	7.86E-03
sulfur amino acid transmembrane transporter activity (GO:0000099)	1	1	0.01	+	 > 100	7.86E-03
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740)	2	1	0.02	+	63.64	1.57E-02
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	2	1	0.02	+	63.64	1.57E-02
U2 snRNA binding (GO:0030620)	2	1	0.02	+	63.64	1.57E-02
lipoate synthase activity (GO:0016992)	3	1	0.02	+	42.43	2.34E-02
SUMO conjugating enzyme activity (GO:0061656)	3	1	0.02	+	42.43	2.34E-02
"3,4-dihydroxy-2-butanone-4-phosphate synthase activity (GO:0008686)"	3	1	0.02	+	42.43	2.34E-02
serine-tRNA ligase activity (GO:0004828)	3	1	0.02	+	42.43	2.34E-02
alanine-tRNA ligase activity (GO:0004813)	3	1	0.02	+	42.43	2.34E-02
electron-transferring-flavoprotein dehydrogenase activity (GO:0004174)	3	1	0.02	+	42.43	2.34E-02
tRNA-specific adenosine-34 deaminase activity (GO:0052717)	3	1	0.02	+	42.43	2.34E-02
phosphoribosylamine-glycine ligase activity (GO:0004637)	3	1	0.02	+	42.43	2.34E-02
jasmonic acid hydrolase (GO:0120091)	3	1	0.02	+	42.43	2.34E-02
NADH kinase activity (GO:0042736)	3	1	0.02	+	42.43	2.34E-02
folic acid binding (GO:0005542)	3	1	0.02	+	42.43	2.34E-02
GTP cyclohydrolase II activity (GO:0003935)	3	1	0.02	+	42.43	2.34E-02
GTP cyclohydrolase activity (GO:0003933)	3	1	0.02	+	42.43	2.34E-02
DNA ligase (ATP) activity (GO:0003910)	3	1	0.02	+	42.43	2.34E-02
DNA ligase activity (GO:0003909)	3	1	0.02	+	42.43	2.34E-02
mRNA 3'-UTR AU-rich region binding (GO:0035925)	7	2	0.05	+	36.37	1.26E-03
phosphoprotein binding (GO:0051219)	4	1	0.03	+	31.82	3.11E-02
RNA polymerase II C-terminal domain binding (GO:0099122)	4	1	0.03	+	31.82	3.11E-02
"ligase activity, forming phosphoric ester bonds (GO:0016886)"	4	1	0.03	+	31.82	3.11E-02
beta-carotene 3-hydroxylase activity (GO:0010291)	4	1	0.03	+	31.82	3.11E-02
pinoresinol reductase activity (GO:0010283)	4	1	0.03	+	31.82	3.11E-02
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity (GO:0050567)	4	1	0.03	+	31.82	3.11E-02
"oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (GO:0016649)"	4	1	0.03	+	31.82	3.11E-02
RNA polymerase II C-terminal domain phosphoserine binding (GO:1990269)	4	1	0.03	+	31.82	3.11E-02
tRNA-specific adenosine deaminase activity (GO:0008251)	4	1	0.03	+	31.82	3.11E-02
protein phosphorylated amino acid binding (GO:0045309)	4	1	0.03	+	31.82	3.11E-02
NAD+ kinase activity (GO:0003951)	4	1	0.03	+	31.82	3.11E-02
U1 snRNA binding (GO:0030619)	4	1	0.03	+	31.82	3.11E-02
