"Lines","Long","Lat","crop","am_rel_abundance_colonization_value"
"88",0.683333,47.4,"arabidopsis",NA
"108",-4.06667,48.5167,"arabidopsis",NA
"139",-4.06667,48.5167,"arabidopsis",NA
"159",3.93333,47.35,"arabidopsis",0.613937079906464
"265",-1.16667,44.65,"arabidopsis",NA
"350",4.11667,46.6667,"arabidopsis",0.613937079906464
"351",4.11667,46.6667,"arabidopsis",0.613937079906464
"403",16.2667,49.3667,"arabidopsis",0.595904588699341
"410",16.3497,49.4211,"arabidopsis",0.595904588699341
"424",16.2815,49.4112,"arabidopsis",0.595904588699341
"428",16.232,49.403,"arabidopsis",0.595904588699341
"430",15.5,47,"arabidopsis",NA
"470",-87.735,40.8313,"arabidopsis",NA
"476",-87.735,40.8313,"arabidopsis",NA
"484",-87.735,40.8313,"arabidopsis",NA
"504",-87.735,40.8313,"arabidopsis",NA
"506",-87.735,40.8313,"arabidopsis",NA
"531",-87.735,40.8313,"arabidopsis",NA
"544",-73.2089,40.9076,"arabidopsis",NA
"546",-73.2089,40.9076,"arabidopsis",NA
"628",-72.9069,40.7777,"arabidopsis",NA
"630",-72.9069,40.7777,"arabidopsis",NA
"680",-72.8615,40.9447,"arabidopsis",NA
"681",-72.8615,40.9447,"arabidopsis",NA
"685",-73.1493,40.9064,"arabidopsis",NA
"687",-73.1493,40.9064,"arabidopsis",NA
"728",-73.114,40.9352,"arabidopsis",NA
"742",-73.114,40.9352,"arabidopsis",NA
"763",74.3667,42.3,"arabidopsis",0.197884559631348
"765",73.41,42.19,"arabidopsis",0.197884559631348
"766",73.6333,42.5833,"arabidopsis",0.484620660543442
"768",76.35,42.8,"arabidopsis",0.484620660543442
"772",72.4667,37.35,"arabidopsis",0.378976702690125
"801",-84.4639,37.9169,"arabidopsis",NA
"853",-86.6691,41.7976,"arabidopsis",NA
"854",-86.6691,41.7976,"arabidopsis",NA
"867",-86.4366,41.8266,"arabidopsis",NA
"868",-86.4366,41.8266,"arabidopsis",NA
"870",-86.4366,41.8266,"arabidopsis",NA
"915",-71.4378,41.8972,"arabidopsis",NA
"932",-71.1445,42.3634,"arabidopsis",NA
"991",14.0526813,55.3822641,"arabidopsis",NA
"992",14.0526813,55.3822641,"arabidopsis",NA
"997",14.0526813,55.3822641,"arabidopsis",NA
"1002",14.0526813,55.3822641,"arabidopsis",NA
"1006",14.0526813,55.3822641,"arabidopsis",NA
"1061",14.1333,55.7167,"arabidopsis",0.607760667800903
"1062",14.1333,55.7167,"arabidopsis",0.607760667800903
"1063",14.1333,55.7167,"arabidopsis",0.607760667800903
"1066",14.1333,55.7167,"arabidopsis",0.607760667800903
"1070",14.1333,55.7167,"arabidopsis",0.607760667800903
"1158",16.5167,56.7,"arabidopsis",NA
"1166",16.5167,56.7,"arabidopsis",NA
"1254",17.0167,59.4333,"arabidopsis",NA
"1257",17.0167,59.4333,"arabidopsis",NA
"1313",16.8667,59.5667,"arabidopsis",NA
"1317",16.8667,59.5667,"arabidopsis",NA
"1552",18.3667,63.0833,"arabidopsis",NA
"1612",-86.583,41.9,"arabidopsis",NA
"1622",-86.583,41.9,"arabidopsis",NA
"1651",-86.4045,43.3431,"arabidopsis",NA
"1652",-86.4045,43.3431,"arabidopsis",NA
"1676",-86.607,41.879,"arabidopsis",NA
"1684",-86.607,41.879,"arabidopsis",NA
"1739",-85.398,42.405,"arabidopsis",NA
"1741",-85.398,42.405,"arabidopsis",NA
"1756",-86.358,42.184,"arabidopsis",NA
"1757",-86.358,42.184,"arabidopsis",NA
"1793",-86.67,41.847,"arabidopsis",NA
"1797",-86.67,41.847,"arabidopsis",NA
"1819",-86.67,41.8,"arabidopsis",NA
"1820",-86.67,41.8,"arabidopsis",NA
"1829",-86.509,42.051,"arabidopsis",NA
"1834",-86.509,42.051,"arabidopsis",NA
"1835",-86.509,42.051,"arabidopsis",NA
"1851",-86.2657,43.595,"arabidopsis",NA
"1852",-86.2657,43.595,"arabidopsis",NA
"1853",-86.2657,43.595,"arabidopsis",NA
"1872",-86.2657,43.595,"arabidopsis",NA
"1890",-86.1859,43.5139,"arabidopsis",NA
"1925",-86.1843,43.5251,"arabidopsis",NA
"1942",-86.1843,43.5251,"arabidopsis",NA
"1943",-86.1843,43.5251,"arabidopsis",NA
"1954",-86.1739,43.5187,"arabidopsis",NA
"2016",-86.1788,43.5356,"arabidopsis",NA
"2017",-86.1788,43.5356,"arabidopsis",NA
"2031",-86.412,42.166,"arabidopsis",NA
"2053",-86.412,42.166,"arabidopsis",NA
"2057",-86.412,42.166,"arabidopsis",NA
"2081",-86.3368,43.2483,"arabidopsis",NA
"2091",-86.3368,43.2483,"arabidopsis",NA
"2106",-86.0891,43.2749,"arabidopsis",0.528501987457275
"2108",-86.0891,43.2749,"arabidopsis",0.528501987457275
"2141",-86.0891,43.2749,"arabidopsis",0.528501987457275
"2159",-86.431,42.148,"arabidopsis",NA
"2166",-86.431,42.148,"arabidopsis",NA
"2171",-86.431,42.148,"arabidopsis",NA
"2191",-86.3929,43.7623,"arabidopsis",0.528501987457275
"2202",-86.3929,43.7623,"arabidopsis",0.528501987457275
"2212",-86.3929,43.7623,"arabidopsis",0.528501987457275
"2239",-86.382,42.184,"arabidopsis",NA
"2240",-86.382,42.184,"arabidopsis",NA
"2276",-86.496,43.665,"arabidopsis",NA
"2278",-86.496,43.665,"arabidopsis",NA
"2285",-86.496,43.665,"arabidopsis",NA
"2286",-86.496,43.665,"arabidopsis",NA
"2317",-86.514,42.03,"arabidopsis",NA
"2370",-86.646,41.865,"arabidopsis",NA
"2412",-86.646,41.865,"arabidopsis",NA
"4779",-4.9,50.4,"arabidopsis",NA
"4807",-4.9,50.4,"arabidopsis",NA
"4826",-4.9,50.4,"arabidopsis",NA
"4840",-4.9,50.4,"arabidopsis",NA
"4857",-4.9,50.3,"arabidopsis",NA
"4884",-4.9,50.3,"arabidopsis",NA
"4900",-4.8,50.3,"arabidopsis",NA
"4939",-4.7,50.4,"arabidopsis",0.714606821537018
"4958",-4.5,50.5,"arabidopsis",NA
"5023",0.5,51.3,"arabidopsis",NA
"5104",0.5,51.3,"arabidopsis",NA
"5151",-1.7,52.2,"arabidopsis",NA
"5165",0.4,51.3,"arabidopsis",NA
"5210",0.3,51.2,"arabidopsis",0.714606821537018
"5236",0.4,51.2,"arabidopsis",NA
"5249",0.3,51.2,"arabidopsis",0.714606821537018
"5253",0.6,51.1,"arabidopsis",0.714606821537018
"5276",1.1,51.3,"arabidopsis",NA
"5279",1.1,51.3,"arabidopsis",NA
"5349",0.4,51.1,"arabidopsis",0.714606821537018
"5353",-3,54.5,"arabidopsis",0.714606821537018
"5395",-3,54.4,"arabidopsis",0.714606821537018
"5486",-3.3,54.6,"arabidopsis",0.809260368347168
"5577",-3.4,54.7,"arabidopsis",NA
"5644",-2.9,54.4,"arabidopsis",0.714606821537018
"5651",-2.9,54.4,"arabidopsis",0.714606821537018
"5717",-3.2,54.6,"arabidopsis",0.809260368347168
"5718",-3.4,57,"arabidopsis",0.827512502670288
"5720",-1.6,53.3,"arabidopsis",0.809260368347168
"5726",1.1,51.3,"arabidopsis",NA
"5741",-4.1,56.6,"arabidopsis",NA
"5748",-4.4,56,"arabidopsis",0.714606821537018
"5757",-2.3,54.6,"arabidopsis",0.771799564361572
"5768",-1.5,54.1,"arabidopsis",NA
"5772",-2.3,54.1,"arabidopsis",0.613937079906464
"5776",-1.3,52.9,"arabidopsis",NA
"5779",-3.1,51,"arabidopsis",0.714606821537018
"5784",-5.2,56.4,"arabidopsis",0.615019619464874
"5798",-3.3,53.1,"arabidopsis",0.613937079906464
"5800",-5.5,57.4,"arabidopsis",0.714606821537018
"5811",-3.1,52.9,"arabidopsis",0.613937079906464
"5822",-5.98333,56.7333,"arabidopsis",NA
"5830",15.9807762,56.3130014,"arabidopsis",NA
"5831",15.9807762,56.3130014,"arabidopsis",NA
"5832",15.9807762,56.3130014,"arabidopsis",NA
"5836",13.51,55.86,"arabidopsis",0.607760667800903
"5837",16.2326,49.4013,"arabidopsis",0.595904588699341
"5856",17.4849587,63.0091989,"arabidopsis",0.836719393730164
"5860",18.0141098,62.6827735,"arabidopsis",0.836719393730164
"5865",14.1231006,55.7565106,"arabidopsis",0.607760667800903
