Phenotype,Orthogroup,Gene_count,Maize_gene,Maize_pvalue_max,Sorghum_gene,Sorghum_pvalue_max,Rice_gene,Rice_pvalue_max,Barley_gene,Barley_pvalue_max,Arabidopsis_gene,Arabidopsis_pvalue_max
soilN,4725244at2759,5,Zm00001eb014110,Zm00001eb014110:0.000627737,SORBI_3006G217300,SORBI_3006G217300:9.79558e-06,LOC_Os09g03230,LOC_Os09g03230:6.5685e-06,HORVU.MOREX.r3.2HG0195580,HORVU.MOREX.r3.2HG0195580:2.03174e-06,AT1G12780,AT1G12780:0.00307895
soilN,643341at2759,5,Zm00001eb032940;Zm00001eb059050;Zm00001eb066630;Zm00001eb222050;Zm00001eb303060;Zm00001eb362650;Zm00001eb378340;Zm00001eb402940;Zm00001eb403550,Zm00001eb032940:0.000781879;Zm00001eb059050:0.00404205;Zm00001eb066630:0.00187654;Zm00001eb222050:0.00017595;Zm00001eb303060:0.000383158;Zm00001eb362650:0.000857634;Zm00001eb378340:0.000668423;Zm00001eb402940:0.000833333;Zm00001eb403550:0.00136576,SORBI_3006G217900,SORBI_3006G217900:0.00133997,LOC_Os02g01540,LOC_Os02g01540:0.000290479,HORVU.MOREX.r3.1HG0041440,HORVU.MOREX.r3.1HG0041440:0.000111105,AT1G08590;AT1G09970;AT2G26330,AT1G08590:0.00322711;AT1G09970:0.00302556;AT2G26330:0.000520408
soilN,168202at33090,4,Zm00001eb073810;Zm00001eb297760;Zm00001eb430920,Zm00001eb073810:0.000551296;Zm00001eb297760:0.00289775;Zm00001eb430920:5.34644e-05,SORBI_3009G003700,SORBI_3009G003700:0.00150383,,,HORVU.MOREX.r3.7HG0750280,HORVU.MOREX.r3.7HG0750280:0.000398377,AT5G43810,AT5G43810:0.00285681
soilN,179088at33090,4,Zm00001eb148270;Zm00001eb384970,Zm00001eb148270:0.00169845;Zm00001eb384970:0.00385041,SORBI_3005G005800,SORBI_3005G005800:0.000750357,,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,HORVU.MOREX.r3.1HG0073500:0.000976668;HORVU.MOREX.r3.3HG0302440:0.000768285,AT3G09220;AT4G39830;AT5G60020,AT3G09220:0.00208567;AT4G39830:0.000894681;AT5G60020:0.00285563
soilN,2496771at2759,4,Zm00001eb092720;Zm00001eb196930,Zm00001eb092720:0.00364846;Zm00001eb196930:0.00315524,SORBI_3001G358200,SORBI_3001G358200:0.000203508,,,HORVU.MOREX.r3.6HG0557060,HORVU.MOREX.r3.6HG0557060:0.00141555,AT4G33050,AT4G33050:0.0026406
soilN,301827at2759,4,Zm00001eb280720,Zm00001eb280720:0.00150185,SORBI_3004G247300;SORBI_3006G161200,SORBI_3004G247300:0.00188616;SORBI_3006G161200:2.93e-05,,,HORVU.MOREX.r3.2HG0184560,HORVU.MOREX.r3.2HG0184560:0.000733735,AT2G01660,AT2G01660:0.00136728
soilN,434009at2759,4,Zm00001eb163690;Zm00001eb405560,Zm00001eb163690:0.0023268;Zm00001eb405560:0.0025034,SORBI_3003G331000,SORBI_3003G331000:0.00039433,LOC_Os11g01280,LOC_Os11g01280:0.000412626,HORVU.MOREX.r3.5HG0425710,HORVU.MOREX.r3.5HG0425710:0.00258768,,
soilN,4590808at2759,4,Zm00001eb005530;Zm00001eb070480,Zm00001eb005530:0.000471393;Zm00001eb070480:0.00133031,SORBI_3006G218600,SORBI_3006G218600:0.000796112,,,HORVU.MOREX.r3.2HG0195300,HORVU.MOREX.r3.2HG0195300:0.00373406,AT1G14330;AT2G02870,AT1G14330:0.00137347;AT2G02870:0.00218453
soilN,4755763at2759,4,Zm00001eb030420;Zm00001eb051470,Zm00001eb030420:0.00366205;Zm00001eb051470:0.00368272,SORBI_3003G420500,SORBI_3003G420500:0.00142607,,,HORVU.MOREX.r3.5HG0492640,HORVU.MOREX.r3.5HG0492640:0.00137982,AT5G57110,AT5G57110:6.81492e-05
soilN,4805980at2759,4,Zm00001eb084910;Zm00001eb113170;Zm00001eb329580,Zm00001eb084910:0.00119235;Zm00001eb113170:0.00139266;Zm00001eb329580:0.00105303,SORBI_3002G229100;SORBI_3006G058000,SORBI_3002G229100:0.000482335;SORBI_3006G058000:0.000199979,,,HORVU.MOREX.r3.6HG0623790,HORVU.MOREX.r3.6HG0623790:4.97826e-06,AT3G02110,AT3G02110:0.00270599
