"Lines","Long","Lat","crop","n_value","log_n"
"IS14446.70MUKAAXX.2.250006019",35.22000122,14.03999996,"sorghum",88,1.94448267215017
"IS14567.MRG.4.250047680",35.43000031,13.82999992,"sorghum",NA,NA
"IS21519.628NVAAXX.5.250006979",33.63000107,-11.71000004,"sorghum",107,2.02938377768521
"IS25522.MRG.4.250047691",29.39999962,-3.339999914,"sorghum",184,2.26481782300954
"IS25523.MRG.4.250047692",29.39999962,-3.339999914,"sorghum",184,2.26481782300954
"IS25524.MRG.4.250047693",29.34000015,-3.49000001,"sorghum",NA,NA
"IS30898.B064FABXX.1.250009989",33.75,1.860000014,"sorghum",281,2.44870631990508
"IS31123.B064FABXX.1.250010001",30.92000008,3.160000086,"sorghum",321,2.50650503240487
"IS9168.70MUKAAXX.2.250006009",34.7451266,-0.6054147,"sorghum",360,2.55630250076729
"IS10068.C1AB3ACXX.7.250137465",-4.76666,10.6333,"sorghum",108,2.03342375548695
"IS10189.C1AB3ACXX.7.250137466",-4.300000191,11.19999981,"sorghum",NA,NA
"IS10191.C1AB3ACXX.7.250138387",-0.100000001,12.01000023,"sorghum",76,1.88081359228079
"IS1033.C1AB3ACXX.7.250137245",72.83000183,21.17000008,"sorghum",NA,NA
"IS1036.C1AB3ACXX.7.250137246",72.87000275,18.64999962,"sorghum",388,2.58883172559421
"IS1052.C1AB3ACXX.7.250137247",80.44999695,16.29999924,"sorghum",NA,NA
"IS10876.628P7AAXX.7.250007049",8.380000114,9.75,"sorghum",89,1.94939000664491
"IS10882.628P7AAXX.7.250007073",8.380000114,9.75,"sorghum",89,1.94939000664491
"IS1106.C1AB3ACXX.7.250137248",77.58000183,12.97000027,"sorghum",NA,NA
"IS1107.C1AB3ACXX.7.250137249",75.54000092,22.42000008,"sorghum",144,2.15836249209525
"IS11119.628NVAAXX.5.250006899",38.22999954,9.5,"sorghum",350,2.54406804435028
"IS1127.70MUKAAXX.1.250006394",87.80000305,26.01000023,"sorghum",145,2.16136800223497
"IS11374.70MUKAAXX.2.250006018",36.52999878,9.079999924,"sorghum",444,2.64738297011462
"IS11424.C1AB3ACXX.7.250138388",38.08000183,4.880000114,"sorghum",265,2.42324587393681
