,sorghum_aridity_index
IS14446.70MUKAAXX.2.250006019,2178
IS14567.MRG.4.250047680,2541
IS21519.628NVAAXX.5.250006979,5420
IS25522.MRG.4.250047691,5561
IS25523.MRG.4.250047692,5561
IS25524.MRG.4.250047693,5730
IS30898.B064FABXX.1.250009989,6318
IS31123.B064FABXX.1.250010001,7317
IS9168.70MUKAAXX.2.250006009,9042
IS10068.C1AB3ACXX.7.250137465,4849
IS10189.C1AB3ACXX.7.250137466,4286
IS10191.C1AB3ACXX.7.250138387,3236
IS1033.C1AB3ACXX.7.250137245,5235
IS1036.C1AB3ACXX.7.250137246,11495
IS1052.C1AB3ACXX.7.250137247,4344
IS10876.628P7AAXX.7.250007049,7055
IS10882.628P7AAXX.7.250007073,7055
IS1106.C1AB3ACXX.7.250137248,4270
IS1107.C1AB3ACXX.7.250137249,3915
IS11119.628NVAAXX.5.250006899,6584
IS1127.70MUKAAXX.1.250006394,10576
IS11374.70MUKAAXX.2.250006018,11470
IS11424.C1AB3ACXX.7.250138388,4045
IS11431.C1AB3ACXX.7.250138389,10546
IS11473.D0D0HACXX.5.250046338,1385
IS1151.C1AB3ACXX.7.250137250,4160
IS11619.D0D0HACXX.5.250046339,6392
IS11758.B064FABXX.1.250009960,3973
IS1182.C1AB3ACXX.7.250137251,5451
IS1186.C1AB3ACXX.7.250137252,4361
IS1187.C1AB3ACXX.7.250137253,5045
IS11919.D0D0HACXX.5.250046340,2618
IS11954.MRG.4.250047668,2278
IS11960.D0D0HACXX.5.250046081,2278
IS12031.C1AB3ACXX.7.250138390,5828
IS12106.C1AB3ACXX.7.250138391,1226
IS12110.70MUKAAXX.2.250006030,10633
IS12169.628NVAAXX.5.250006923,4470
IS1236.C1AB3ACXX.7.250137254,3748
IS1240.C1AB3ACXX.7.250137255,3421
IS1243.C1AB3ACXX.7.250137256,3492
IS1246.C1AB3ACXX.7.250137257,3799
IS12531.628NVAAXX.5.250006971,4017
IS1257.C1AB3ACXX.7.250137258,3276
IS12584.C1AB3ACXX.7.250138392,4723
IS12590.C1AB3ACXX.7.250138393,3148
IS12606.C1AB3ACXX.7.250138394,15804
IS12734.C1AB3ACXX.7.250138395,6600
