,maize_aridity_index
SEEDGWAS10:MRG:4:250054453,11546
SEEDGWAS1000:MRG:4:250067677,3855
SEEDGWAS1001:MRG:4:250067678,2865
SEEDGWAS1003:MRG:4:250067679,5863
SEEDGWAS1004:MRG:4:250067680,8263
SEEDGWAS1006:MRG:4:250067682,7640
SEEDGWAS1007:MRG:4:250067684,7323
SEEDGWAS1008:MRG:4:250067716,10825
SEEDGWAS1009:MRG:4:250067717,7161
SEEDGWAS101:MRG:4:250054517,9415
SEEDGWAS1011:MRG:4:250067718,6942
SEEDGWAS1012:MRG:4:250067719,6942
SEEDGWAS1014:MRG:4:250067720,7222
SEEDGWAS1015:MRG:4:250067721,7804
SEEDGWAS1019:MRG:4:250067723,10855
SEEDGWAS1020:MRG:4:250067724,6160
SEEDGWAS1022:MRG:4:250067725,6293
SEEDGWAS1023:MRG:4:250067726,5886
SEEDGWAS1024:MRG:4:250067727,6228
SEEDGWAS1025:MRG:4:250067728,6160
SEEDGWAS1026:MRG:4:250067729,4292
SEEDGWAS1027:MRG:4:250067730,6762
SEEDGWAS1029:MRG:4:250067732,5603
SEEDGWAS1030:MRG:4:250067733,9429
SEEDGWAS1031:MRG:4:250067734,5603
SEEDGWAS1032:MRG:4:250067735,7161
SEEDGWAS1033:MRG:4:250067736,4032
SEEDGWAS1034:MRG:4:250067737,10175
SEEDGWAS1035:MRG:4:250067738,5079
SEEDGWAS1036:MRG:4:250067739,12163
SEEDGWAS1037:MRG:4:250067740,4845
SEEDGWAS1039:MRG:4:250067741,12462
SEEDGWAS104:MRG:4:250054519,5897
SEEDGWAS1040:MRG:4:250067742,7887
SEEDGWAS1041:MRG:4:250067743,5897
SEEDGWAS1042:MRG:4:250067744,3437
SEEDGWAS1043:MRG:4:250067745,11529
SEEDGWAS1044:MRG:4:250067746,11529
SEEDGWAS1045:MRG:4:250067747,12063
SEEDGWAS1048:MRG:4:250067748,9864
SEEDGWAS1049:MRG:4:250067749,9864
SEEDGWAS105:MRG:4:250054520,4636
SEEDGWAS1050:MRG:4:250067750,12318
SEEDGWAS1051:MRG:4:250067752,12318
SEEDGWAS106:MRG:4:250054521,18533
SEEDGWAS107:MRG:4:250054522,14060
SEEDGWAS1085:MRG:4:250067782,4402
SEEDGWAS1087:MRG:4:250067785,3382
SEEDGWAS1088:MRG:4:250067786,2627
SEEDGWAS1091:MRG:4:250067789,1449
SEEDGWAS1095:MRG:4:250067792,5490
SEEDGWAS1096:MRG:4:250067793,5093
SEEDGWAS1097:MRG:4:250067794,1798
SEEDGWAS1099:MRG:4:250067796,9822
SEEDGWAS1100:MRG:4:250067797,21173
SEEDGWAS1101:MRG:4:250067798,17157
SEEDGWAS1102:MRG:4:250067799,18267
SEEDGWAS1103:MRG:4:250067800,19016
SEEDGWAS1104:MRG:4:250067802,20135
SEEDGWAS1105:MRG:4:250067803,8103
SEEDGWAS1106:MRG:4:250067804,13863
SEEDGWAS1107:MRG:4:250067805,9577
SEEDGWAS1108:MRG:4:250067806,6912
SEEDGWAS1109:MRG:4:250067807,9577
SEEDGWAS1110:MRG:4:250067808,4006
SEEDGWAS1111:MRG:4:250067809,23179
SEEDGWAS1114:MRG:4:250067811,7669
SEEDGWAS1115:MRG:4:250070129,10344
SEEDGWAS1118:MRG:4:250070132,8215
SEEDGWAS112:MRG:4:250054525,1475
SEEDGWAS1120:MRG:4:250070133,4235
SEEDGWAS1121:MRG:4:250070134,12568
SEEDGWAS1122:MRG:4:250070135,10258
SEEDGWAS1124:MRG:4:250070137,6051
SEEDGWAS1125:MRG:4:250070138,6051
SEEDGWAS1126:MRG:4:250070139,5510
SEEDGWAS1128:MRG:4:250070140,7982
SEEDGWAS113:MRG:4:250054526,5836
SEEDGWAS1130:MRG:4:250070141,7411
SEEDGWAS1131:MRG:4:250070142,5553
SEEDGWAS1133:MRG:4:250070143,1760
SEEDGWAS1134:MRG:4:250070144,14346
SEEDGWAS1135:MRG:4:250070145,11206
SEEDGWAS1136:MRG:4:250070147,6507
SEEDGWAS1138:MRG:4:250070149,4236
SEEDGWAS114:MRG:4:250054527,8936
SEEDGWAS1140:MRG:4:250070150,12568
SEEDGWAS1141:MRG:4:250070151,4396
SEEDGWAS1142:MRG:4:250070152,4396
SEEDGWAS1143:MRG:4:250070153,7982
SEEDGWAS1144:MRG:4:250070154,4153
SEEDGWAS1145:MRG:4:250070155,10392
SEEDGWAS1146:MRG:4:250070156,7754
SEEDGWAS1147:MRG:4:250070157,6672
SEEDGWAS1148:MRG:4:250070158,6099
SEEDGWAS115:MRG:4:250054528,6094
SEEDGWAS1150:MRG:4:250070159,6099
SEEDGWAS1151:MRG:4:250070160,6672
SEEDGWAS1152:MRG:4:250070161,6672
SEEDGWAS1156:MRG:4:250070164,12631
SEEDGWAS1157:MRG:4:250070165,5882
SEEDGWAS116:MRG:4:250054529,6906
SEEDGWAS1161:MRG:4:250070169,8379
SEEDGWAS1166:MRG:4:250070172,5770
SEEDGWAS1167:MRG:4:250070173,7287
SEEDGWAS1168:MRG:4:250070174,8499
SEEDGWAS1169:MRG:4:250070175,5393
SEEDGWAS117:MRG:4:250054530,7346
SEEDGWAS1170:MRG:4:250070176,4510
SEEDGWAS1171:MRG:4:250070177,3506
SEEDGWAS1172:MRG:4:250070178,4966
SEEDGWAS1173:MRG:4:250070179,4824
SEEDGWAS1174:MRG:4:250070180,4824
SEEDGWAS1175:MRG:4:250070181,4824
SEEDGWAS1176:MRG:4:250070182,6988
SEEDGWAS1177:MRG:4:250070183,4851
SEEDGWAS1178:MRG:4:250070184,5474
SEEDGWAS1179:MRG:4:250070185,7653
SEEDGWAS118:MRG:4:250054531,5492
SEEDGWAS1180:MRG:4:250070186,9912
SEEDGWAS1183:MRG:4:250070188,4016
SEEDGWAS1184:MRG:4:250070189,9695
SEEDGWAS1185:MRG:4:250070190,5886
SEEDGWAS1187:MRG:4:250070192,7373
SEEDGWAS1188:MRG:4:250070193,5742
SEEDGWAS1189:MRG:4:250070194,10846
SEEDGWAS119:MRG:4:250054532,6160
SEEDGWAS1191:MRG:4:250070195,6293
SEEDGWAS1192:MRG:4:250070196,11366
SEEDGWAS1195:MRG:4:250070199,6839
SEEDGWAS1196:MRG:4:250070200,7384
SEEDGWAS1197:MRG:4:250070201,7226
SEEDGWAS1198:MRG:4:250070202,8360
SEEDGWAS1199:MRG:4:250070203,6967
SEEDGWAS12:MRG:4:250054454,11417
SEEDGWAS120:MRG:4:250054533,6905
SEEDGWAS1200:MRG:4:250070204,5723
