,barley_aridity_index
BRIDGE_HOR_12516,2607
BRIDGE_HOR_12779,2607
BRIDGE_HOR_12780,2607
BRIDGE_BCC_1576,0
BRIDGE_HOR_13419,1220
BRIDGE_HOR_13418,1105
BRIDGE_HOR_13420,1527
BRIDGE_HOR_12820,0
BRIDGE_HOR_13423,1127
BRIDGE_HOR_13414,2341
BRIDGE_HOR_13415,2341
BRIDGE_HOR_13416,2886
BRIDGE_HOR_13417,2886
BRIDGE_HOR_13412,1662
BRIDGE_HOR_13413,1662
BRIDGE_BCC_137,1592
BRIDGE_HOR_13425,1360
BRIDGE_HOR_13424,1485
BRIDGE_HOR_13447,1485
BRIDGE_HOR_13436,1652
BRIDGE_HOR_13437,1652
BRIDGE_HOR_13427,1866
BRIDGE_HOR_13428,1866
BRIDGE_HOR_13429,1866
BRIDGE_HOR_13430,1866
BRIDGE_HOR_13431,1866
BRIDGE_HOR_13432,1866
BRIDGE_HOR_13433,1866
BRIDGE_HOR_13434,1866
BRIDGE_HOR_13426,2226
BRIDGE_HOR_13438,2226
BRIDGE_HOR_8841,3237
BRIDGE_BCC_140,571
BRIDGE_HOR_8849,4570
BRIDGE_HOR_8850,4570
BRIDGE_BCC_152,3214
BRIDGE_HOR_8851,8954
BRIDGE_HOR_13443,2963
BRIDGE_HOR_8848,4187
BRIDGE_HOR_8846,3900
BRIDGE_HOR_13442,2944
BRIDGE_HOR_13446,4494
BRIDGE_HOR_13444,4277
BRIDGE_HOR_13445,4277
BRIDGE_BCC_141,1258
BRIDGE_HOR_13441,2714
BRIDGE_HOR_8852,7280
BRIDGE_HOR_13439,1584
BRIDGE_HOR_13440,2738
BRIDGE_HOR_12522,401
BRIDGE_HOR_12821,401
BRIDGE_BCC_162,1781
BRIDGE_HOR_11644,10060
BRIDGE_HOR_13460,2341
BRIDGE_HOR_13461,2341
BRIDGE_HOR_11646,9721
BRIDGE_HOR_11665,13309
BRIDGE_HOR_12019,13309
BRIDGE_HOR_12045,13309
BRIDGE_HOR_12047,13309
BRIDGE_HOR_12048,13309
BRIDGE_HOR_12073,13309
BRIDGE_HOR_12316,13309
BRIDGE_HOR_12317,13309
BRIDGE_HOR_12318,13309
BRIDGE_HOR_12319,13309
BRIDGE_HOR_12320,13309
BRIDGE_HOR_12322,13309
BRIDGE_HOR_12323,13309
BRIDGE_HOR_12324,13309
BRIDGE_HOR_12325,13309
BRIDGE_HOR_12326,13309
BRIDGE_HOR_12331,13309
BRIDGE_HOR_12332,13309
BRIDGE_HOR_12334,13309
BRIDGE_BCC_134,477
BRIDGE_HOR_11645,7464
BTR_FT521,4717
BRIDGE_BCC_37,1772
BRIDGE_HOR_13515,6640
BRIDGE_HOR_13516,6871
BRIDGE_BCC_49,2818
BRIDGE_HOR_13519,11578
BRIDGE_HOR_13520,8908
BRIDGE_HOR_13518,11328
BRIDGE_BCC_46,2220
BRIDGE_HOR_13521,7471
BRIDGE_BCC_33,3144
BRIDGE_HOR_13522,8121
BRIDGE_HOR_13517,7748
BRIDGE_HOR_11116,7363
BRIDGE_HOR_11117,7363
BRIDGE_HOR_11118,7363
BRIDGE_HOR_11119,6370
BRIDGE_HOR_11125,6370
BRIDGE_HOR_12412,6370
BTR_FT411,9439
BRIDGE_HOR_11503,5208
BRIDGE_HOR_11495,5350
BRIDGE_HOR_11496,5558
BRIDGE_HOR_11497,4820
BRIDGE_HOR_11498,4735
BRIDGE_HOR_13493,4079
BRIDGE_HOR_13490,4008
BRIDGE_HOR_11480,3972
BRIDGE_HOR_11481,3976
BRIDGE_HOR_11482,4355
BRIDGE_HOR_11483,4003
BRIDGE_HOR_11484,3967
BRIDGE_HOR_13462,3972
BRIDGE_HOR_12831,3646
BRIDGE_HOR_11501,4238
BRIDGE_HOR_11499,6117
BRIDGE_HOR_11488,3111
BRIDGE_HOR_11487,2880
BRIDGE_HOR_11491,3247
BRIDGE_HOR_11504,3247
BRIDGE_HOR_12711,3247
BRIDGE_HOR_12712,3247
BRIDGE_HOR_12795,3247
BRIDGE_HOR_13466,3247
BRIDGE_HOR_11490,3464
BRIDGE_HOR_11485,2597
BRIDGE_HOR_11486,2634
BRIDGE_HOR_11489,3527
BRIDGE_HOR_11502,5697
BRIDGE_HOR_12794,5697
BRIDGE_HOR_11492,3160
BRIDGE_HOR_11493,2105
BRIDGE_HOR_12793,2105
BRIDGE_HOR_11494,0
BRIDGE_HOR_13494,3054
BRIDGE_HOR_94,12459
BRIDGE_HOR_10367,10407
BRIDGE_HOR_3964,13274
BRIDGE_HOR_11123,7040
BRIDGE_HOR_11124,7040
BRIDGE_HOR_12411,7040
BRIDGE_HOR_12787,7040
BRIDGE_HOR_13495_A,10334
BRIDGE_HOR_13496,10334
BRIDGE_HOR_22167,10334
BRIDGE_HOR_11006,6202
BRIDGE_HOR_11005,6459
BRIDGE_HOR_3968,15373
BRIDGE_HOR_10949,6541
BRIDGE_HOR_11003,11601
BRIDGE_HOR_2348,18815
BRIDGE_HOR_2346,11159
BRIDGE_HOR_11004,11304
BRIDGE_HOR_2404,12033
BRIDGE_HOR_947,12033
BRIDGE_HOR_11008,9317
BRIDGE_HOR_91,14656
BRIDGE_HOR_814,14656
BRIDGE_HOR_12420,3132
