Orthogroup	Maize_gene	Maize_pvalue_max	Sorghum_gene	Sorghum_pvalue_max	Rice_gene	Rice_pvalue_max	Barley_gene	Barley_pvalue_max	Arabidopsis_gene	Arabidopsis_pvalue_max	Gene_count
128682at3193	Zm00001eb368530	Zm00001eb368530:0.00262634	SORBI_3004G338400	SORBI_3004G338400:0.00147601	LOC_Os02g08110;LOC_Os05g04720	LOC_Os02g08110:0.00100415;LOC_Os05g04720:0.00222884	HORVU.MOREX.r3.3HG0304120	HORVU.MOREX.r3.3HG0304120:0.000318148	AT1G07090;AT3G04510;AT5G28490;AT5G58500	AT1G07090:0.00104882;AT3G04510:0.000120122;AT5G28490:1.59383e-06;AT5G58500:1.15466e-07	5
128682at33090	Zm00001eb368530	Zm00001eb368530:0.00262634	SORBI_3004G338400	SORBI_3004G338400:0.00147601	LOC_Os02g08110;LOC_Os05g04720	LOC_Os02g08110:0.00100415;LOC_Os05g04720:0.00222884	HORVU.MOREX.r3.3HG0304120	HORVU.MOREX.r3.3HG0304120:0.000318148	AT1G07090;AT3G04510;AT5G28490;AT5G58500	AT1G07090:0.00104882;AT3G04510:0.000120122;AT5G28490:1.59383e-06;AT5G58500:1.15466e-07	5
132787at33090	Zm00001eb355060	Zm00001eb355060:0.00106164	SORBI_3002G140200	SORBI_3002G140200:0.00173325	LOC_Os02g05130	LOC_Os02g05130:0.000618095	HORVU.MOREX.r3.4HG0331230	HORVU.MOREX.r3.4HG0331230:0.00324409	AT1G61860;AT1G76370;AT3G24790;AT5G02800;AT5G13160	AT1G61860:0.000112633;AT1G76370:0.000605433;AT3G24790:0.00116784;AT5G02800:7.96847e-11;AT5G13160:0.000150824	5
158457at33090	Zm00001eb211610;Zm00001eb401400	Zm00001eb211610:0.00418476;Zm00001eb401400:0.00173436	SORBI_3001G261597	SORBI_3001G261597:0.00208879	LOC_Os01g07500;LOC_Os08g05250	LOC_Os01g07500:0.000903268;LOC_Os08g05250:0.00151071	HORVU.MOREX.r3.3HG0302020	HORVU.MOREX.r3.3HG0302020:7.71402e-06	AT1G07410;AT1G09630;AT1G16920;AT2G43130;AT3G46830;AT4G18430;AT4G18800;AT5G45750;AT5G47960;AT5G59150;AT5G65270	AT1G07410:0.000103464;AT1G09630:4.88536e-05;AT1G16920:0.00104057;AT2G43130:0.000592001;AT3G46830:0.00101689;AT4G18430:0.000171674;AT4G18800:2.23668e-05;AT5G45750:5.28861e-05;AT5G47960:2.90087e-06;AT5G59150:2.4411e-11;AT5G65270:4.37317e-06	5
238199at3193	Zm00001eb058150;Zm00001eb193100	Zm00001eb058150:0.00334196;Zm00001eb193100:0.00328473	SORBI_3001G081100	SORBI_3001G081100:0.000569197	LOC_Os09g04410	LOC_Os09g04410:0.00050758	HORVU.MOREX.r3.5HG0480330	HORVU.MOREX.r3.5HG0480330:0.00261032	AT2G05920	AT2G05920:0.000598195	5
326892at2759	Zm00001eb368530	Zm00001eb368530:0.00262634	SORBI_3004G338400	SORBI_3004G338400:0.00147601	LOC_Os02g08110;LOC_Os05g04720	LOC_Os02g08110:0.00100415;LOC_Os05g04720:0.00222884	HORVU.MOREX.r3.3HG0304120	HORVU.MOREX.r3.3HG0304120:0.000318148	AT1G07090;AT3G04510;AT5G28490;AT5G58500	AT1G07090:0.00104882;AT3G04510:0.000120122;AT5G28490:1.59383e-06;AT5G58500:1.15466e-07	5
35153at2759	Zm00001eb211610;Zm00001eb401400	Zm00001eb211610:0.00418476;Zm00001eb401400:0.00173436	SORBI_3001G261597	SORBI_3001G261597:0.00208879	LOC_Os01g07500;LOC_Os08g05250	LOC_Os01g07500:0.000903268;LOC_Os08g05250:0.00151071	HORVU.MOREX.r3.3HG0302020	HORVU.MOREX.r3.3HG0302020:7.71402e-06	AT1G07410;AT1G09630;AT1G16920;AT1G18200;AT2G43130;AT3G46830;AT4G18430;AT4G18800;AT5G45750;AT5G47960;AT5G59150;AT5G65270	AT1G07410:0.000103464;AT1G09630:4.88536e-05;AT1G16920:0.00104057;AT1G18200:7.44765e-07;AT2G43130:0.000592001;AT3G46830:0.00101689;AT4G18430:0.000171674;AT4G18800:2.23668e-05;AT5G45750:5.28861e-05;AT5G47960:2.90087e-06;AT5G59150:2.4411e-11;AT5G65270:4.37317e-06	5
4833872at2759	Zm00001eb355060	Zm00001eb355060:0.00106164	SORBI_3002G140200	SORBI_3002G140200:0.00173325	LOC_Os02g05130	LOC_Os02g05130:0.000618095	HORVU.MOREX.r3.4HG0331230	HORVU.MOREX.r3.4HG0331230:0.00324409	AT1G61860;AT1G76370;AT3G24790;AT5G02800;AT5G13160	AT1G61860:0.000112633;AT1G76370:0.000605433;AT3G24790:0.00116784;AT5G02800:7.96847e-11;AT5G13160:0.000150824	5
4980596at2759	Zm00001eb408710	Zm00001eb408710:0.00187516	SORBI_3001G127400	SORBI_3001G127400:0.000382069	LOC_Os07g05840	LOC_Os07g05840:0.000621224	HORVU.MOREX.r3.7HG0635410	HORVU.MOREX.r3.7HG0635410:0.000428602	AT4G27740;AT4G27745;AT5G53940	AT4G27740:0.00121212;AT4G27745:0.00121212;AT5G53940:1.18776e-06	5
588513at2759	Zm00001eb069180;Zm00001eb099640;Zm00001eb244600;Zm00001eb374600;Zm00001eb400640	Zm00001eb069180:1.08079e-05;Zm00001eb099640:0.00132655;Zm00001eb244600:0.0030495;Zm00001eb374600:0.00165594;Zm00001eb400640:0.00328335	SORBI_3001G168800;SORBI_3004G201300;SORBI_3006G120000	SORBI_3001G168800:0.000385915;SORBI_3004G201300:0.0005895;SORBI_3006G120000:0.000975289	LOC_Os04g04770	LOC_Os04g04770:0.000474025	HORVU.MOREX.r3.6HG0552590	HORVU.MOREX.r3.6HG0552590:0.00331317	AT1G03010;AT1G30440;AT3G08570;AT5G48800;AT5G67385	AT1G03010:1.36243e-07;AT1G30440:0.00120733;AT3G08570:0.000109917;AT5G48800:1.94134e-05;AT5G67385:0.0011527	5
