chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
5,Chr5_22673647.0,22673647,3.107334e-26,6,AT5G55990;AT5G55980;AT5G56000;AT5G55970;AT5G56010;AT5G55960,AT5G55990,AT5G55990,0.0
5,Chr5_22673698.0,22673698,3.107334e-26,6,AT5G55990;AT5G55980;AT5G56000;AT5G55970;AT5G56010;AT5G55960,AT5G55990,AT5G55990,0.0
5,Chr5_22679551.0,22679551,1.7570640000000002e-23,6,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980,AT5G56000,AT5G56000,0.0
3,Chr3_7040324.0,7040324,8.98878e-22,8,AT3G20160;AT3G20170;AT3G20155;AT3G20180;AT3G20150;AT3G20190;AT3G20200;AT3G20140,AT3G20160,AT3G20160,295.0
3,Chr3_7042430.0,7042430,8.98878e-22,8,AT3G20170;AT3G20180;AT3G20160;AT3G20190;AT3G20155;AT3G20200;AT3G20150;AT3G20210,AT3G20170,AT3G20170,0.0
5,Chr5_22679225.0,22679225,3.1785339999999998e-21,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
5,Chr5_22679228.0,22679228,3.1785339999999998e-21,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
5,Chr5_22679461.0,22679461,3.1785339999999998e-21,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
5,Chr5_22679536.0,22679536,3.1785339999999998e-21,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
5,Chr5_22679540.0,22679540,3.1785339999999998e-21,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
1,Chr1_5057186.0,5057186,1.572931e-20,6,AT1G14700;AT1G14690;AT1G14710;AT1G14688;AT1G14687;AT1G14720,AT1G14700,AT1G14700,1494.0
1,Chr1_15136663.0,15136663,1.9767e-20,0,,,,
1,Chr1_9333150.0,9333150,6.5293e-20,5,AT1G26921;AT1G26920;AT1G26930;AT1G26916;AT1G26940,AT1G26921,AT1G26921,2045.0
3,Chr3_7021314.0,7021314,7.535963999999999e-19,7,AT3G20110;AT3G20100;AT3G20120;AT3G20090;AT3G20130;AT3G20080;AT3G20140,AT3G20110,AT3G20110,18.0
3,Chr3_7017123.0,7017123,1.801938e-18,6,AT3G20090;AT3G20100;AT3G20080;AT3G20110;AT3G20120;AT3G20130,AT3G20090,AT3G20090,0.0
3,Chr3_6982307.0,6982307,1.833822e-18,4,AT3G20020;AT3G20015;AT3G20010;AT3G20030,AT3G20020,AT3G20020,1398.0
5,Chr5_22679515.0,22679515,2.9441090000000005e-17,7,AT5G56000;AT5G56010;AT5G56020;AT5G55990;AT5G56030;AT5G55980;AT5G55970,AT5G56000,AT5G56000,0.0
1,Chr1_9337965.0,9337965,3.87512e-17,4,AT1G26930;AT1G26940;AT1G26921;AT1G26920,AT1G26930,AT1G26930,179.0
