Arabidopsis_gene,Rice_gene,Maize_gene,Sorghum_gene,Barley_gene
AT1G01010,LOC_Os01g02980,Zm00001eb005710,SORBI_3003G418500,RBOHB1
AT1G01020,LOC_Os01g09810,Zm00001eb023350,SORBI_3003G418600,gene:HORVU.MOREX.r3.1HG0005770
AT1G01030,LOC_Os01g09990,Zm00001eb115450,SORBI_3003G418700,gene:HORVU.MOREX.r3.1HG0006100
AT1G01040,LOC_Os01g10140,Zm00001eb115470,SORBI_3003G418733,gene:HORVU.MOREX.r3.1HG0006130
AT1G01050,LOC_Os01g10150,Zm00001eb115480,SORBI_3003G418766,gene:HORVU.MOREX.r3.1HG0006160
AT1G01060,LOC_Os01g11360,Zm00001eb115490,SORBI_3003G418800,gene:HORVU.MOREX.r3.1HG0041440
AT1G01073,LOC_Os01g14760,Zm00001eb115500,SORBI_3003G418900,gene:HORVU.MOREX.r3.1HG0052290
AT1G01080,LOC_Os01g15790,Zm00001eb115510,SORBI_3003G419000,gene:HORVU.MOREX.r3.1HG0062490
AT1G01100,LOC_Os01g16030,Zm00001eb130210,SORBI_3003G419100,gene:HORVU.MOREX.r3.1HG0066010
AT1G01130,LOC_Os01g16040,Zm00001eb205830,SORBI_3007G087900,gene:HORVU.MOREX.r3.1HG0076930
AT1G01140,LOC_Os01g18060,Zm00001eb205840,SORBI_3007G088000,gene:HORVU.MOREX.r3.1HG0078610
AT1G01150,LOC_Os01g18490,Zm00001eb205850,,gene:HORVU.MOREX.r3.1HG0092920
AT1G01160,LOC_Os01g18780,Zm00001eb205860,,gene:HORVU.MOREX.r3.2HG0097520
AT1G01180,LOC_Os01g19894,Zm00001eb205880,,gene:HORVU.MOREX.r3.2HG0100900
AT1G01183,LOC_Os01g22550,Zm00001eb220030,,gene:HORVU.MOREX.r3.2HG0101700
AT1G01190,LOC_Os01g23340,Zm00001eb220040,,gene:HORVU.MOREX.r3.2HG0105470
AT1G01220,LOC_Os01g25170,Zm00001eb220050,,gene:HORVU.MOREX.r3.2HG0106550
