Arabidopsis_gene,Rice_gene,Maize_gene,Sorghum_gene,Barley_gene
AT1G02380,LOC_Os01g14020,Zm00001eb213060,,gene:HORVU.MOREX.r3.1HG0077190
AT1G02391,LOC_Os01g14040,Zm00001eb215570,,gene:HORVU.MOREX.r3.1HG0077210
AT1G02450,LOC_Os01g14050,Zm00001eb220030,,gene:HORVU.MOREX.r3.1HG0077220
AT1G02460,LOC_Os01g14060,Zm00001eb220040,,gene:HORVU.MOREX.r3.1HG0077430
AT1G02470,LOC_Os01g14070,Zm00001eb220050,,gene:HORVU.MOREX.r3.1HG0077830
AT1G02520,LOC_Os01g14080,Zm00001eb225970,,gene:HORVU.MOREX.r3.1HG0077840
AT1G02530,LOC_Os01g14090,Zm00001eb225990,,gene:HORVU.MOREX.r3.1HG0078370
AT1G02560,LOC_Os01g14100,Zm00001eb226000,,gene:HORVU.MOREX.r3.1HG0078610
AT1G02575,LOC_Os01g14110,Zm00001eb226010,,gene:HORVU.MOREX.r3.1HG0078630
AT1G02580,LOC_Os01g14120,Zm00001eb226820,,gene:HORVU.MOREX.r3.1HG0078910
AT1G02620,LOC_Os01g14160,Zm00001eb226830,,gene:HORVU.MOREX.r3.1HG0078970
AT1G02630,LOC_Os01g14230,Zm00001eb226840,,gene:HORVU.MOREX.r3.1HG0079020
AT1G02640,LOC_Os01g14760,Zm00001eb226850,,gene:HORVU.MOREX.r3.1HG0079040
AT1G02660,LOC_Os01g15170,Zm00001eb227950,,gene:HORVU.MOREX.r3.1HG0079140
AT1G02670,LOC_Os01g15180,Zm00001eb227960,,gene:HORVU.MOREX.r3.1HG0079200
AT1G02680,LOC_Os01g15310,Zm00001eb230860,,gene:HORVU.MOREX.r3.1HG0082310
AT1G02690,LOC_Os01g15790,Zm00001eb230870,,gene:HORVU.MOREX.r3.1HG0082370
AT1G02700,LOC_Os01g15910,Zm00001eb234940,,gene:HORVU.MOREX.r3.1HG0083880
AT1G02710,LOC_Os01g16020,Zm00001eb234950,,gene:HORVU.MOREX.r3.1HG0084010
AT1G02720,LOC_Os01g16030,Zm00001eb237820,,gene:HORVU.MOREX.r3.1HG0084370
AT1G02730,LOC_Os01g16040,Zm00001eb237830,,gene:HORVU.MOREX.r3.1HG0085330
AT1G02740,LOC_Os01g16180,Zm00001eb249320,,gene:HORVU.MOREX.r3.1HG0087170
AT1G02750,LOC_Os01g16190,Zm00001eb249330,,gene:HORVU.MOREX.r3.1HG0087450
AT1G02770,LOC_Os01g16250,Zm00001eb249340,,gene:HORVU.MOREX.r3.1HG0089330
AT1G02780,LOC_Os01g16870,Zm00001eb250580,,gene:HORVU.MOREX.r3.1HG0089870
AT1G02800,LOC_Os01g17030,Zm00001eb250590,,gene:HORVU.MOREX.r3.1HG0092080
AT1G02810,LOC_Os01g18060,Zm00001eb250600,,gene:HORVU.MOREX.r3.1HG0092140
AT1G02816,LOC_Os01g18490,Zm00001eb254280,,gene:HORVU.MOREX.r3.1HG0092820
AT1G02860,LOC_Os01g18710,Zm00001eb261230,,gene:HORVU.MOREX.r3.1HG0092880
AT1G02880,LOC_Os01g18780,Zm00001eb264380,,gene:HORVU.MOREX.r3.1HG0092910
AT1G02890,LOC_Os01g18950,Zm00001eb265810,,gene:HORVU.MOREX.r3.1HG0092920
AT1G02910,LOC_Os01g18960,Zm00001eb265820,,gene:HORVU.MOREX.r3.1HG0093030
AT1G02920,LOC_Os01g19340,Zm00001eb265830,,gene:HORVU.MOREX.r3.1HG0093050
AT1G02930,LOC_Os01g19420,Zm00001eb266620,,gene:HORVU.MOREX.r3.1HG0093770
AT1G02940,LOC_Os01g19570,Zm00001eb289040,,gene:HORVU.MOREX.r3.1HG0093940
AT1G02950,LOC_Os01g19610,Zm00001eb310990,,gene:HORVU.MOREX.r3.2HG0096290
AT1G02960,LOC_Os01g19710,Zm00001eb311000,,gene:HORVU.MOREX.r3.2HG0096400
AT1G02965,LOC_Os01g19894,Zm00001eb311010,,gene:HORVU.MOREX.r3.2HG0096630
AT1G02970,LOC_Os01g20020,Zm00001eb312250,,gene:HORVU.MOREX.r3.2HG0096810
AT1G02980,LOC_Os01g20880,Zm00001eb314620,,gene:HORVU.MOREX.r3.2HG0097510
AT1G02990,LOC_Os01g21360,Zm00001eb314630,,gene:HORVU.MOREX.r3.2HG0097520
AT1G03010,LOC_Os01g21480,Zm00001eb322690,,gene:HORVU.MOREX.r3.2HG0097540
AT1G03020,LOC_Os01g21500,Zm00001eb324200,,gene:HORVU.MOREX.r3.2HG0097560
AT1G03060,LOC_Os01g21650,Zm00001eb324210,,gene:HORVU.MOREX.r3.2HG0098810
AT1G03090,LOC_Os01g21740,Zm00001eb324220,,gene:HORVU.MOREX.r3.2HG0099120
AT1G03106,LOC_Os01g21850,Zm00001eb328990,,gene:HORVU.MOREX.r3.2HG0100080
AT1G03130,LOC_Os01g22150,Zm00001eb329010,,gene:HORVU.MOREX.r3.2HG0100410
AT1G03170,LOC_Os01g22410,Zm00001eb329020,,gene:HORVU.MOREX.r3.2HG0100750
AT1G03220,LOC_Os01g22550,Zm00001eb329030,,gene:HORVU.MOREX.r3.2HG0100900
AT1G03230,LOC_Os01g22560,Zm00001eb330530,,gene:HORVU.MOREX.r3.2HG0101700
AT1G03240,LOC_Os01g22710,Zm00001eb330540,,gene:HORVU.MOREX.r3.2HG0104280
AT1G03260,LOC_Os01g23020,Zm00001eb330550,,gene:HORVU.MOREX.r3.2HG0104990
AT1G03270,LOC_Os01g23210,Zm00001eb333640,,gene:HORVU.MOREX.r3.2HG0105080
AT1G03290,LOC_Os01g23340,Zm00001eb333650,,gene:HORVU.MOREX.r3.2HG0105380
AT1G03300,LOC_Os01g23790,Zm00001eb333660,,gene:HORVU.MOREX.r3.2HG0105470
AT1G03310,LOC_Os01g23800,Zm00001eb334410,,gene:HORVU.MOREX.r3.2HG0105560
AT1G03320,LOC_Os01g24280,Zm00001eb334420,,gene:HORVU.MOREX.r3.2HG0105610
AT1G03340,LOC_Os01g24350,Zm00001eb334430,,gene:HORVU.MOREX.r3.2HG0105670
AT1G03350,LOC_Os01g24500,Zm00001eb334440,,gene:HORVU.MOREX.r3.2HG0105680
AT1G03365,LOC_Os01g24540,Zm00001eb334450,,gene:HORVU.MOREX.r3.2HG0106240
AT1G03370,LOC_Os01g25170,Zm00001eb334460,,gene:HORVU.MOREX.r3.2HG0106500
AT1G03380,LOC_Os01g27550,Zm00001eb336050,,gene:HORVU.MOREX.r3.2HG0106510
AT1G03390,LOC_Os01g27680,Zm00001eb336060,,gene:HORVU.MOREX.r3.2HG0106550
AT1G03410,LOC_Os01g27900,Zm00001eb343460,,gene:HORVU.MOREX.r3.2HG0106600
AT1G03430,LOC_Os01g28474,Zm00001eb346860,,gene:HORVU.MOREX.r3.2HG0106680
AT1G03440,LOC_Os01g28610,Zm00001eb349130,,gene:HORVU.MOREX.r3.2HG0106830
AT1G03445,LOC_Os01g28630,Zm00001eb349140,,gene:HORVU.MOREX.r3.2HG0107010
AT1G03457,LOC_Os01g28650,Zm00001eb356170,,gene:HORVU.MOREX.r3.2HG0107190
AT1G03470,LOC_Os01g28660,Zm00001eb356180,,gene:HORVU.MOREX.r3.2HG0107280
AT1G03475,LOC_Os01g28670,Zm00001eb356190,,gene:HORVU.MOREX.r3.2HG0107320
AT1G03495,LOC_Os01g28760,Zm00001eb359970,,gene:HORVU.MOREX.r3.2HG0107620
AT1G03515,LOC_Os01g29130,Zm00001eb359980,,gene:HORVU.MOREX.r3.2HG0107680
AT1G03530,LOC_Os01g29220,Zm00001eb359990,,gene:HORVU.MOREX.r3.2HG0107700
AT1G03590,LOC_Os01g29230,Zm00001eb360000,,gene:HORVU.MOREX.r3.2HG0107750
AT1G03600,LOC_Os01g29430,Zm00001eb362000,,gene:HORVU.MOREX.r3.2HG0107790
AT1G03610,LOC_Os01g29620,Zm00001eb362090,,gene:HORVU.MOREX.r3.2HG0108690
AT1G03620,LOC_Os01g29690,Zm00001eb362110,,gene:HORVU.MOREX.r3.2HG0108850
AT1G03630,LOC_Os01g29710,Zm00001eb362120,,gene:HORVU.MOREX.r3.2HG0109150
AT1G03650,LOC_Os01g29860,Zm00001eb362130,,gene:HORVU.MOREX.r3.2HG0109520
AT1G03660,LOC_Os01g29870,Zm00001eb362140,,gene:HORVU.MOREX.r3.2HG0109530
AT1G03670,LOC_Os01g29910,Zm00001eb362160,,gene:HORVU.MOREX.r3.2HG0109660
AT1G03680,LOC_Os01g30980,Zm00001eb366510,,gene:HORVU.MOREX.r3.2HG0109680
AT1G03687,LOC_Os01g31080,Zm00001eb366520,,gene:HORVU.MOREX.r3.2HG0109760
AT1G03700,LOC_Os01g31190,Zm00001eb368150,,gene:HORVU.MOREX.r3.2HG0109850
AT1G03710,LOC_Os01g31270,Zm00001eb368160,,gene:HORVU.MOREX.r3.2HG0110000
AT1G03730,LOC_Os01g31310,Zm00001eb368180,,gene:HORVU.MOREX.r3.2HG0110020
AT1G03740,LOC_Os01g31440,Zm00001eb389500,,gene:HORVU.MOREX.r3.2HG0110380
AT1G03746,LOC_Os01g31450,Zm00001eb389580,,gene:HORVU.MOREX.r3.2HG0110570
AT1G03750,LOC_Os01g31460,Zm00001eb392700,,gene:HORVU.MOREX.r3.2HG0111350
AT1G03760,LOC_Os01g31510,Zm00001eb392710,,gene:HORVU.MOREX.r3.2HG0112410
AT1G03780,LOC_Os01g31610,Zm00001eb392720,,gene:HORVU.MOREX.r3.2HG0112720
AT1G03790,LOC_Os01g31629,Zm00001eb392730,,gene:HORVU.MOREX.r3.2HG0113100
AT1G03800,LOC_Os01g31650,Zm00001eb393120,,gene:HORVU.MOREX.r3.2HG0114030
AT1G03810,LOC_Os01g31680,Zm00001eb393130,,gene:HORVU.MOREX.r3.2HG0115000
AT1G03820,LOC_Os01g31730,Zm00001eb397480,,gene:HORVU.MOREX.r3.2HG0115020
AT1G03830,LOC_Os01g31760,Zm00001eb397490,,gene:HORVU.MOREX.r3.2HG0116390
AT1G03840,LOC_Os01g31810,Zm00001eb397500,,gene:HORVU.MOREX.r3.2HG0116500
AT1G03850,LOC_Os01g31830,Zm00001eb397510,,gene:HORVU.MOREX.r3.2HG0116790
AT1G03860,LOC_Os01g31870,Zm00001eb398190,,gene:HORVU.MOREX.r3.2HG0117920
AT1G03870,LOC_Os01g31900,Zm00001eb398210,,gene:HORVU.MOREX.r3.2HG0118960
AT1G03880,LOC_Os01g31930,Zm00001eb398220,,gene:HORVU.MOREX.r3.2HG0122880
AT1G03890,LOC_Os01g31940,Zm00001eb398230,,gene:HORVU.MOREX.r3.2HG0123450
AT1G03900,LOC_Os01g31960,Zm00001eb399650,,gene:HORVU.MOREX.r3.2HG0123760
AT1G03910,LOC_Os01g31970,Zm00001eb399660,,gene:HORVU.MOREX.r3.2HG0125800
AT1G03920,LOC_Os01g32000,Zm00001eb399670,,gene:HORVU.MOREX.r3.2HG0126900
AT1G03930,LOC_Os01g32110,Zm00001eb399680,,gene:HORVU.MOREX.r3.2HG0126910
AT1G03940,LOC_Os01g32184,Zm00001eb401320,,gene:HORVU.MOREX.r3.2HG0140430
AT1G03982,LOC_Os01g32230,Zm00001eb401330,,gene:HORVU.MOREX.r3.2HG0140500
AT1G04000,LOC_Os01g32270,Zm00001eb401340,,gene:HORVU.MOREX.r3.2HG0140550
AT1G04040,LOC_Os01g32300,Zm00001eb403140,,gene:HORVU.MOREX.r3.2HG0140720
AT1G04070,LOC_Os01g32310,Zm00001eb403150,,gene:HORVU.MOREX.r3.2HG0141500
AT1G04080,LOC_Os01g32320,Zm00001eb407110,,gene:HORVU.MOREX.r3.2HG0145370
AT1G04090,LOC_Os01g32364,Zm00001eb407120,,gene:HORVU.MOREX.r3.2HG0154520
AT1G04120,LOC_Os01g32420,Zm00001eb407130,,gene:HORVU.MOREX.r3.2HG0156680
AT1G04130,LOC_Os01g32430,Zm00001eb410420,,gene:HORVU.MOREX.r3.2HG0166930
AT1G04140,LOC_Os01g32470,Zm00001eb411350,,gene:HORVU.MOREX.r3.2HG0167220
AT1G04160,LOC_Os01g32480,Zm00001eb412850,,gene:HORVU.MOREX.r3.2HG0172800
AT1G04171,LOC_Os01g32574,Zm00001eb412860,,gene:HORVU.MOREX.r3.2HG0174440
AT1G04180,LOC_Os01g32600,Zm00001eb412870,,gene:HORVU.MOREX.r3.2HG0176640
AT1G04230,LOC_Os01g32750,Zm00001eb412880,,gene:HORVU.MOREX.r3.2HG0176650
AT1G04240,LOC_Os01g32910,Zm00001eb412890,,gene:HORVU.MOREX.r3.2HG0177340
AT1G04250,LOC_Os01g32964,Zm00001eb418370,,gene:HORVU.MOREX.r3.2HG0177360
AT1G04260,LOC_Os01g33000,Zm00001eb421690,,gene:HORVU.MOREX.r3.2HG0177570
AT1G04280,LOC_Os01g33020,Zm00001eb421700,,gene:HORVU.MOREX.r3.2HG0179330
AT1G04300,LOC_Os01g33040,Zm00001eb422400,,gene:HORVU.MOREX.r3.2HG0179410
AT1G04320,LOC_Os01g33070,Zm00001eb425250,,gene:HORVU.MOREX.r3.2HG0182280
AT1G04330,LOC_Os01g33100,Zm00001eb425260,,gene:HORVU.MOREX.r3.2HG0182320
AT1G04340,LOC_Os01g33110,Zm00001eb427190,,gene:HORVU.MOREX.r3.2HG0182620
AT1G04360,LOC_Os01g33220,Zm00001eb427200,,gene:HORVU.MOREX.r3.2HG0183240
AT1G04370,LOC_Os01g33290,Zm00001eb427210,,gene:HORVU.MOREX.r3.2HG0184130
AT1G04380,LOC_Os01g33460,Zm00001eb427220,,gene:HORVU.MOREX.r3.2HG0184560
AT1G04390,LOC_Os01g33580,Zm00001eb427230,,gene:HORVU.MOREX.r3.2HG0184590
AT1G04400,LOC_Os01g33590,Zm00001eb427310,,gene:HORVU.MOREX.r3.2HG0185540
AT1G04410,LOC_Os01g33740,Zm00001eb427320,,gene:HORVU.MOREX.r3.2HG0189930
AT1G04425,LOC_Os01g33869,Zm00001eb429800,,gene:HORVU.MOREX.r3.2HG0190040
AT1G04430,LOC_Os01g33970,Zm00001eb429810,,gene:HORVU.MOREX.r3.2HG0190070
AT1G04440,LOC_Os01g34020,Zm00001eb429820,,gene:HORVU.MOREX.r3.2HG0190110
AT1G04445,LOC_Os01g34040,Zm00001eb429830,,gene:HORVU.MOREX.r3.2HG0190330
AT1G04450,LOC_Os01g34050,Zm00001eb429840,,gene:HORVU.MOREX.r3.2HG0195290
AT1G04470,LOC_Os01g34130,Zm00001eb429850,,gene:HORVU.MOREX.r3.2HG0195560
AT1G04480,LOC_Os01g34310,Zm00001eb429860,,gene:HORVU.MOREX.r3.2HG0196800
AT1G04490,LOC_Os01g34450,Zm00001eb430920,,gene:HORVU.MOREX.r3.2HG0198440
AT1G04500,LOC_Os01g34500,Zm00001eb430930,,gene:HORVU.MOREX.r3.2HG0200450
AT1G04501,LOC_Os01g34590,,,gene:HORVU.MOREX.r3.2HG0200500
AT1G04520,LOC_Os01g34700,,,gene:HORVU.MOREX.r3.2HG0201230
AT1G04530,LOC_Os01g34730,,,gene:HORVU.MOREX.r3.2HG0202090
AT1G04540,LOC_Os01g34890,,,gene:HORVU.MOREX.r3.2HG0202880
AT1G04555,LOC_Os01g35280,,,gene:HORVU.MOREX.r3.2HG0203360
AT1G04590,LOC_Os01g35360,,,gene:HORVU.MOREX.r3.2HG0203810
AT1G04620,LOC_Os01g35590,,,gene:HORVU.MOREX.r3.2HG0203890
AT1G04625,LOC_Os01g36040,,,gene:HORVU.MOREX.r3.2HG0204530
AT1G04635,LOC_Os01g36229,,,gene:HORVU.MOREX.r3.2HG0205310
AT1G04640,LOC_Os01g36270,,,gene:HORVU.MOREX.r3.2HG0205380
AT1G04680,LOC_Os01g36294,,,gene:HORVU.MOREX.r3.2HG0207580
AT1G04760,LOC_Os01g36690,,,gene:HORVU.MOREX.r3.2HG0208160
AT1G04770,LOC_Os01g36700,,,gene:HORVU.MOREX.r3.2HG0208220
AT1G04790,LOC_Os01g36790,,,gene:HORVU.MOREX.r3.2HG0208660
AT1G04830,LOC_Os01g36900,,,gene:HORVU.MOREX.r3.2HG0209370
AT1G04840,LOC_Os01g36950,,,gene:HORVU.MOREX.r3.2HG0209640
AT1G04930,LOC_Os01g36960,,,gene:HORVU.MOREX.r3.2HG0209790
AT1G04945,LOC_Os01g36970,,,gene:HORVU.MOREX.r3.2HG0210320
AT1G04960,LOC_Os01g37020,,,gene:HORVU.MOREX.r3.2HG0211790
AT1G04980,LOC_Os01g37300,,,gene:HORVU.MOREX.r3.2HG0212880
AT1G04985,LOC_Os01g37420,,,gene:HORVU.MOREX.r3.2HG0213750
AT1G04990,LOC_Os01g37570,,,gene:HORVU.MOREX.r3.2HG0213820
AT1G05000,LOC_Os01g37842,,,gene:HORVU.MOREX.r3.2HG0214670
AT1G05010,LOC_Os01g38130,,,gene:HORVU.MOREX.r3.2HG0215070
AT1G05020,LOC_Os01g38460,,,gene:HORVU.MOREX.r3.3HG0219200
AT1G05040,LOC_Os01g38800,,,gene:HORVU.MOREX.r3.3HG0219670
AT1G05070,LOC_Os01g39380,,,gene:HORVU.MOREX.r3.3HG0219910
AT1G05080,LOC_Os01g40050,,,gene:HORVU.MOREX.r3.3HG0221460
AT1G05085,LOC_Os01g41710,,,gene:HORVU.MOREX.r3.3HG0221540
AT1G05090,LOC_Os01g41910,,,gene:HORVU.MOREX.r3.3HG0221840
AT1G05120,LOC_Os01g42090,,,gene:HORVU.MOREX.r3.3HG0221850
AT1G05136,LOC_Os01g42410,,,gene:HORVU.MOREX.r3.3HG0221900
AT1G05140,LOC_Os01g42430,,,gene:HORVU.MOREX.r3.3HG0222330
AT1G05150,LOC_Os01g42960,,,gene:HORVU.MOREX.r3.3HG0222580
AT1G05160,LOC_Os01g42970,,,gene:HORVU.MOREX.r3.3HG0223500
AT1G05170,LOC_Os01g43030,,,gene:HORVU.MOREX.r3.3HG0223800
AT1G05205,LOC_Os01g43050,,,gene:HORVU.MOREX.r3.3HG0224450
AT1G05230,LOC_Os01g43060,,,gene:HORVU.MOREX.r3.3HG0225910
AT1G05300,LOC_Os01g43100,,,gene:HORVU.MOREX.r3.3HG0226150
AT1G05320,LOC_Os01g43110,,,gene:HORVU.MOREX.r3.3HG0226460
