,ZM_PC1,ZMPC2,ZM_PC3
SEEDGWAS10:MRG:4:250054453,-3.422635206,-2.088192013,-1.891768456
SEEDGWAS1000:MRG:4:250067677,0.474414313,1.803555375,-1.266394118
SEEDGWAS1001:MRG:4:250067678,1.424472428,1.405834868,-0.887447894
SEEDGWAS1003:MRG:4:250067679,-2.136993822,2.234199112,-0.734074662
SEEDGWAS1004:MRG:4:250067680,-2.340685807,0.72539477,-1.863118351
SEEDGWAS1006:MRG:4:250067682,-1.931763684,0.305819729,-2.441544949
SEEDGWAS1007:MRG:4:250067684,-4.205341007,0.562801175,1.015558721
SEEDGWAS1008:MRG:4:250067716,-6.171529847,-0.265126463,0.311187324
SEEDGWAS1009:MRG:4:250067717,-3.545956465,1.042296899,-0.54276088
SEEDGWAS101:MRG:4:250054517,-2.667364374,-0.288805466,-2.134964231
SEEDGWAS1011:MRG:4:250067718,-2.186556475,2.050008119,0.870042866
SEEDGWAS1012:MRG:4:250067719,-2.186556475,2.050008119,0.870042866
SEEDGWAS1014:MRG:4:250067720,-1.731563357,1.760238298,-2.343124355
SEEDGWAS1015:MRG:4:250067721,-3.383540274,2.218595786,2.042486405
SEEDGWAS1019:MRG:4:250067723,-2.90762521,0.111378189,-1.904983338
SEEDGWAS1020:MRG:4:250067724,-1.779285505,1.953104121,0.396706812
SEEDGWAS1022:MRG:4:250067725,-0.978486432,1.207655317,0.89672368
SEEDGWAS1023:MRG:4:250067726,-1.677847338,2.670104287,0.856248122
SEEDGWAS1024:MRG:4:250067727,-1.677847338,2.670104287,0.856248122
SEEDGWAS1025:MRG:4:250067728,-1.779285505,1.953104121,0.396706812
SEEDGWAS1026:MRG:4:250067729,3.446116624,-0.458695981,-3.701460396
SEEDGWAS1027:MRG:4:250067730,0.016962305,0.249196859,-2.757635021
SEEDGWAS1029:MRG:4:250067732,-1.794775659,1.72335318,-0.014879052
SEEDGWAS1030:MRG:4:250067733,-2.274447536,0.475030096,-1.616477137
SEEDGWAS1031:MRG:4:250067734,-1.794775659,1.72335318,-0.014879052
SEEDGWAS1032:MRG:4:250067735,-3.545956465,1.042296899,-0.54276088
SEEDGWAS1033:MRG:4:250067736,-2.102933283,2.986462081,1.690199261
SEEDGWAS1034:MRG:4:250067737,-1.15883264,-1.195134225,-0.057111824
SEEDGWAS1035:MRG:4:250067738,-1.228477744,2.447713348,-2.191401774
SEEDGWAS1036:MRG:4:250067739,-2.89191962,-0.646068813,-0.428657008
SEEDGWAS1037:MRG:4:250067740,-3.325116721,2.556659231,2.042587244
SEEDGWAS1039:MRG:4:250067741,-1.297758087,-4.030652188,-4.068993079
SEEDGWAS104:MRG:4:250054519,-2.28401789,2.287023301,-0.775129578
SEEDGWAS1040:MRG:4:250067742,-1.10236095,-0.128560378,-3.24369152
SEEDGWAS1041:MRG:4:250067743,-0.605590096,0.962837349,-2.956455139
SEEDGWAS1042:MRG:4:250067744,0.386394746,2.151701187,-2.522307862
SEEDGWAS1043:MRG:4:250067745,-2.516375817,-1.847189259,0.26845727
SEEDGWAS1044:MRG:4:250067746,-2.516375817,-1.847189259,0.26845727
SEEDGWAS1045:MRG:4:250067747,-2.517560856,0.013171525,-1.904834642
SEEDGWAS1048:MRG:4:250067748,-2.517560856,0.013171525,-1.904834642
SEEDGWAS1049:MRG:4:250067749,-2.517560856,0.013171525,-1.904834642
SEEDGWAS105:MRG:4:250054520,-2.440730263,2.75048305,-0.2952105
SEEDGWAS1050:MRG:4:250067750,-2.517560856,0.013171525,-1.904834642
SEEDGWAS1051:MRG:4:250067752,-2.517560856,0.013171525,-1.904834642
SEEDGWAS106:MRG:4:250054521,-6.894839859,-2.391323457,0.01844216
SEEDGWAS107:MRG:4:250054522,-5.656008785,-0.365252564,-0.55023538
SEEDGWAS1085:MRG:4:250067782,1.575821363,1.73404906,0.442170731
SEEDGWAS1087:MRG:4:250067785,1.600824948,1.011753443,-1.083686859
SEEDGWAS1088:MRG:4:250067786,1.383956622,1.94345806,-1.457499168
SEEDGWAS1091:MRG:4:250067789,3.05116058,0.980907951,-1.919595937
SEEDGWAS1095:MRG:4:250067792,-0.709876574,2.399318026,0.518014764
SEEDGWAS1096:MRG:4:250067793,-0.761898502,3.029215443,0.209932775
SEEDGWAS1097:MRG:4:250067794,3.56803744,2.477703877,-2.791429575
SEEDGWAS1099:MRG:4:250067796,-2.239633433,0.721870457,1.290882526
SEEDGWAS1100:MRG:4:250067797,-3.023927812,-5.0727204,2.925449029
SEEDGWAS1101:MRG:4:250067798,-3.044340946,-4.25335689,3.872084258
SEEDGWAS1102:MRG:4:250067799,-6.333644256,-3.398160304,2.057387663
SEEDGWAS1103:MRG:4:250067800,-6.2027157,-3.715196207,2.156928281
