rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
Chr5_20741666.0	5	20741666	3.940358e-13	10	AT5G50995;AT5G50990;AT5G51000;AT5G50970;AT5G51010;AT5G51020;AT5G50960;AT5G51030;AT5G50950;AT5G51040	AT5G50995	AT5G50995	12
Chr1_23413486.0	1	23413486	4.171971e-13	7	AT1G63130;AT1G63120;AT1G63140;AT1G63110;AT1G63150;AT1G63160;AT1G63105	AT1G63130	AT1G63130	0
Chr3_19326.0	3	19326	4.34781e-13	6	AT3G01070;AT3G01060;AT3G01050;AT3G01080;AT3G01040;AT3G01085	AT3G01070	AT3G01070	266
Chr1_15006204.0	1	15006204	1.379418e-12	1	AT1G40087	AT1G40087	AT1G40087	4336
Chr5_20180174.0	5	20180174	2.157982e-12	2	AT5G49680;AT5G49690	AT5G49680	AT5G49680	0
Chr3_402.0	3	402	5.378254e-12	5	AT3G01015;AT3G01010;AT3G01020;AT3G01030;AT3G01040	AT3G01015	AT3G01015	1251
Chr3_892.0	3	892	5.378254e-12	5	AT3G01015;AT3G01010;AT3G01020;AT3G01030;AT3G01040	AT3G01015	AT3G01015	761
Chr3_1065.0	3	1065	5.378254e-12	5	AT3G01015;AT3G01010;AT3G01020;AT3G01030;AT3G01040	AT3G01015	AT3G01015	588
Chr3_5966.0	3	5966	5.378254e-12	6	AT3G01020;AT3G01030;AT3G01010;AT3G01015;AT3G01040;AT3G01050	AT3G01020	AT3G01020	0
Chr3_7116.0	3	7116	5.378254e-12	7	AT3G01030;AT3G01020;AT3G01040;AT3G01010;AT3G01015;AT3G01050;AT3G01060	AT3G01030	AT3G01030	0
Chr3_7315.0	3	7315	5.378254e-12	7	AT3G01030;AT3G01020;AT3G01040;AT3G01010;AT3G01015;AT3G01050;AT3G01060	AT3G01030	AT3G01030	0
Chr3_8894.0	3	8894	5.378254e-12	7	AT3G01040;AT3G01030;AT3G01020;AT3G01010;AT3G01050;AT3G01015;AT3G01060	AT3G01040	AT3G01040	63
Chr3_12898.0	3	12898	5.378254e-12	8	AT3G01050;AT3G01040;AT3G01060;AT3G01030;AT3G01070;AT3G01020;AT3G01010;AT3G01015	AT3G01050	AT3G01050	332
Chr3_12941.0	3	12941	5.378254e-12	8	AT3G01050;AT3G01040;AT3G01060;AT3G01030;AT3G01070;AT3G01020;AT3G01010;AT3G01015	AT3G01050	AT3G01050	289
Chr3_14711.0	3	14711	5.378254e-12	7	AT3G01050;AT3G01060;AT3G01040;AT3G01070;AT3G01030;AT3G01020;AT3G01010	AT3G01050	AT3G01050	36
