rs	chr	ps	p_wald
S1_6520135	1	6520135	1.043258e-11
S3_67717435	3	67717435	1.403628e-11
S3_66554279	3	66554279	3.403882e-10
S6_60419104	6	60419104	4.163163e-10
S3_73109960	3	73109960	4.429119e-10
S7_12700104	7	12700104	4.46201e-10
S7_13166702	7	13166702	2.155505e-09
S6_43163798	6	43163798	2.242502e-09
S7_16986622	7	16986622	2.387064e-09
S7_12928703	7	12928703	2.419806e-09
S7_12928708	7	12928708	2.419806e-09
S7_12095950	7	12095950	2.5053e-09
S7_12928570	7	12928570	2.969117e-09
S7_15228883	7	15228883	3.017526e-09
S7_12064372	7	12064372	3.343789e-09
S3_51309108	3	51309108	3.631081e-09
S3_67721899	3	67721899	3.728086e-09
S7_15726922	7	15726922	4.044323e-09
S10_57603511	10	57603511	4.06341e-09
S7_17353517	7	17353517	4.286504e-09
S3_67800335	3	67800335	4.355469e-09
S1_68749684	1	68749684	4.361797e-09
S7_16983098	7	16983098	4.442086e-09
S7_11500185	7	11500185	4.853402e-09
S4_2832402	4	2832402	5.661057e-09
S3_67800333	3	67800333	6.775687e-09
S4_2833989	4	2833989	7.920577e-09
S7_15402463	7	15402463	1.213236e-08
S7_15139939	7	15139939	1.225246e-08
S7_15790315	7	15790315	1.291856e-08
S7_11500279	7	11500279	1.368512e-08
S7_12939752	7	12939752	3.321382e-08
S7_12939754	7	12939754	3.321382e-08
S7_14791484	7	14791484	3.802066e-08
S7_15969303	7	15969303	4.773759e-08
S7_12939166	7	12939166	4.947707e-08
S7_12939168	7	12939168	4.947707e-08
S7_12939211	7	12939211	4.947707e-08
S7_13649433	7	13649433	4.957006e-08
S7_12901120	7	12901120	5.217833e-08
S7_12457870	7	12457870	5.685534e-08
S7_12779889	7	12779889	5.944672e-08
S7_16991865	7	16991865	6.99487e-08
S5_16193996	5	16193996	7.46305e-08
S7_14639006	7	14639006	8.267226e-08
S7_12928336	7	12928336	8.722535e-08
S7_13173260	7	13173260	9.529997e-08
S7_12904877	7	12904877	9.582694e-08
S7_12203445	7	12203445	9.83068e-08
S4_3114782	4	3114782	1.552418e-07
S7_15385333	7	15385333	1.569452e-07
S7_12747286	7	12747286	1.685876e-07
S7_16665472	7	16665472	1.700619e-07
S1_5885244	1	5885244	1.759352e-07
S7_12594361	7	12594361	1.771988e-07
S7_12810119	7	12810119	1.838439e-07
S7_12647801	7	12647801	1.88299e-07
S7_12647837	7	12647837	1.924092e-07
S7_16659083	7	16659083	2.102339e-07
S7_16330933	7	16330933	2.137801e-07
S10_50880465	10	50880465	2.178038e-07
S7_11816022	7	11816022	2.240444e-07
S6_43163733	6	43163733	2.264231e-07
S7_15203496	7	15203496	2.287302e-07
S7_17339156	7	17339156	2.761537e-07
S7_17315061	7	17315061	2.823537e-07
S7_15368949	7	15368949	3.050058e-07
S4_61962211	4	61962211	3.171832e-07
S7_13165114	7	13165114	3.277934e-07
S7_12594462	7	12594462	3.501517e-07
S7_16667822	7	16667822	3.50541e-07
S7_13649137	7	13649137	4.339748e-07
S10_56170804	10	56170804	4.826967e-07
S7_13926938	7	13926938	4.97154e-07
S7_12401907	7	12401907	5.237639e-07
S7_12739686	7	12739686	5.340666e-07
S7_16469165	7	16469165	5.900693e-07
S7_11347673	7	11347673	5.942041e-07
S1_3489387	1	3489387	6.250276e-07
S7_17046494	7	17046494	6.585245e-07
S7_15385965	7	15385965	6.949223e-07
S7_13190209	7	13190209	7.08044e-07
S7_12584755	7	12584755	7.401637e-07
S7_12584759	7	12584759	7.401637e-07
S7_15100947	7	15100947	7.404445e-07
S7_16376982	7	16376982	7.798274e-07
S4_3114831	4	3114831	8.127552e-07
S7_13963564	7	13963564	8.222486e-07
S7_12660314	7	12660314	8.301905e-07
S7_12660315	7	12660315	8.301905e-07
S7_12647838	7	12647838	8.314202e-07
S3_20020665	3	20020665	8.317806e-07
S7_17373778	7	17373778	8.831658e-07
S7_37040789	7	37040789	9.030065e-07
S7_12391528	7	12391528	9.460147e-07
S7_12203127	7	12203127	9.601598e-07
S7_16318006	7	16318006	9.734372e-07
S3_7707807	3	7707807	1.017066e-06
S7_15923791	7	15923791	1.021072e-06
S7_16011301	7	16011301	1.076959e-06
S7_16011314	7	16011314	1.076959e-06
S7_16009994	7	16009994	1.100666e-06
S7_16010007	7	16010007	1.100666e-06
S7_16010022	7	16010022	1.100666e-06
S1_6526076	1	6526076	1.120726e-06
S1_6526078	1	6526078	1.120726e-06
S1_6526079	1	6526079	1.120726e-06
S1_6526074	1	6526074	1.137218e-06
S7_12927838	7	12927838	1.141026e-06
S7_12927846	7	12927846	1.141026e-06
S1_5203722	1	5203722	1.195087e-06
S7_13962176	7	13962176	1.336161e-06
S7_16798380	7	16798380	1.354046e-06
S7_14262000	7	14262000	1.355122e-06
S7_16389470	7	16389470	1.556425e-06
S7_16346823	7	16346823	1.632642e-06
S7_16346824	7	16346824	1.632642e-06
S7_16346825	7	16346825	1.632642e-06
S7_16389468	7	16389468	1.759615e-06
S7_16200849	7	16200849	1.862967e-06
S7_16200893	7	16200893	1.862967e-06
S7_14217718	7	14217718	2.002208e-06
S7_15203334	7	15203334	2.223975e-06
S7_15203358	7	15203358	2.223975e-06
S7_14370802	7	14370802	2.265522e-06
S7_12391552	7	12391552	2.329516e-06
S1_46458064	1	46458064	2.372185e-06
S7_12909505	7	12909505	2.460069e-06
S7_16010108	7	16010108	2.506203e-06
S7_16667969	7	16667969	2.750879e-06
S7_13649676	7	13649676	2.846685e-06
S1_68489209	1	68489209	2.915704e-06
S7_13649453	7	13649453	2.977342e-06
S7_11876032	7	11876032	3.121846e-06
S7_12744480	7	12744480	3.214463e-06
S7_12384524	7	12384524	3.349411e-06
S7_13189878	7	13189878	3.714459e-06
S7_12477125	7	12477125	3.836019e-06
S7_14371315	7	14371315	3.889515e-06
S7_13005746	7	13005746	3.931201e-06
S7_16589661	7	16589661	4.139724e-06
S7_16589686	7	16589686	4.180509e-06
S7_16589694	7	16589694	4.180509e-06
S10_4907531	10	4907531	4.230777e-06
S7_12739660	7	12739660	4.286458e-06
S7_16468136	7	16468136	4.69923e-06
S7_16468138	7	16468138	4.69923e-06
S7_14253462	7	14253462	4.766613e-06
S7_16269311	7	16269311	4.81134e-06
S7_12744557	7	12744557	4.905264e-06
S7_16389473	7	16389473	4.967654e-06
S7_12584867	7	12584867	5.503568e-06
S7_12196015	7	12196015	5.504329e-06
S7_17463517	7	17463517	5.682162e-06
S7_15368827	7	15368827	5.69455e-06
S1_6554963	1	6554963	5.805476e-06
S7_14609423	7	14609423	6.156595e-06
S8_9512600	8	9512600	6.395875e-06
S7_16886224	7	16886224	7.342227e-06
S7_15800244	7	15800244	7.510729e-06
S7_13582783	7	13582783	7.790149e-06
S7_15930348	7	15930348	7.898187e-06
S7_15930366	7	15930366	7.898187e-06
S1_6526073	1	6526073	8.321223e-06
S7_16374236	7	16374236	8.325208e-06
S7_16374239	7	16374239	8.325208e-06
S7_16374237	7	16374237	8.43602e-06
S7_12585407	7	12585407	8.630851e-06
S7_12585423	7	12585423	8.630851e-06
S7_16374545	7	16374545	8.729802e-06
S7_16374554	7	16374554	8.729802e-06
S7_13927049	7	13927049	9.059079e-06
S3_66443441	3	66443441	9.259329e-06
S7_15139982	7	15139982	9.342134e-06
S7_16201482	7	16201482	9.370884e-06
S7_12476379	7	12476379	9.395589e-06
S7_14602623	7	14602623	9.540371e-06
S5_15276436	5	15276436	9.563745e-06
S7_13927090	7	13927090	9.830655e-06
S3_63803100	3	63803100	9.856332e-06
S7_14791432	7	14791432	1.038596e-05
S4_8353752	4	8353752	1.045751e-05
S4_8353761	4	8353761	1.045751e-05
S7_14080469	7	14080469	1.062668e-05
S7_16010039	7	16010039	1.089036e-05
S8_10964454	8	10964454	1.147407e-05
S6_58556654	6	58556654	1.154319e-05
S1_49696818	1	49696818	1.16391e-05
S3_19412566	3	19412566	1.234114e-05
S7_16329779	7	16329779	1.248081e-05
S8_42346961	8	42346961	1.27659e-05
S7_16200550	7	16200550	1.282323e-05
S1_10542338	1	10542338	1.330644e-05
S7_12986834	7	12986834	1.370983e-05
S8_10910483	8	10910483	1.388383e-05
S7_15913909	7	15913909	1.415132e-05
S7_15913914	7	15913914	1.415132e-05
S3_49122272	3	49122272	1.445823e-05
S7_15385215	7	15385215	1.458728e-05
S7_12741367	7	12741367	1.468989e-05
S7_12741392	7	12741392	1.468989e-05
S7_12203643	7	12203643	1.47385e-05
S6_55640302	6	55640302	1.608046e-05
S7_13097825	7	13097825	1.609639e-05
S7_15924034	7	15924034	1.743443e-05
S7_15924067	7	15924067	1.743443e-05
S7_13962376	7	13962376	1.911643e-05
S7_12928399	7	12928399	1.929103e-05
S1_3499636	1	3499636	1.943659e-05
S7_16389469	7	16389469	1.953695e-05
S7_13916522	7	13916522	1.969099e-05
S7_16200555	7	16200555	2.02605e-05
S7_13962178	7	13962178	2.298315e-05
S2_69334937	2	69334937	2.30458e-05
S7_14241658	7	14241658	2.339255e-05
S8_4064040	8	4064040	2.346573e-05
S7_12941909	7	12941909	2.40494e-05
S2_12056165	2	12056165	2.429958e-05
S7_14253464	7	14253464	2.557547e-05
S7_16519664	7	16519664	2.695761e-05
S7_14098465	7	14098465	2.747529e-05
S7_14098515	7	14098515	2.747529e-05
S8_10234606	8	10234606	2.789568e-05
S7_14392577	7	14392577	2.815755e-05
S7_14233852	7	14233852	2.818319e-05
S7_14392576	7	14392576	2.880191e-05
S7_14075648	7	14075648	2.924042e-05
S7_14363732	7	14363732	3.072848e-05
S7_14363740	7	14363740	3.072848e-05
S7_17007776	7	17007776	3.1161e-05
S7_13158192	7	13158192	3.136898e-05
S1_25482545	1	25482545	3.170018e-05
S3_56393802	3	56393802	3.233624e-05
S2_3562031	2	3562031	3.237562e-05
S3_67931777	3	67931777	3.290309e-05
S1_302071	1	302071	3.403658e-05
