rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
S1_41866446	1	41866446	8.992925e-08	0	NA	NA	NA	NA
S7_12052511	7	12052511	3.970537e-07	2	SORBI_3007G087900;SORBI_3007G088000	SORBI_3007G087900	SORBI_3007G087900	10894
S3_50319480	3	50319480	6.918075e-07	4	SORBI_3003G186200;SORBI_3003G186132;SORBI_3003G186066;SORBI_3003G186000	SORBI_3003G186200	SORBI_3003G186200	0
S3_72434701	3	72434701	8.164766e-07	11	SORBI_3003G418733;SORBI_3003G418700;SORBI_3003G418766;SORBI_3003G418800;SORBI_3003G418900;SORBI_3003G418600;SORBI_3003G419100;SORBI_3003G419000;SORBI_3003G418500;SORBI_3003G419200;SORBI_3003G418400	SORBI_3003G418733	SORBI_3003G418733	0
S3_72434704	3	72434704	8.78967e-07	11	SORBI_3003G418733;SORBI_3003G418700;SORBI_3003G418766;SORBI_3003G418800;SORBI_3003G418900;SORBI_3003G418600;SORBI_3003G419100;SORBI_3003G419000;SORBI_3003G418500;SORBI_3003G419200;SORBI_3003G418400	SORBI_3003G418733	SORBI_3003G418733	0
S3_72434706	3	72434706	1.739437e-06	11	SORBI_3003G418733;SORBI_3003G418700;SORBI_3003G418766;SORBI_3003G418800;SORBI_3003G418900;SORBI_3003G418600;SORBI_3003G419100;SORBI_3003G419000;SORBI_3003G418500;SORBI_3003G419200;SORBI_3003G418400	SORBI_3003G418733	SORBI_3003G418733	0
S4_4253440	4	4253440	2.581124e-06	5	SORBI_3004G052401;SORBI_3004G052300;SORBI_3004G052500;SORBI_3004G052600;SORBI_3004G052200	SORBI_3004G052401	SORBI_3004G052401	254
S9_9541617	9	9541617	3.541618e-06	1	SORBI_3009G074500	SORBI_3009G074500	SORBI_3009G074500	11444
S3_72434712	3	72434712	4.597058e-06	11	SORBI_3003G418733;SORBI_3003G418700;SORBI_3003G418766;SORBI_3003G418800;SORBI_3003G418900;SORBI_3003G418600;SORBI_3003G419100;SORBI_3003G419000;SORBI_3003G418500;SORBI_3003G419200;SORBI_3003G418400	SORBI_3003G418733	SORBI_3003G418733	0
S10_7054355	10	7054355	5.317121e-06	7	SORBI_3010G082700;SORBI_3010G082600;SORBI_3010G082500;SORBI_3010G082400;SORBI_3010G082300;SORBI_3010G082800;SORBI_3010G082850	SORBI_3010G082700	SORBI_3010G082700	307
