rs	chr	ps	p_wald
S2_191557757	2	191557757	9.024944e-08
S2_191557790	2	191557790	4.928308e-07
S2_191557886	2	191557886	2.220668e-06
S6_109983032	6	109983032	2.650466e-06
S5_159169143	5	159169143	2.66667e-06
S2_191557889	2	191557889	2.897546e-06
S6_52827469	6	52827469	5.314703e-06
S2_114601720	2	114601720	6.638961e-06
S5_160028664	5	160028664	1.04656e-05
S2_215426813	2	215426813	1.27008e-05
S4_174316376	4	174316376	1.856725e-05
S10_75931136	10	75931136	1.976091e-05
S2_191557934	2	191557934	2.109574e-05
S2_54887677	2	54887677	2.120933e-05
S10_77822695	10	77822695	2.170687e-05
S2_1571313	2	1571313	2.487441e-05
S1_248711216	1	248711216	2.504397e-05
S8_16021065	8	16021065	2.853523e-05
S9_86159446	9	86159446	2.899216e-05
S1_248711200	1	248711200	3.098443e-05
S9_156676943	9	156676943	3.133627e-05
S2_201950195	2	201950195	3.261329e-05
S8_136029729	8	136029729	3.28826e-05
S4_33122145	4	33122145	3.399602e-05
S3_181365747	3	181365747	3.439197e-05
S5_193516574	5	193516574	3.802575e-05
S6_170593218	6	170593218	3.903187e-05
S8_116618574	8	116618574	4.154503e-05
S1_28555733	1	28555733	4.18041e-05
S2_7458439	2	7458439	4.231199e-05
S6_173220269	6	173220269	4.295884e-05
S7_90288638	7	90288638	4.470461e-05
S2_232921059	2	232921059	4.841969e-05
S1_285145178	1	285145178	4.87101e-05
S6_170593223	6	170593223	4.935149e-05
S5_103644363	5	103644363	5.071334e-05
S8_8694105	8	8694105	5.085387e-05
S1_53480525	1	53480525	5.320541e-05
S1_274702164	1	274702164	5.379409e-05
S4_69375809	4	69375809	5.427767e-05
S2_191557816	2	191557816	5.721978e-05
S10_143454853	10	143454853	5.747025e-05
S3_221268952	3	221268952	5.780256e-05
S3_140106082	3	140106082	5.864507e-05
S2_230183718	2	230183718	5.892512e-05
S2_7458445	2	7458445	5.974754e-05
S3_196201315	3	196201315	6.050299e-05
S8_90583719	8	90583719	6.069432e-05
S8_1906134	8	1906134	6.097806e-05
S8_139884985	8	139884985	6.123137e-05
S1_179711148	1	179711148	6.22564e-05
S3_184264715	3	184264715	6.458678e-05
S6_15082837	6	15082837	6.468264e-05
S7_141741547	7	141741547	6.729403e-05
S6_170593219	6	170593219	6.785268e-05
S1_307328719	1	307328719	6.840207e-05
S5_204632900	5	204632900	6.861813e-05
S10_77744413	10	77744413	7.099314e-05
S8_58166291	8	58166291	7.135586e-05
S10_19848132	10	19848132	7.219641e-05
S3_157830254	3	157830254	7.2673e-05
S1_19207684	1	19207684	7.327138e-05
S2_191557818	2	191557818	7.361335e-05
S3_162745952	3	162745952	7.661586e-05
S2_191557819	2	191557819	8.240202e-05
S8_173022230	8	173022230	8.349902e-05
S3_115762675	3	115762675	8.702817e-05
S10_135963039	10	135963039	8.757934e-05
S8_58173226	8	58173226	8.760072e-05
S6_75481583	6	75481583	8.822734e-05
S7_150436891	7	150436891	9.00924e-05
S6_170687986	6	170687986	9.014316e-05
S10_132692007	10	132692007	9.016412e-05
S2_191557853	2	191557853	9.582028e-05
S1_235267129	1	235267129	9.814979e-05
S9_151742636	9	151742636	9.959277e-05
S3_6391201	3	6391201	0.0001010372
S1_273772920	1	273772920	0.0001041967
