rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
S2_4694729	2	4694729	2.917913e-07	1	Zm00001eb067890	Zm00001eb067890	Zm00001eb067890	0
S9_151742636	9	151742636	3.71125e-07	5	Zm00001eb399680;Zm00001eb399660;Zm00001eb399670;Zm00001eb399650;Zm00001eb399640	Zm00001eb399680	Zm00001eb399680	5042
S2_4694732	2	4694732	1.159882e-06	1	Zm00001eb067890	Zm00001eb067890	Zm00001eb067890	0
S3_164769722	3	164769722	3.502354e-06	1	Zm00001eb143640	Zm00001eb143640	Zm00001eb143640	11468
S5_214493816	5	214493816	3.580054e-06	1	EMB1444_1	EMB1444_1	Zm00001eb254280	0
S9_151737489	9	151737489	3.932684e-06	5	Zm00001eb399680;Zm00001eb399660;Zm00001eb399670;Zm00001eb399650;Zm00001eb399640	Zm00001eb399680	Zm00001eb399680	0
S3_164769724	3	164769724	5.55349e-06	1	Zm00001eb143640	Zm00001eb143640	Zm00001eb143640	11466
S9_151737483	9	151737483	5.605169e-06	5	Zm00001eb399680;Zm00001eb399660;Zm00001eb399670;Zm00001eb399650;Zm00001eb399640	Zm00001eb399680	Zm00001eb399680	0
S3_164769772	3	164769772	6.007105e-06	1	Zm00001eb143640	Zm00001eb143640	Zm00001eb143640	11418
S5_7550509	5	7550509	8.344842e-06	7	Zm00001eb214780;Zm00001eb214790;Zm00001eb214770;phyC2;Zm00001eb214810;Zm00001eb214820;Zm00001eb214830	Zm00001eb214780	Zm00001eb214780	296
S7_152985015	7	152985015	9.775324e-06	4	NAC086_3;NAC086_4;Zm00001eb320810;Zm00001eb320840	NAC086_3	Zm00001eb320830	0
S6_92284437	6	92284437	9.839439e-06	3	Zm00001eb272010;Zm00001eb272020;Zm00001eb272030	Zm00001eb272010	Zm00001eb272010	0
S4_182167434	4	182167434	9.994364e-06	2	Zm00001eb193180;Zm00001eb193190	Zm00001eb193180	Zm00001eb193180	0
S1_191624409	1	191624409	1.036389e-05	3	UCNL_2;Zm00001eb034790;Zm00001eb034770	UCNL_2	Zm00001eb034780	4809
S8_82466177	8	82466177	1.063701e-05	1	Zm00001eb345880	Zm00001eb345880	Zm00001eb345880	0
S7_184555567	7	184555567	1.105272e-05	3	Zm00001eb331900;Zm00001eb331910;Zm00001eb331890	Zm00001eb331900	Zm00001eb331900	0
S1_123128245	1	123128245	1.239792e-05	0	NA	NA	NA	NA
S4_206042670	4	206042670	1.601171e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042673	4	206042673	1.601171e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042676	4	206042676	1.601171e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042681	4	206042681	1.601171e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S6_47244022	6	47244022	2.038992e-05	1	Zm00001eb267020	Zm00001eb267020	Zm00001eb267020	44
S10_11188971	10	11188971	2.449763e-05	2	Zm00001eb408380;Zm00001eb408390	Zm00001eb408380	Zm00001eb408380	0
S7_163142232	7	163142232	2.573387e-05	5	Zm00001eb323070;Zm00001eb323080;Zm00001eb323060;Zm00001eb323090;Zm00001eb323050	Zm00001eb323070	Zm00001eb323070	0
S5_71978482	5	71978482	2.680588e-05	1	Zm00001eb230040	Zm00001eb230040	Zm00001eb230040	1769
S3_4410178	3	4410178	2.912351e-05	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	0
S5_8532029	5	8532029	3.031827e-05	4	Zm00001eb215280;Zm00001eb215270;Zm00001eb215260;Zm00001eb215250	Zm00001eb215280	Zm00001eb215280	0
S6_145466298	6	145466298	3.048913e-05	1	Zm00001eb284720	Zm00001eb284720	Zm00001eb284720	0
S4_206042666	4	206042666	3.054815e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042672	4	206042672	3.054815e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042674	4	206042674	3.054815e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S4_206042683	4	206042683	3.054815e-05	2	Zm00001eb199960;Zm00001eb199970	Zm00001eb199960	Zm00001eb199960	0
S10_88965944	10	88965944	3.13248e-05	2	Zm00001eb417520;Zm00001eb417510	Zm00001eb417520	Zm00001eb417520	0
S7_152985723	7	152985723	3.304622e-05	4	NAC086_3;NAC086_4;Zm00001eb320840;Zm00001eb320810	NAC086_3	Zm00001eb320830	0
S3_4410179	3	4410179	3.337891e-05	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	0
S3_156989750	3	156989750	3.479436e-05	1	SLC25A19_1	SLC25A19_1	Zm00001eb142190	0
S1_223953610	1	223953610	3.566547e-05	1	Zm00001eb042450	Zm00001eb042450	Zm00001eb042450	0
S7_181045565	7	181045565	3.666466e-05	1	Zm00001eb330070	Zm00001eb330070	Zm00001eb330070	32
S2_215426555	2	215426555	3.836361e-05	2	Zm00001eb108180;Zm00001eb108190	Zm00001eb108180	Zm00001eb108180	0
S8_125056112	8	125056112	3.88498e-05	3	Zm00001eb352840;Zm00001eb352850;Zm00001eb352830	Zm00001eb352840	Zm00001eb352840	0
S1_177009567	1	177009567	4.020747e-05	2	Zm00001eb031600;Zm00001eb031610	Zm00001eb031600	Zm00001eb031600	519
S7_35941545	7	35941545	4.076521e-05	2	Zm00001eb305820;pht11	Zm00001eb305820	Zm00001eb305820	0
S4_174316376	4	174316376	4.109257e-05	3	Zm00001eb190750;Zm00001eb190740;Zm00001eb190760	Zm00001eb190750	Zm00001eb190750	0
S1_276541890	1	276541890	4.299073e-05	2	Zm00001eb055580;Zm00001eb055570	Zm00001eb055580	Zm00001eb055580	0
S5_173597839	5	173597839	4.715385e-05	1	Zm00001eb243120	Zm00001eb243120	Zm00001eb243120	1018
S6_165374234	6	165374234	4.76644e-05	6	Zm00001eb290660;Zm00001eb290670;TBL16_3;Zm00001eb290650;Zm00001eb290690;Zm00001eb290640	Zm00001eb290660	Zm00001eb290660	0
S5_50330273	5	50330273	4.839591e-05	3	Zm00001eb225430;Zm00001eb225440;Zm00001eb225450	Zm00001eb225430	Zm00001eb225430	44
S1_86070182	1	86070182	4.896877e-05	2	Zm00001eb022450;Zm00001eb022460	Zm00001eb022450	Zm00001eb022450	147
S7_163586806	7	163586806	4.92302e-05	3	Zm00001eb323220;Zm00001eb323210;Zm00001eb323230	Zm00001eb323220	Zm00001eb323220	0
S5_58607671	5	58607671	5.033727e-05	2	Zm00001eb226900;Zm00001eb226910	Zm00001eb226900	Zm00001eb226900	0
S1_286290082	1	286290082	5.132929e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S1_286290073	1	286290073	5.140983e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S2_170341600	2	170341600	5.14943e-05	3	ADT6_2;Zm00001eb096120;Zm00001eb096100	ADT6_2	Zm00001eb096110	6604
S3_4410180	3	4410180	5.205187e-05	4	Zm00001eb120370;RLK;Zm00001eb120380;Zm00001eb120390	Zm00001eb120370	Zm00001eb120370	0
S10_10536028	10	10536028	5.409208e-05	1	Zm00001eb408270	Zm00001eb408270	Zm00001eb408270	0
S7_163142227	7	163142227	5.419964e-05	5	Zm00001eb323070;Zm00001eb323080;Zm00001eb323060;Zm00001eb323090;Zm00001eb323050	Zm00001eb323070	Zm00001eb323070	0
S1_286290072	1	286290072	5.619104e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S4_182167429	4	182167429	6.57116e-05	2	Zm00001eb193180;Zm00001eb193190	Zm00001eb193180	Zm00001eb193180	0
S9_151983481	9	151983481	6.890468e-05	3	Zm00001eb399780;Zm00001eb399800;Zm00001eb399790	Zm00001eb399780	Zm00001eb399780	0
S5_207914756	5	207914756	7.020229e-05	4	Zm00001eb251660;Zm00001eb251670;EAT1;aox1	Zm00001eb251660	Zm00001eb251660	0
S4_182167460	4	182167460	7.085776e-05	2	Zm00001eb193180;Zm00001eb193190	Zm00001eb193180	Zm00001eb193180	0
S1_286290074	1	286290074	7.143166e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S3_164769832	3	164769832	7.411968e-05	1	Zm00001eb143640	Zm00001eb143640	Zm00001eb143640	11358
S1_286290076	1	286290076	7.430322e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S3_213475803	3	213475803	7.865556e-05	3	DTX14_1;Zm00001eb156540;Zm00001eb156550	DTX14_1	Zm00001eb156530	0
S1_286290081	1	286290081	7.89552e-05	1	Zm00001eb058240	Zm00001eb058240	Zm00001eb058240	0
S3_185248419	3	185248419	8.081219e-05	3	Zm00001eb148150;Zm00001eb148160;Zm00001eb148170	Zm00001eb148150	Zm00001eb148150	477
