rs	chr	ps	p_wald	n_genes_25kb	genes_in_25kb	closest_gene	closest_gene_id	closest_gene_distance_bp
S6_14478935	6	14478935	3.398329e-09	1	SORBI_3006G037700	SORBI_3006G037700	SORBI_3006G037700	8637
S1_47398034	1	47398034	3.53734e-08	0	NA	NA	NA	NA
S2_30005156	2	30005156	2.491345e-07	0	NA	NA	NA	NA
S1_47411484	1	47411484	7.6701e-07	0	NA	NA	NA	NA
S1_47411486	1	47411486	7.6701e-07	0	NA	NA	NA	NA
S1_47411487	1	47411487	7.6701e-07	0	NA	NA	NA	NA
S5_61614098	5	61614098	8.527623e-07	5	SORBI_3005G147800;SORBI_3005G147900;SORBI_3005G147700;SORBI_3005G147600;SORBI_3005G148000	SORBI_3005G147800	SORBI_3005G147800	0
S1_3489387	1	3489387	2.429742e-06	8	SORBI_3001G047400;SORBI_3001G047500;SORBI_3001G047600;SORBI_3001G047200;SORBI_3001G047700;SORBI_3001G047100;SORBI_3001G047800;SORBI_3001G047000	SORBI_3001G047400	SORBI_3001G047400	0
S1_40832979	1	40832979	2.976668e-06	0	NA	NA	NA	NA
S1_41066216	1	41066216	5.102017e-06	0	NA	NA	NA	NA
S2_36270633	2	36270633	5.500221e-06	0	NA	NA	NA	NA
S2_36270639	2	36270639	5.500221e-06	0	NA	NA	NA	NA
S2_36270832	2	36270832	5.500221e-06	0	NA	NA	NA	NA
S7_53555902	7	53555902	5.931253e-06	2	SORBI_3007G125500;SORBI_3007G125400	SORBI_3007G125500	SORBI_3007G125500	275
S1_41128560	1	41128560	6.015598e-06	0	NA	NA	NA	NA
S10_54788929	10	54788929	6.636912e-06	2	SORBI_3010G205200;SORBI_3010G205300	SORBI_3010G205200	SORBI_3010G205200	14566
S8_43142696	8	43142696	7.366742e-06	0	NA	NA	NA	NA
S1_41370348	1	41370348	8.90035e-06	0	NA	NA	NA	NA
S2_69976145	2	69976145	9.330809e-06	8	SORBI_3002G331300;SORBI_3002G331100;SORBI_3002G331200;SORBI_3002G331400;SORBI_3002G331050;SORBI_3002G331000;SORBI_3002G330900;SORBI_3002G331450	SORBI_3002G331300	SORBI_3002G331300	205
S1_40832997	1	40832997	1.400993e-05	0	NA	NA	NA	NA
S2_37759982	2	37759982	1.761193e-05	0	NA	NA	NA	NA
S1_28217400	1	28217400	2.493986e-05	2	SORBI_3001G254100;SORBI_3001G254000	SORBI_3001G254100	SORBI_3001G254100	1487
S10_15724392	10	15724392	3.81e-05	0	NA	NA	NA	NA
S4_10222042	4	10222042	3.84577e-05	4	SORBI_3004G107100;SORBI_3004G107000;SORBI_3004G106900;SORBI_3004G107200	SORBI_3004G107100	SORBI_3004G107100	1658
S1_47410929	1	47410929	3.998403e-05	0	NA	NA	NA	NA
S3_73040356	3	73040356	4.176876e-05	13	SORBI_3003G426700;SORBI_3003G426750;SORBI_3003G426800;SORBI_3003G426900;SORBI_3003G426600;SORBI_3003G427000;SORBI_3003G426500;SORBI_3003G426400;SORBI_3003G427100;SORBI_3003G426300;SORBI_3003G426200;SORBI_3003G426100;SORBI_3003G427200	SORBI_3003G426700	SORBI_3003G426700	272
S3_69865029	3	69865029	4.207442e-05	11	SORBI_3003G386400;SORBI_3003G386350;SORBI_3003G386500;SORBI_3003G386300;SORBI_3003G386200;SORBI_3003G386600;SORBI_3003G386700;SORBI_3003G386100;SORBI_3003G386800;SORBI_3003G386900;SORBI_3003G387000	SORBI_3003G386400	SORBI_3003G386400	0
S1_47696923	1	47696923	4.367542e-05	1	SORBI_3001G263200	SORBI_3001G263200	SORBI_3001G263200	0
S6_55915641	6	55915641	5.350834e-05	9	SORBI_3006G209400;SORBI_3006G209300;SORBI_3006G209500;SORBI_3006G209200;SORBI_3006G209600;SORBI_3006G209700;SORBI_3006G209100;SORBI_3006G209000;SORBI_3006G209850	SORBI_3006G209400	SORBI_3006G209400	0
S2_69968394	2	69968394	5.43453e-05	9	SORBI_3002G331100;SORBI_3002G331050;SORBI_3002G331200;SORBI_3002G331000;SORBI_3002G330900;SORBI_3002G331300;SORBI_3002G331400;SORBI_3002G330800;SORBI_3002G331450	SORBI_3002G331100	SORBI_3002G331100	0
S6_56483441	6	56483441	7.793544e-05	8	SORBI_3006G217000;SORBI_3006G217100;SORBI_3006G217200;SORBI_3006G216900;SORBI_3006G217300;SORBI_3006G217400;SORBI_3006G216800;SORBI_3006G217500	SORBI_3006G217000	SORBI_3006G217000	0
S2_40741369	2	40741369	8.676335e-05	0	NA	NA	NA	NA
S2_70088283	2	70088283	9.0384e-05	5	SORBI_3002G332100;SORBI_3002G332200;SORBI_3002G332300;SORBI_3002G332400;SORBI_3002G332500	SORBI_3002G332100	SORBI_3002G332100	3101
S2_41466980	2	41466980	0.0001012888	0	NA	NA	NA	NA
S3_72537663	3	72537663	0.000107824	8	SORBI_3003G420300;SORBI_3003G420201;SORBI_3003G420100;SORBI_3003G420400;SORBI_3003G420000;SORBI_3003G420500;SORBI_3003G419900;SORBI_3003G419800	SORBI_3003G420300	SORBI_3003G420300	0
S9_51549212	9	51549212	0.0001183276	4	SORBI_3009G157800;SORBI_3009G157700;SORBI_3009G157900;SORBI_3009G158000	SORBI_3009G157800	SORBI_3009G157800	0
S1_38812991	1	38812991	0.0001317294	0	NA	NA	NA	NA
S1_42275041	1	42275041	0.0001651557	0	NA	NA	NA	NA
S1_49648795	1	49648795	0.0001738594	0	NA	NA	NA	NA
S9_850266	9	850266	0.0001756971	4	SORBI_3009G009200;SORBI_3009G009100;SORBI_3009G009000;SORBI_3009G008900	SORBI_3009G009200	SORBI_3009G009200	3175
S5_11864246	5	11864246	0.0001802535	1	SORBI_3005G085901	SORBI_3005G085901	SORBI_3005G085901	0
S10_50731768	10	50731768	0.0001826444	2	SORBI_3010G172700;SORBI_3010G172666	SORBI_3010G172700	SORBI_3010G172700	6154
S1_43063572	1	43063572	0.0002028879	0	NA	NA	NA	NA
S7_48845888	7	48845888	0.0002101796	0	NA	NA	NA	NA
S1_1904843	1	1904843	0.0002211637	10	SORBI_3001G024000;SORBI_3001G023900;SORBI_3001G024100;SORBI_3001G023800;SORBI_3001G024200;SORBI_3001G023700;SORBI_3001G023600;SORBI_3001G024250;SORBI_3001G024300;SORBI_3001G023500	SORBI_3001G024000	SORBI_3001G024000	0
S9_58247504	9	58247504	0.0002211864	8	SORBI_3009G246950;SORBI_3009G246800;SORBI_3009G247100;SORBI_3009G247200;SORBI_3009G246700;SORBI_3009G247300;SORBI_3009G246600;SORBI_3009G246500	SORBI_3009G246950	SORBI_3009G246950	0
S1_40519025	1	40519025	0.0002379599	0	NA	NA	NA	NA
