"Lines","Long","Lat","crop","maprecip_value"
"88",0.683333,47.4,"arabidopsis",674
"108",-4.06667,48.5167,"arabidopsis",1078
"139",-4.06667,48.5167,"arabidopsis",1078
"159",3.93333,47.35,"arabidopsis",833
"265",-1.16667,44.65,"arabidopsis",946
"350",4.11667,46.6667,"arabidopsis",789
"351",4.11667,46.6667,"arabidopsis",789
"403",16.2667,49.3667,"arabidopsis",540
"410",16.3497,49.4211,"arabidopsis",559
"424",16.2815,49.4112,"arabidopsis",559
"428",16.232,49.403,"arabidopsis",562
"430",15.5,47,"arabidopsis",846
"470",-87.735,40.8313,"arabidopsis",974
"476",-87.735,40.8313,"arabidopsis",974
"484",-87.735,40.8313,"arabidopsis",974
"504",-87.735,40.8313,"arabidopsis",974
"506",-87.735,40.8313,"arabidopsis",974
"531",-87.735,40.8313,"arabidopsis",974
"544",-73.2089,40.9076,"arabidopsis",1098
"546",-73.2089,40.9076,"arabidopsis",1098
"628",-72.9069,40.7777,"arabidopsis",1069
"630",-72.9069,40.7777,"arabidopsis",1069
"680",-72.8615,40.9447,"arabidopsis",1104
"681",-72.8615,40.9447,"arabidopsis",1104
"685",-73.1493,40.9064,"arabidopsis",1093
"687",-73.1493,40.9064,"arabidopsis",1093
"728",-73.114,40.9352,"arabidopsis",1093
"742",-73.114,40.9352,"arabidopsis",1093
"763",74.3667,42.3,"arabidopsis",527
"765",73.41,42.19,"arabidopsis",592
"766",73.6333,42.5833,"arabidopsis",543
"768",76.35,42.8,"arabidopsis",397
"772",72.4667,37.35,"arabidopsis",289
"801",-84.4639,37.9169,"arabidopsis",1169
"853",-86.6691,41.7976,"arabidopsis",978
"854",-86.6691,41.7976,"arabidopsis",978
"867",-86.4366,41.8266,"arabidopsis",985
"868",-86.4366,41.8266,"arabidopsis",985
"870",-86.4366,41.8266,"arabidopsis",985
"915",-71.4378,41.8972,"arabidopsis",1208
"932",-71.1445,42.3634,"arabidopsis",1143
"991",14.0526813,55.3822641,"arabidopsis",622
"992",14.0526813,55.3822641,"arabidopsis",622
"997",14.0526813,55.3822641,"arabidopsis",622
