Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0098810,"chr2H:8883728\C,\T",8.129726e-09,upstream,5728,chr2H,8883728
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0476410,"chr5H:407089476\C,\G",8.285793e-09,downstream,6752,chr5H,407089476
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0112600,"chr2H:41449358\C,\T",8.06398e-08,in_gene,0,chr2H,41449358
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0426380,"chr5H:15282788\A,\G",1.003402e-07,upstream,17892,chr5H,15282788
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0476380,"chr5H:406773735\T,\C",1.366724e-07,upstream,23872,chr5H,406773735
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0541070,"chr6H:7594201\G,\A",1.525724e-07,downstream,4493,chr6H,7594201
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0203670,"chr2H:631999387\C,\T",1.598034e-07,in_gene,0,chr2H,631999387
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709440,"chr7H:457147354\G,\T",2.476479e-07,upstream,16077,chr7H,457147354
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709440,"chr7H:457147355\A,\G",2.476479e-07,upstream,16076,chr7H,457147355
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481090,"chr5H:434736028\G,\C",3.672991e-07,downstream,3771,chr5H,434736028
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0237410,"chr3H:51925152\G,\T",3.742925e-07,upstream,19106,chr3H,51925152
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210320,"chr2H:647575173\G,\A",4.824267e-07,upstream,9823,chr2H,647575173
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210320,"chr2H:647575216\C,\T",4.824267e-07,upstream,9780,chr2H,647575216
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210320,"chr2H:647575222\C,\T",4.824267e-07,upstream,9774,chr2H,647575222
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210280,"chr2H:647524914\G,\A",5.022282e-07,upstream,1102,chr2H,647524914
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0476460,"chr5H:407347596\T,\C",6.296172e-07,in_gene,0,chr5H,407347596
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481070,"chr5H:434708833\T,\C",6.644922e-07,in_gene,0,chr5H,434708833
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0554120,"chr6H:38380165\A,\G",7.32749e-07,downstream,665,chr6H,38380165
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0425480,"chr5H:11613336\A,\C",7.343134e-07,in_gene,0,chr5H,11613336
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0112600,"chr2H:41449354\G,\A",8.52934e-07,in_gene,0,chr2H,41449354
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210320,"chr2H:647586487\G,\A",9.070462e-07,in_gene,0,chr2H,647586487
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0105080,"chr2H:19291661\G,\A",9.227925e-07,upstream,5643,chr2H,19291661
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0273290,"chr3H:377841604\G,\A",9.438761e-07,downstream,19129,chr3H,377841604
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0331810,"chr4H:1610968\G,\A",1.02709e-06,upstream,5333,chr4H,1610968
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210280,"chr2H:647524860\G,\A",1.093951e-06,upstream,1156,chr2H,647524860
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0476490,"chr5H:407576026\A,\G",1.157756e-06,downstream,2626,chr5H,407576026
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0237410,"chr3H:51925183\C,\T",1.377081e-06,upstream,19075,chr3H,51925183
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0105080,"chr2H:19293845\C,\T",1.469559e-06,upstream,3459,chr2H,19293845
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709270,"chr7H:456060736\G,\A",1.476189e-06,downstream,3479,chr7H,456060736
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0574990,"chr6H:162618868\G,\A",1.656182e-06,downstream,14681,chr6H,162618868
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0424550,"chr5H:9771986\G,\C",1.825303e-06,upstream,3439,chr5H,9771986
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709360,"chr7H:456862770\C,\T",2.020516e-06,downstream,9955,chr7H,456862770
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481110,"chr5H:435000026\G,\A",2.226427e-06,upstream,15617,chr5H,435000026
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0652930,"chr7H:39758378\C,\G",2.233901e-06,in_gene,0,chr7H,39758378
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210280,"chr2H:647524823\G,\T",2.398783e-06,upstream,1193,chr2H,647524823
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210280,"chr2H:647524843\A,\G",2.398783e-06,upstream,1173,chr2H,647524843
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0574980,"chr6H:162236165\G,\T",2.555779e-06,upstream,18912,chr6H,162236165
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210280,"chr2H:647526650\A,\G",2.791047e-06,in_gene,0,chr2H,647526650
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0340820,"chr4H:31504674\C,\T",2.853194e-06,in_gene,0,chr4H,31504674
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210450,"chr2H:647831881\G,\A",3.001605e-06,upstream,1905,chr2H,647831881
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210450,"chr2H:647831920\C,\G",3.001605e-06,upstream,1866,chr2H,647831920
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0220950,"chr3H:5368510\G,\A",4.080355e-06,upstream,4161,chr3H,5368510
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0545220,"chr6H:15565637\C,\T",4.294731e-06,downstream,20260,chr6H,15565637
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709360,"chr7H:456864000\G,\A",4.389904e-06,downstream,11185,chr7H,456864000
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481110,"chr5H:434991569\G,\A",4.550666e-06,upstream,24074,chr5H,434991569
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0143650,"chr2H:239604712\C,\A",4.644398e-06,upstream,7244,chr2H,239604712
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0143650,"chr2H:239604772\G,\T",4.644398e-06,upstream,7184,chr2H,239604772
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0746750,"chr7H:618107046\T,\C",4.672232e-06,upstream,1339,chr7H,618107046
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210350,"chr2H:647621897\C,\T",4.815972e-06,upstream,11642,chr2H,647621897
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.1HG0064730,"chr1H:425353122\C,\T",4.850749e-06,downstream,14229,chr1H,425353122
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210300,"chr2H:647530808\G,\A",5.434566e-06,in_gene,0,chr2H,647530808
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0210320,"chr2H:647578941\C,\T",5.606848e-06,upstream,6055,chr2H,647578941
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0212940,"chr2H:653296688\C,\A",5.908219e-06,downstream,3456,chr2H,653296688
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.1HG0073070,"chr1H:460612434\C,\T",6.185977e-06,upstream,13305,chr1H,460612434
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0332290,"chr4H:3092979\G,\C",6.330276e-06,downstream,16409,chr4H,3092979
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.1HG0077310,"chr1H:478052678\T,\C",6.37445e-06,downstream,21360,chr1H,478052678
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0340900,"chr4H:31922055\G,\C",6.423973e-06,upstream,6890,chr4H,31922055
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.6HG0629350,"chr6H:552719177\A,\G",6.553998e-06,downstream,22338,chr6H,552719177
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0212940,"chr2H:653296637\G,\C",6.65399e-06,downstream,3405,chr2H,653296637
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481070,"chr5H:434712168\T,\C",6.654654e-06,in_gene,0,chr5H,434712168
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0481070,"chr5H:434712167\T,\A",6.654654e-06,in_gene,0,chr5H,434712167
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0384790,"chr4H:450871911\A,\G",6.671131e-06,upstream,5654,chr4H,450871911
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709360,"chr7H:456862772\G,\A",7.115551e-06,downstream,9957,chr7H,456862772
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0221160,"chr3H:5822581\G,\C",7.185879e-06,in_gene,0,chr3H,5822581
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0221160,"chr3H:5822622\G,\A",7.185879e-06,in_gene,0,chr3H,5822622
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0431170,"chr5H:31864671\G,\A",7.803604e-06,in_gene,0,chr5H,31864671
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0746750,"chr7H:618107081\G,\A",7.811343e-06,upstream,1304,chr7H,618107081
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0709270,"chr7H:456060535\T,\C",7.882164e-06,downstream,3278,chr7H,456060535
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0427910,"chr5H:19939894\C,\G",7.951908e-06,upstream,4672,chr5H,19939894
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0427910,"chr5H:19939912\G,\T",7.951908e-06,upstream,4654,chr5H,19939912
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0476490,"chr5H:407576050\A,\G",8.162066e-06,downstream,2650,chr5H,407576050
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0415610,"chr4H:602456055\T,\A",8.211373e-06,in_gene,0,chr4H,602456055
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0535750,"chr5H:582212071\C,\T",8.229433e-06,downstream,59,chr5H,582212071
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.7HG0746750,"chr7H:618107080\A,\C",8.480021e-06,upstream,1305,chr7H,618107080
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.4HG0415620,"chr4H:602488450\C,\T",9.245961e-06,upstream,16688,chr4H,602488450
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.3HG0218870,"chr3H:1974157\C,\T",9.272671e-06,in_gene,0,chr3H,1974157
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.5HG0463140,"chr5H:313580138\A,\G",9.345123e-06,downstream,5156,chr5H,313580138
barley,am_rel_abundance_colonization,HORVU.MOREX.r3.2HG0197800,"chr2H:619353386\G,\T",9.761081e-06,downstream,6784,chr2H,619353386
