species,trait,rows,gwas_file,output
arabidopsis,am_rel_abundance_colonization,16194,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_am_rel_abundance_colonization.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_am_rel_abundance_colonization_GWAS_top0p5_annotation_table.csv
barley,am_rel_abundance_colonization,996,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_am_rel_abundance_colonization.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_am_rel_abundance_colonization_GWAS_top0p5_annotation_table.csv
maize,am_rel_abundance_colonization,2259,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_am_rel_abundance_colonization.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_am_rel_abundance_colonization_GWAS_top0p5_annotation_table.csv
rice,am_rel_abundance_colonization,27044,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_am_rel_abundance_colonization.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_am_rel_abundance_colonization_GWAS_top0p5_annotation_table.csv
sorghum,am_rel_abundance_colonization,226,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_am_rel_abundance_colonization.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_am_rel_abundance_colonization_GWAS_top0p5_annotation_table.csv
arabidopsis,am_roots_colonized,15652,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/arabidopsis/AT_am_roots_colonized.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_am_roots_colonized_GWAS_top0p5_annotation_table.csv
barley,am_roots_colonized,962,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/barley/barley_am_roots_colonized.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/barley_am_roots_colonized_GWAS_top0p5_annotation_table.csv
maize,am_roots_colonized,2240,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/maize/maize_am_roots_colonized.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/maize_am_roots_colonized_GWAS_top0p5_annotation_table.csv
rice,am_roots_colonized,28563,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/rice/rice_am_roots_colonized.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/rice_am_roots_colonized_GWAS_top0p5_annotation_table.csv
sorghum,am_roots_colonized,261,/Users/nirwantandukar/Documents/Research/results/GWAS/landadapt/sorghum/sorghum_am_roots_colonized.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/sorghum_am_roots_colonized_GWAS_top0p5_annotation_table.csv
arabidopsis,aridity_index,16108,/Users/nirwantandukar/Documents/Github/Landadapt/results/aridity_index/AT_aridity_index.txt,/Users/nirwantandukar/Documents/Github/Landadapt/results/tables/GWAS_tables/top0p5_significant/arabidopsis_aridity_index_GWAS_top0p5_annotation_table.csv
