Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
sorghum,am_rel_abundance_colonization,SORBI_3004G149800,S4_47060169,3.906228e-06,upstream,16164,4,47060169
sorghum,am_rel_abundance_colonization,SORBI_3003G128600,S3_11859027,1.74567e-05,in_gene,0,3,11859027
sorghum,am_rel_abundance_colonization,SORBI_3008G092200,S8_39592399,1.82703e-05,in_gene,0,8,39592399
sorghum,am_rel_abundance_colonization,SORBI_3004G194100,S4_54583383,3.280798e-05,in_gene,0,4,54583383
sorghum,am_rel_abundance_colonization,SORBI_3008G092200,S8_39592366,4.087315e-05,in_gene,0,8,39592366
sorghum,am_rel_abundance_colonization,SORBI_3004G260700,S4_60607205,4.995275e-05,upstream,14736,4,60607205
sorghum,am_rel_abundance_colonization,SORBI_3006G207200,S6_55696558,5.351507e-05,in_gene,0,6,55696558
sorghum,am_rel_abundance_colonization,SORBI_3002G098850,S2_10594735,5.567032e-05,downstream,2280,2,10594735
sorghum,am_rel_abundance_colonization,SORBI_3008G102050,S8_48526413,7.285315e-05,upstream,1710,8,48526413
sorghum,am_rel_abundance_colonization,SORBI_3009G187900,S9_54018737,7.645543e-05,upstream,9396,9,54018737
sorghum,am_rel_abundance_colonization,SORBI_3004G322800,S4_65768503,7.983855e-05,downstream,599,4,65768503
sorghum,am_rel_abundance_colonization,SORBI_3006G114800,S6_48263460,0.0001013798,upstream,9645,6,48263460
sorghum,am_rel_abundance_colonization,SORBI_3009G072033,S9_8638643,0.0001076416,upstream,2173,9,8638643
sorghum,am_rel_abundance_colonization,SORBI_3001G437801,S1_71621647,0.0001081921,in_gene,0,1,71621647
sorghum,am_rel_abundance_colonization,SORBI_3001G269000,S1_51476448,0.0001139007,in_gene,0,1,51476448
sorghum,am_rel_abundance_colonization,SORBI_3001G385400,S1_67289392,0.000118463,in_gene,0,1,67289392
sorghum,am_rel_abundance_colonization,SORBI_3005G082300,S5_10902462,0.0001682319,upstream,129,5,10902462
sorghum,am_rel_abundance_colonization,SORBI_3001G316400,S1_60465256,0.0001875027,upstream,10726,1,60465256
sorghum,am_rel_abundance_colonization,SORBI_3004G338800,S4_67086997,0.0002052243,downstream,3136,4,67086997
sorghum,am_rel_abundance_colonization,SORBI_3003G057050,S3_5068638,0.0002125124,in_gene,0,3,5068638
sorghum,am_rel_abundance_colonization,SORBI_3010G004100,S10_370834,0.0002169194,downstream,6,10,370834
sorghum,am_rel_abundance_colonization,SORBI_3009G130100,S9_48342815,0.0002214527,downstream,7298,9,48342815
sorghum,am_rel_abundance_colonization,SORBI_3009G128700,S9_48211019,0.0002448722,downstream,276,9,48211019
sorghum,am_rel_abundance_colonization,SORBI_3007G119600,S7_51432504,0.000246909,upstream,4559,7,51432504
sorghum,am_rel_abundance_colonization,SORBI_3008G102050,S8_48552398,0.0002695622,downstream,20262,8,48552398
sorghum,am_rel_abundance_colonization,SORBI_3002G418000,S2_76563659,0.0002835593,downstream,4666,2,76563659
sorghum,am_rel_abundance_colonization,SORBI_3004G194400,S4_54587395,0.0002974329,upstream,1193,4,54587395
sorghum,am_rel_abundance_colonization,SORBI_3001G437600,S1_71604275,0.0003041029,downstream,3631,1,71604275
sorghum,am_rel_abundance_colonization,SORBI_3003G407600,S3_71531523,0.0003382014,upstream,2962,3,71531523
sorghum,am_rel_abundance_colonization,SORBI_3010G089700,S10_7794340,0.0003431843,downstream,4093,10,7794340
sorghum,am_rel_abundance_colonization,SORBI_3004G300100,S4_63895042,0.0003576712,in_gene,0,4,63895042
sorghum,am_rel_abundance_colonization,SORBI_3010G089700,S10_7794344,0.0003687314,downstream,4097,10,7794344
sorghum,am_rel_abundance_colonization,SORBI_3010G089700,S10_7794366,0.0003687314,downstream,4119,10,7794366
sorghum,am_rel_abundance_colonization,SORBI_3005G038900,S5_3554962,0.000391301,upstream,901,5,3554962
sorghum,am_rel_abundance_colonization,SORBI_3001G437801,S1_71622964,0.0003989221,in_gene,0,1,71622964
sorghum,am_rel_abundance_colonization,SORBI_3001G447000,S1_72400050,0.0004043196,in_gene,0,1,72400050
sorghum,am_rel_abundance_colonization,SORBI_3007G162700,S7_59681018,0.0004210136,upstream,1161,7,59681018
sorghum,am_rel_abundance_colonization,SORBI_3006G006200,S6_970345,0.0004355552,upstream,4794,6,970345
sorghum,am_rel_abundance_colonization,SORBI_3002G161600,S2_49919021,0.0004366567,in_gene,0,2,49919021
sorghum,am_rel_abundance_colonization,SORBI_3006G163100,S6_52076904,0.0004374504,upstream,4783,6,52076904
sorghum,am_rel_abundance_colonization,SORBI_3003G012750,S3_1139697,0.0004647115,upstream,272,3,1139697
sorghum,am_rel_abundance_colonization,SORBI_3001G280100,S1_54889990,0.0004824701,downstream,3785,1,54889990
sorghum,am_rel_abundance_colonization,SORBI_3005G038100,S5_3488973,0.0004952395,downstream,2304,5,3488973
sorghum,am_rel_abundance_colonization,SORBI_3004G196600,S4_54760343,0.0005253283,in_gene,0,4,54760343
sorghum,am_rel_abundance_colonization,SORBI_3004G313100,S4_64989276,0.0005357865,upstream,1292,4,64989276
sorghum,am_rel_abundance_colonization,SORBI_3009G065000,S9_6910421,0.0005645941,downstream,5196,9,6910421
sorghum,am_rel_abundance_colonization,SORBI_3005G044700,S5_4215365,0.0005668037,upstream,2009,5,4215365
sorghum,am_rel_abundance_colonization,SORBI_3007G013100,S7_1174588,0.0005698785,in_gene,0,7,1174588
sorghum,am_rel_abundance_colonization,SORBI_3003G370300,S3_68634435,0.0005970865,in_gene,0,3,68634435
sorghum,am_rel_abundance_colonization,SORBI_3001G050200,S1_3687035,0.0006162222,in_gene,0,1,3687035
sorghum,am_rel_abundance_colonization,SORBI_3001G253750,S1_27975392,0.0006183834,upstream,13416,1,27975392
sorghum,am_rel_abundance_colonization,SORBI_3001G271700,S1_52513353,0.0006226342,upstream,3834,1,52513353
sorghum,am_rel_abundance_colonization,SORBI_3009G067600,S9_7402479,0.0006247871,downstream,751,9,7402479
sorghum,am_rel_abundance_colonization,SORBI_3004G309400,S4_64656263,0.0006716266,in_gene,0,4,64656263
