Trait,Species,n_rows,n_genes,min_p
am_rel_abundance_colonization,arabidopsis,16194,5613,9.333814e-20
am_rel_abundance_colonization,barley,996,668,8.129726e-09
am_rel_abundance_colonization,maize,2259,1563,7.89898e-08
am_rel_abundance_colonization,rice,27044,6947,5.648023e-14
am_rel_abundance_colonization,sorghum,226,196,3.906228e-06
am_roots_colonized,arabidopsis,15652,5617,3.107334e-26
am_roots_colonized,barley,962,622,2.056806e-14
am_roots_colonized,maize,2240,1560,3.788953e-09
am_roots_colonized,rice,28563,5975,2.612729e-15
am_roots_colonized,sorghum,261,196,7.639181e-09
aridity_index,arabidopsis,16108,5663,1.081322e-29
aridity_index,barley,1168,807,8.848327e-08
aridity_index,maize,2299,1573,9.903407e-09
aridity_index,rice,29048,9209,1.605171e-08
aridity_index,sorghum,232,131,3.030783e-11
cec,arabidopsis,15950,5446,3.940358e-13
cec,barley,1224,792,1.017523e-08
cec,maize,2283,1632,9.486395e-08
cec,rice,29207,7987,8.92888e-12
cec,sorghum,306,249,5.052206e-13
pc1_worldclim,arabidopsis,16547,5699,2.160564e-16
pc1_worldclim,barley,1009,661,1.164632e-08
pc1_worldclim,maize,2307,1578,9.024944e-08
pc1_worldclim,rice,29705,8459,3.593375e-19
pc1_worldclim,sorghum,309,244,7.704157e-08
pc2_worldclim,arabidopsis,16776,5108,1.675015e-10
pc2_worldclim,barley,1173,819,4.9072e-08
pc2_worldclim,maize,2311,1603,5.876371e-08
pc2_worldclim,rice,29789,6859,1.252064e-08
pc2_worldclim,sorghum,304,240,3.969089e-06
pc3_worldclim,arabidopsis,16122,5597,8.006153e-13
pc3_worldclim,barley,1244,838,2.469879e-10
pc3_worldclim,maize,2310,1600,3.669403e-07
pc3_worldclim,rice,28672,8122,4.714337e-12
pc3_worldclim,sorghum,237,133,1.043258e-11
ph,arabidopsis,16207,5102,6.41913e-11
ph,barley,1193,797,2.285901e-10
ph,maize,2320,1586,2.917913e-07
ph,rice,29050,9635,3.163007e-15
ph,sorghum,261,226,3.398329e-09
soilN,arabidopsis,15588,5034,8.702079e-13
soilN,barley,1319,860,8.385715e-08
soilN,maize,2311,1789,9.75293412874882e-08
soilN,rice,29400,4851,4.412452e-50
soilN,sorghum,285,212,3.970537e-07
