Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
arabidopsis,soilN,AT2G15560,Chr2_6790599.0,8.702079e-13,downstream,498,2,6790599
arabidopsis,soilN,AT2G15530,Chr2_6777260.0,4.03693e-12,in_gene,0,2,6777260
arabidopsis,soilN,AT2G15570,Chr2_6790940.0,5.00075e-12,upstream,350,2,6790940
arabidopsis,soilN,AT2G15500,Chr2_6766190.0,1.895282e-11,downstream,1439,2,6766190
arabidopsis,soilN,AT2G15530,Chr2_6772151.0,1.895282e-11,upstream,738,2,6772151
arabidopsis,soilN,AT2G15530,Chr2_6776473.0,1.895282e-11,in_gene,0,2,6776473
arabidopsis,soilN,AT4G15560,Chr4_8883701.0,7.550951e-11,upstream,206,4,8883701
arabidopsis,soilN,AT4G21410,Chr4_11405588.0,1.414694e-10,downstream,532,4,11405588
arabidopsis,soilN,AT2G15500,Chr2_6767446.0,1.823265e-10,downstream,2695,2,6767446
arabidopsis,soilN,AT2G15530,Chr2_6775564.0,1.823265e-10,in_gene,0,2,6775564
arabidopsis,soilN,AT2G42010,Chr2_17534085.0,1.939691e-10,in_gene,0,2,17534085
arabidopsis,soilN,AT2G42010,Chr2_17536102.0,1.939691e-10,in_gene,0,2,17536102
arabidopsis,soilN,AT2G42030,Chr2_17540824.0,1.939691e-10,in_gene,0,2,17540824
arabidopsis,soilN,AT2G15500,Chr2_6768389.0,2.357327e-10,downstream,3638,2,6768389
arabidopsis,soilN,AT2G15530,Chr2_6777980.0,3.01353e-10,in_gene,0,2,6777980
arabidopsis,soilN,AT4G15560,Chr4_8883346.0,3.385461e-10,upstream,561,4,8883346
arabidopsis,soilN,AT2G15530,Chr2_6770624.0,4.914818e-10,upstream,2265,2,6770624
arabidopsis,soilN,AT2G15555,Chr2_6787204.0,5.830921e-10,downstream,228,2,6787204
arabidopsis,soilN,AT2G15500,Chr2_6767803.0,1.042994e-09,downstream,3052,2,6767803
arabidopsis,soilN,AT2G24280,Chr2_10336188.0,1.154076e-09,in_gene,0,2,10336188
arabidopsis,soilN,AT2G24280,Chr2_10336201.0,1.154076e-09,in_gene,0,2,10336201
arabidopsis,soilN,AT2G24280,Chr2_10336210.0,1.154076e-09,in_gene,0,2,10336210
arabidopsis,soilN,AT1G07650,Chr1_2359030.0,1.302219e-09,upstream,519,1,2359030
arabidopsis,soilN,AT2G42005,Chr2_17531555.0,1.39993e-09,in_gene,0,2,17531555
arabidopsis,soilN,AT2G15560,Chr2_6787742.0,1.444739e-09,upstream,127,2,6787742
arabidopsis,soilN,AT3G43990,Chr3_15790219.0,1.52008e-09,downstream,5041,3,15790219
arabidopsis,soilN,AT3G44261,Chr3_15957222.0,2.404703e-09,downstream,2555,3,15957222
arabidopsis,soilN,AT5G28050,Chr5_10048087.0,2.771626e-09,downstream,2112,5,10048087
arabidopsis,soilN,AT1G07650,Chr1_2359050.0,3.161809e-09,upstream,499,1,2359050
arabidopsis,soilN,AT2G13820,Chr2_5779541.0,3.539558e-09,downstream,3252,2,5779541
arabidopsis,soilN,AT2G15570,Chr2_6795109.0,4.778933e-09,downstream,2176,2,6795109
arabidopsis,soilN,AT2G15570,Chr2_6795089.0,4.983102e-09,downstream,2156,2,6795089
arabidopsis,soilN,AT2G13690,Chr2_5714325.0,5.00108e-09,downstream,5368,2,5714325
arabidopsis,soilN,AT4G15560,Chr4_8887781.0,5.472147e-09,downstream,216,4,8887781
arabidopsis,soilN,AT4G15563,Chr4_8889395.0,5.472147e-09,upstream,1484,4,8889395
arabidopsis,soilN,AT4G15563,Chr4_8889837.0,5.472147e-09,upstream,1042,4,8889837
arabidopsis,soilN,AT4G15563,Chr4_8890894.0,5.472147e-09,in_gene,0,4,8890894
arabidopsis,soilN,AT3G50280,Chr3_18638963.0,6.091028e-09,in_gene,0,3,18638963
arabidopsis,soilN,AT4G15570,Chr4_8895677.0,7.774505e-09,in_gene,0,4,8895677
arabidopsis,soilN,AT1G07650,Chr1_2359287.0,7.996848e-09,upstream,262,1,2359287
arabidopsis,soilN,AT4G04900,Chr4_2486439.0,1.00233e-08,in_gene,0,4,2486439
arabidopsis,soilN,AT4G04910,Chr4_2492681.0,1.00233e-08,in_gene,0,4,2492681
arabidopsis,soilN,AT2G13840,Chr2_5794927.0,1.022163e-08,downstream,3801,2,5794927
arabidopsis,soilN,AT2G13840,Chr2_5788549.0,1.022163e-08,upstream,3,2,5788549
arabidopsis,soilN,AT2G13840,Chr2_5788473.0,1.022163e-08,upstream,79,2,5788473
arabidopsis,soilN,AT2G13840,Chr2_5787351.0,1.022163e-08,upstream,1201,2,5787351
arabidopsis,soilN,AT2G13840,Chr2_5786680.0,1.022163e-08,upstream,1872,2,5786680
arabidopsis,soilN,AT2G13840,Chr2_5785856.0,1.022163e-08,upstream,2696,2,5785856
arabidopsis,soilN,AT2G13820,Chr2_5779312.0,1.022163e-08,downstream,3023,2,5779312
arabidopsis,soilN,AT2G13820,Chr2_5781984.0,1.022163e-08,downstream,5695,2,5781984
arabidopsis,soilN,AT2G13820,Chr2_5781591.0,1.022163e-08,downstream,5302,2,5781591
arabidopsis,soilN,AT2G13820,Chr2_5781130.0,1.022163e-08,downstream,4841,2,5781130
arabidopsis,soilN,AT2G13820,Chr2_5777148.0,1.022163e-08,downstream,859,2,5777148
arabidopsis,soilN,AT2G13820,Chr2_5776774.0,1.022163e-08,downstream,485,2,5776774
arabidopsis,soilN,AT2G13840,Chr2_5783937.0,1.022163e-08,upstream,4615,2,5783937
arabidopsis,soilN,AT2G13840,Chr2_5792201.0,1.198878e-08,downstream,1075,2,5792201
arabidopsis,soilN,AT2G15570,Chr2_6794729.0,1.314487e-08,downstream,1796,2,6794729
arabidopsis,soilN,AT1G04330,Chr1_1162312.0,1.349047e-08,downstream,330,1,1162312
arabidopsis,soilN,AT2G42440,Chr2_17670870.0,1.519382e-08,downstream,1053,2,17670870
arabidopsis,soilN,AT4G15640,Chr4_8920626.0,1.626404e-08,in_gene,0,4,8920626
arabidopsis,soilN,AT3G31051,Chr3_12658939.0,1.800371e-08,upstream,8288,3,12658939
arabidopsis,soilN,AT3G42660,Chr3_14743092.0,1.886248e-08,upstream,8188,3,14743092
arabidopsis,soilN,AT3G42660,Chr3_14743999.0,1.886248e-08,upstream,7281,3,14743999
arabidopsis,soilN,AT4G15530,Chr4_8870017.0,2.099036e-08,in_gene,0,4,8870017
