Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
sorghum,am_roots_colonized,SORBI_3002G180600,S2_56175138,7.639181e-09,in_gene,0,2,56175138
sorghum,am_roots_colonized,SORBI_3002G180600,S2_56175144,1.183246e-08,in_gene,0,2,56175144
sorghum,am_roots_colonized,SORBI_3002G178400,S2_55972554,7.868664e-08,upstream,7743,2,55972554
sorghum,am_roots_colonized,SORBI_3002G182800,S2_56500360,1.847098e-07,upstream,14182,2,56500360
sorghum,am_roots_colonized,SORBI_3006G232100,S6_57474964,1.309287e-06,in_gene,0,6,57474964
sorghum,am_roots_colonized,SORBI_3003G432000,S3_73444032,2.393856e-06,in_gene,0,3,73444032
sorghum,am_roots_colonized,SORBI_3009G045400,S9_4339751,1.703801e-05,upstream,7709,9,4339751
sorghum,am_roots_colonized,SORBI_3002G330500,S2_69914983,2.521015e-05,in_gene,0,2,69914983
sorghum,am_roots_colonized,SORBI_3002G175500,S2_55400537,2.974177e-05,in_gene,0,2,55400537
sorghum,am_roots_colonized,SORBI_3009G045400,S9_4334245,3.072956e-05,upstream,13215,9,4334245
sorghum,am_roots_colonized,SORBI_3001G134500,S1_10615031,4.337031e-05,in_gene,0,1,10615031
sorghum,am_roots_colonized,SORBI_3003G143300,S3_14220649,4.475139e-05,downstream,582,3,14220649
sorghum,am_roots_colonized,SORBI_3009G045400,S9_4342893,4.916431e-05,upstream,4567,9,4342893
sorghum,am_roots_colonized,SORBI_3004G151000,S4_47853102,5.610818e-05,downstream,6125,4,47853102
sorghum,am_roots_colonized,SORBI_3002G135200,S2_20151045,6.950607e-05,upstream,17940,2,20151045
sorghum,am_roots_colonized,SORBI_3002G224200,S2_61557344,7.083784e-05,upstream,1544,2,61557344
sorghum,am_roots_colonized,SORBI_3001G284450,S1_55709096,7.297563e-05,downstream,2780,1,55709096
sorghum,am_roots_colonized,SORBI_3002G224900,S2_61662320,7.539789e-05,downstream,7314,2,61662320
sorghum,am_roots_colonized,SORBI_3003G374200,S3_68937415,8.365082e-05,upstream,1874,3,68937415
sorghum,am_roots_colonized,SORBI_3009G045400,S9_4341589,8.546227e-05,upstream,5871,9,4341589
sorghum,am_roots_colonized,SORBI_3003G396500,S3_70653297,8.742511e-05,downstream,2577,3,70653297
sorghum,am_roots_colonized,SORBI_3002G073900,S2_7676552,9.123025e-05,in_gene,0,2,7676552
sorghum,am_roots_colonized,SORBI_3004G255200,S4_60148501,9.56812e-05,in_gene,0,4,60148501
sorghum,am_roots_colonized,SORBI_3009G081400,S9_11596730,0.0001014861,upstream,3762,9,11596730
sorghum,am_roots_colonized,SORBI_3002G174900,S2_55361828,0.0001088649,downstream,3643,2,55361828
sorghum,am_roots_colonized,SORBI_3006G028400,S6_5888994,0.0001197975,upstream,1439,6,5888994
sorghum,am_roots_colonized,SORBI_3009G045400,S9_4334250,0.0001249994,upstream,13210,9,4334250
sorghum,am_roots_colonized,SORBI_3006G211400,S6_56082575,0.0001285229,downstream,362,6,56082575
sorghum,am_roots_colonized,SORBI_3009G134900,S9_48982316,0.0001353206,downstream,4947,9,48982316
sorghum,am_roots_colonized,SORBI_3004G255200,S4_60148492,0.0001384933,in_gene,0,4,60148492
sorghum,am_roots_colonized,SORBI_3009G061601,S9_6414097,0.0001534351,in_gene,0,9,6414097
sorghum,am_roots_colonized,SORBI_3002G329800,S2_69868865,0.0001680187,in_gene,0,2,69868865
sorghum,am_roots_colonized,SORBI_3004G255200,S4_60148503,0.0001763509,in_gene,0,4,60148503
sorghum,am_roots_colonized,SORBI_3007G040500,S7_4027367,0.0001844607,upstream,3992,7,4027367
sorghum,am_roots_colonized,SORBI_3002G224200,S2_61563137,0.0002065658,downstream,2627,2,61563137
sorghum,am_roots_colonized,SORBI_3002G224200,S2_61557413,0.0002206177,upstream,1475,2,61557413
sorghum,am_roots_colonized,SORBI_3002G135200,S2_20150028,0.000241402,upstream,18957,2,20150028
sorghum,am_roots_colonized,SORBI_3006G171050,S6_52757245,0.0002526284,downstream,2024,6,52757245
sorghum,am_roots_colonized,SORBI_3010G105800,S10_10108449,0.0002657462,upstream,22742,10,10108449
sorghum,am_roots_colonized,SORBI_3002G137000,S2_20844579,0.0002783375,upstream,8421,2,20844579
sorghum,am_roots_colonized,SORBI_3002G174900,S2_55359795,0.000286551,downstream,1610,2,55359795
sorghum,am_roots_colonized,SORBI_3006G232100,S6_57474884,0.0002873649,in_gene,0,6,57474884
sorghum,am_roots_colonized,SORBI_3003G144100,S3_14597724,0.000296704,downstream,17277,3,14597724
sorghum,am_roots_colonized,SORBI_3003G205100,S3_53500846,0.0002974376,downstream,122,3,53500846
sorghum,am_roots_colonized,SORBI_3002G139750,S2_22182968,0.0003107981,upstream,19700,2,22182968
sorghum,am_roots_colonized,SORBI_3003G240800,S3_57988724,0.0003164688,downstream,7189,3,57988724
sorghum,am_roots_colonized,SORBI_3001G134900,S1_10647770,0.000335157,in_gene,0,1,10647770
sorghum,am_roots_colonized,SORBI_3003G374200,S3_68937365,0.0003554905,upstream,1924,3,68937365
sorghum,am_roots_colonized,SORBI_3009G063450,S9_6759267,0.0003647514,upstream,2648,9,6759267
sorghum,am_roots_colonized,SORBI_3002G280001,S2_66161507,0.0004140822,in_gene,0,2,66161507
sorghum,am_roots_colonized,SORBI_3001G286500,S1_56129945,0.0004258307,upstream,16434,1,56129945
sorghum,am_roots_colonized,SORBI_3002G329500,S2_69852430,0.0004348479,downstream,276,2,69852430
sorghum,am_roots_colonized,SORBI_3002G319400,S2_69127383,0.0004725848,downstream,714,2,69127383
sorghum,am_roots_colonized,SORBI_3003G416700,S3_72290795,0.0004741868,in_gene,0,3,72290795
sorghum,am_roots_colonized,SORBI_3003G144000,S3_14458386,0.0004992911,downstream,3630,3,14458386
sorghum,am_roots_colonized,SORBI_3001G136150,S1_10764520,0.000553523,downstream,1240,1,10764520
sorghum,am_roots_colonized,SORBI_3001G136150,S1_10764521,0.000553523,downstream,1241,1,10764521
sorghum,am_roots_colonized,SORBI_3003G209600,S3_54149956,0.0005584063,downstream,11793,3,54149956
sorghum,am_roots_colonized,SORBI_3003G171200,S3_36111403,0.0005724462,in_gene,0,3,36111403
