Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
barley,soilN,HORVU.MOREX.r3.5HG0507330,"chr5H:519045480\G,\A",8.385715e-08,upstream,4644,chr5H,519045480
barley,soilN,HORVU.MOREX.r3.7HG0653820,"chr7H:41948027\T,\C",1.558506e-07,upstream,23473,chr7H,41948027
barley,soilN,HORVU.MOREX.r3.7HG0653820,"chr7H:41947980\C,\A",1.010303e-06,upstream,23520,chr7H,41947980
barley,soilN,HORVU.MOREX.r3.7HG0653820,"chr7H:41948032\G,\A",1.010303e-06,upstream,23468,chr7H,41948032
barley,soilN,HORVU.MOREX.r3.1HG0092920,"chr1H:510087740\G,\C",1.318199e-06,downstream,2900,chr1H,510087740
barley,soilN,HORVU.MOREX.r3.7HG0653820,"chr7H:41947963\C,\G",1.318797e-06,upstream,23537,chr7H,41947963
barley,soilN,HORVU.MOREX.r3.3HG0221850,"chr3H:7038723\C,\T",1.894467e-06,downstream,8495,chr3H,7038723
barley,soilN,HORVU.MOREX.r3.5HG0507330,"chr5H:519051921\T,\C",1.916866e-06,downstream,1068,chr5H,519051921
barley,soilN,HORVU.MOREX.r3.2HG0195560,"chr2H:613224018\C,\T",2.031738e-06,upstream,3401,chr2H,613224018
barley,soilN,HORVU.MOREX.r3.5HG0502310,"chr5H:509076914\T,\C",4.539672e-06,downstream,3549,chr5H,509076914
barley,soilN,HORVU.MOREX.r3.4HG0349470,"chr4H:92873168\C,\A",4.977099e-06,downstream,10876,chr4H,92873168
barley,soilN,HORVU.MOREX.r3.6HG0623790,"chr6H:537420596\G,\A",4.978258e-06,in_gene,0,chr6H,537420596
barley,soilN,HORVU.MOREX.r3.4HG0335900,"chr4H:13291334\G,\A",5.230934e-06,upstream,2947,chr4H,13291334
barley,soilN,HORVU.MOREX.r3.4HG0349470,"chr4H:92873215\G,\T",5.885465e-06,downstream,10923,chr4H,92873215
barley,soilN,HORVU.MOREX.r3.4HG0335810,"chr4H:13050722\G,\A",6.070097e-06,in_gene,0,chr4H,13050722
barley,soilN,HORVU.MOREX.r3.3HG0309130,"chr3H:569431620\A,\G",7.025857e-06,upstream,271,chr3H,569431620
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867278\C,\T",7.157395e-06,in_gene,0,chr5H,562867278
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867279\A,\G",7.157395e-06,in_gene,0,chr5H,562867279
barley,soilN,HORVU.MOREX.r3.5HG0526140,"chr5H:562867306\C,\G",7.157395e-06,in_gene,0,chr5H,562867306
barley,soilN,HORVU.MOREX.r3.5HG0502310,"chr5H:509076839\C,\T",8.012956e-06,downstream,3474,chr5H,509076839
barley,soilN,HORVU.MOREX.r3.7HG0650760,"chr7H:31270916\A,\C",9.992556e-06,downstream,7085,chr7H,31270916
barley,soilN,HORVU.MOREX.r3.5HG0426160,"chr5H:14470303\C,\T",1.017828e-05,in_gene,0,chr5H,14470303
barley,soilN,HORVU.MOREX.r3.2HG0195560,"chr2H:613224002\C,\A",1.074655e-05,upstream,3417,chr2H,613224002
barley,soilN,HORVU.MOREX.r3.1HG0005770,"chr1H:11847837\C,\T",1.075509e-05,in_gene,0,chr1H,11847837
barley,soilN,HORVU.MOREX.r3.4HG0414080,"chr4H:598569856\A,\C",1.211883e-05,upstream,5519,chr4H,598569856
barley,soilN,HORVU.MOREX.r3.7HG0745580,"chr7H:615989796\G,\A",1.240478e-05,upstream,1706,chr7H,615989796
barley,soilN,HORVU.MOREX.r3.5HG0528290,"chr5H:567592557\A,\G",1.302919e-05,upstream,703,chr5H,567592557
barley,soilN,HORVU.MOREX.r3.4HG0335900,"chr4H:13291332\G,\A",1.442337e-05,upstream,2949,chr4H,13291332
