Species,Trait,Gene,SNP,Pvalue,Relation,Distance_bp,Chr,Pos
arabidopsis,aridity_index,AT4G09760,Chr4_6149715.0,1.081322e-29,in_gene,0,4,6149715
arabidopsis,aridity_index,AT4G09760,Chr4_6152310.0,1.081322e-29,downstream,911,4,6152310
arabidopsis,aridity_index,AT4G11170,Chr4_6811448.0,1.187589e-23,in_gene,0,4,6811448
arabidopsis,aridity_index,AT4G11150,Chr4_6800240.0,2.719141e-23,in_gene,0,4,6800240
arabidopsis,aridity_index,AT4G11160,Chr4_6803203.0,2.719141e-23,upstream,391,4,6803203
arabidopsis,aridity_index,AT4G11160,Chr4_6803409.0,2.719141e-23,upstream,185,4,6803409
arabidopsis,aridity_index,AT4G11160,Chr4_6803542.0,2.719141e-23,upstream,52,4,6803542
arabidopsis,aridity_index,AT4G11160,Chr4_6804034.0,2.719141e-23,in_gene,0,4,6804034
arabidopsis,aridity_index,AT4G11170,Chr4_6814521.0,2.719141e-23,in_gene,0,4,6814521
arabidopsis,aridity_index,AT4G11180,Chr4_6822557.0,4.5639920000000006e-23,downstream,1810,4,6822557
arabidopsis,aridity_index,AT4G11211,Chr4_6835034.0,4.0906099999999997e-22,upstream,1072,4,6835034
arabidopsis,aridity_index,AT4G11210,Chr4_6831826.0,6.340281e-20,upstream,865,4,6831826
arabidopsis,aridity_index,AT4G11000,Chr4_6730374.0,9.404455e-20,upstream,646,4,6730374
arabidopsis,aridity_index,AT4G11140,Chr4_6791755.0,2.879775e-19,upstream,3021,4,6791755
arabidopsis,aridity_index,AT4G11130,Chr4_6789240.0,2.879775e-19,downstream,4800,4,6789240
arabidopsis,aridity_index,AT4G11130,Chr4_6787746.0,2.879775e-19,downstream,3306,4,6787746
arabidopsis,aridity_index,AT4G11090,Chr4_6766831.0,2.879775e-19,downstream,563,4,6766831
arabidopsis,aridity_index,AT4G11110,Chr4_6770956.0,2.879775e-19,upstream,649,4,6770956
arabidopsis,aridity_index,AT4G11090,Chr4_6764777.0,2.879775e-19,in_gene,0,4,6764777
arabidopsis,aridity_index,AT4G11120,Chr4_6780243.0,2.879775e-19,downstream,77,4,6780243
arabidopsis,aridity_index,AT4G11190,Chr4_6827371.0,3.92352e-19,in_gene,0,4,6827371
arabidopsis,aridity_index,AT4G09430,Chr4_5970524.0,2.619742e-17,upstream,408,4,5970524
arabidopsis,aridity_index,AT1G77710,Chr1_29209043.0,4.398021e-17,downstream,898,1,29209043
arabidopsis,aridity_index,AT4G11130,Chr4_6786018.0,1.104507e-16,downstream,1578,4,6786018
arabidopsis,aridity_index,AT4G11090,Chr4_6764108.0,1.190447e-16,upstream,429,4,6764108
arabidopsis,aridity_index,AT4G10925,Chr4_6701345.0,1.657137e-16,upstream,1380,4,6701345
arabidopsis,aridity_index,AT4G10925,Chr4_6701770.0,1.657137e-16,upstream,955,4,6701770
arabidopsis,aridity_index,AT4G36950,Chr4_17423676.0,1.76052e-16,in_gene,0,4,17423676
arabidopsis,aridity_index,AT4G11000,Chr4_6727088.0,3.583566e-16,upstream,3932,4,6727088
arabidopsis,aridity_index,AT4G11213,Chr4_6837475.0,4.270993e-16,upstream,85,4,6837475
arabidopsis,aridity_index,AT4G10970,Chr4_6719365.0,2.422724e-15,in_gene,0,4,6719365
arabidopsis,aridity_index,AT4G15560,Chr4_8883346.0,6.881961e-15,upstream,561,4,8883346
arabidopsis,aridity_index,AT4G16860,Chr4_9492228.0,8.988207e-15,in_gene,0,4,9492228
arabidopsis,aridity_index,AT4G09430,Chr4_5970572.0,9.72614e-15,upstream,360,4,5970572
arabidopsis,aridity_index,AT5G64810,Chr5_25909923.0,1.023109e-14,downstream,120,5,25909923
arabidopsis,aridity_index,AT5G64840,Chr5_25918604.0,1.023109e-14,in_gene,0,5,25918604
arabidopsis,aridity_index,AT4G14746,Chr4_8465025.0,1.09913e-14,downstream,699,4,8465025
arabidopsis,aridity_index,AT5G64850,Chr5_25921802.0,1.189992e-14,in_gene,0,5,25921802
arabidopsis,aridity_index,AT4G10210,Chr4_6360878.0,1.531741e-14,downstream,501,4,6360878
arabidopsis,aridity_index,AT4G11090,Chr4_6766807.0,1.986887e-14,downstream,539,4,6766807
arabidopsis,aridity_index,AT3G50710,Chr3_18844691.0,2.357829e-14,upstream,508,3,18844691
arabidopsis,aridity_index,AT5G64850,Chr5_25921226.0,2.394418e-14,upstream,183,5,25921226
arabidopsis,aridity_index,AT4G36920,Chr4_17400081.0,2.601622e-14,upstream,529,4,17400081
arabidopsis,aridity_index,AT4G36920,Chr4_17400083.0,2.601622e-14,upstream,527,4,17400083
arabidopsis,aridity_index,AT4G36925,Chr4_17405014.0,2.601622e-14,downstream,564,4,17405014
arabidopsis,aridity_index,AT4G11210,Chr4_6831554.0,3.550659e-14,upstream,1137,4,6831554
arabidopsis,aridity_index,AT4G11110,Chr4_6773676.0,5.484736e-14,in_gene,0,4,6773676
arabidopsis,aridity_index,AT4G11140,Chr4_6789913.0,5.484736e-14,upstream,4863,4,6789913
arabidopsis,aridity_index,AT4G11140,Chr4_6794759.0,6.802662e-14,upstream,17,4,6794759
arabidopsis,aridity_index,AT4G00160,Chr4_66520.0,8.936115e-14,downstream,1041,4,66520
arabidopsis,aridity_index,AT4G11000,Chr4_6727932.0,1.153131e-13,upstream,3088,4,6727932
arabidopsis,aridity_index,AT4G11010,Chr4_6733506.0,1.153131e-13,in_gene,0,4,6733506
arabidopsis,aridity_index,AT5G64840,Chr5_25918949.0,1.209795e-13,in_gene,0,5,25918949
arabidopsis,aridity_index,AT4G15560,Chr4_8883701.0,1.500933e-13,upstream,206,4,8883701
arabidopsis,aridity_index,AT4G15563,Chr4_8891807.0,1.530175e-13,in_gene,0,4,8891807
arabidopsis,aridity_index,AT4G10850,Chr4_6671140.0,2.039457e-13,upstream,3858,4,6671140
arabidopsis,aridity_index,AT3G60590,Chr3_22396679.0,2.232127e-13,upstream,1549,3,22396679
arabidopsis,aridity_index,AT4G09430,Chr4_5977437.0,2.876061e-13,downstream,2062,4,5977437
arabidopsis,aridity_index,AT4G11030,Chr4_6740988.0,3.232566e-13,in_gene,0,4,6740988
arabidopsis,aridity_index,AT1G77710,Chr1_29208571.0,3.395145e-13,downstream,426,1,29208571
arabidopsis,aridity_index,AT4G11050,Chr4_6751986.0,3.51416e-13,downstream,675,4,6751986
arabidopsis,aridity_index,AT4G16860,Chr4_9492218.0,3.706444e-13,in_gene,0,4,9492218
arabidopsis,aridity_index,AT4G11385,Chr4_6927244.0,4.798306e-13,in_gene,0,4,6927244
arabidopsis,aridity_index,AT4G15550,Chr4_8881357.0,5.512492e-13,downstream,2030,4,8881357
arabidopsis,aridity_index,AT4G15560,Chr4_8887781.0,6.045244e-13,downstream,216,4,8887781
arabidopsis,aridity_index,AT4G15563,Chr4_8889395.0,6.045244e-13,upstream,1484,4,8889395
arabidopsis,aridity_index,AT4G15563,Chr4_8889837.0,6.045244e-13,upstream,1042,4,8889837
