,maize_ph,maize_cec
SEEDGWAS10:MRG:4:250054453,61,246
SEEDGWAS1000:MRG:4:250067677,72,202
SEEDGWAS1001:MRG:4:250067678,76,209
SEEDGWAS1003:MRG:4:250067679,73,314
SEEDGWAS1004:MRG:4:250067680,NA,NA
SEEDGWAS1006:MRG:4:250067682,57,158
SEEDGWAS1007:MRG:4:250067684,60,187
SEEDGWAS1008:MRG:4:250067716,53,199
SEEDGWAS1009:MRG:4:250067717,71,298
SEEDGWAS101:MRG:4:250054517,65,201
SEEDGWAS1011:MRG:4:250067718,NA,NA
SEEDGWAS1012:MRG:4:250067719,NA,NA
SEEDGWAS1014:MRG:4:250067720,74,216
SEEDGWAS1015:MRG:4:250067721,59,174
SEEDGWAS1019:MRG:4:250067723,66,222
SEEDGWAS1020:MRG:4:250067724,65,206
SEEDGWAS1022:MRG:4:250067725,65,208
SEEDGWAS1023:MRG:4:250067726,62,178
SEEDGWAS1024:MRG:4:250067727,65,174
SEEDGWAS1025:MRG:4:250067728,65,206
SEEDGWAS1026:MRG:4:250067729,69,236
SEEDGWAS1027:MRG:4:250067730,63,243
SEEDGWAS1029:MRG:4:250067732,67,175
SEEDGWAS1030:MRG:4:250067733,73,226
SEEDGWAS1031:MRG:4:250067734,67,175
SEEDGWAS1032:MRG:4:250067735,71,298
SEEDGWAS1033:MRG:4:250067736,68,215
SEEDGWAS1034:MRG:4:250067737,54,277
SEEDGWAS1035:MRG:4:250067738,78,197
SEEDGWAS1036:MRG:4:250067739,56,206
SEEDGWAS1037:MRG:4:250067740,66,215
SEEDGWAS1039:MRG:4:250067741,49,193
SEEDGWAS104:MRG:4:250054519,71,275
SEEDGWAS1040:MRG:4:250067742,59,255
SEEDGWAS1041:MRG:4:250067743,62,180
SEEDGWAS1042:MRG:4:250067744,63,180
SEEDGWAS1043:MRG:4:250067745,NA,NA
SEEDGWAS1044:MRG:4:250067746,NA,NA
SEEDGWAS1045:MRG:4:250067747,55,228
SEEDGWAS1048:MRG:4:250067748,70,259
SEEDGWAS1049:MRG:4:250067749,70,259
SEEDGWAS105:MRG:4:250054520,77,321
SEEDGWAS1050:MRG:4:250067750,61,225
SEEDGWAS1051:MRG:4:250067752,61,225
SEEDGWAS106:MRG:4:250054521,57,242
SEEDGWAS107:MRG:4:250054522,60,193
SEEDGWAS1085:MRG:4:250067782,63,238
SEEDGWAS1087:MRG:4:250067785,73,214
SEEDGWAS1088:MRG:4:250067786,78,203
SEEDGWAS1091:MRG:4:250067789,83,181
SEEDGWAS1095:MRG:4:250067792,68,242
SEEDGWAS1096:MRG:4:250067793,72,231
SEEDGWAS1097:MRG:4:250067794,77,220
SEEDGWAS1099:MRG:4:250067796,53,99
SEEDGWAS1100:MRG:4:250067797,53,197
SEEDGWAS1101:MRG:4:250067798,53,154
SEEDGWAS1102:MRG:4:250067799,52,153
SEEDGWAS1103:MRG:4:250067800,52,118
SEEDGWAS1104:MRG:4:250067802,54,141
SEEDGWAS1105:MRG:4:250067803,64,271
SEEDGWAS1106:MRG:4:250067804,58,210
SEEDGWAS1107:MRG:4:250067805,54,205
SEEDGWAS1108:MRG:4:250067806,64,196
SEEDGWAS1109:MRG:4:250067807,54,205
SEEDGWAS1110:MRG:4:250067808,58,254
SEEDGWAS1111:MRG:4:250067809,54,210
SEEDGWAS1114:MRG:4:250067811,60,236
SEEDGWAS1115:MRG:4:250070129,55,253
SEEDGWAS1118:MRG:4:250070132,NA,NA
SEEDGWAS112:MRG:4:250054525,79,171
SEEDGWAS1120:MRG:4:250070133,64,286
SEEDGWAS1121:MRG:4:250070134,55,258
SEEDGWAS1122:MRG:4:250070135,60,243
SEEDGWAS1124:MRG:4:250070137,62,158
SEEDGWAS1125:MRG:4:250070138,62,158
SEEDGWAS1126:MRG:4:250070139,62,257
SEEDGWAS1128:MRG:4:250070140,67,218
SEEDGWAS113:MRG:4:250054526,NA,NA
SEEDGWAS1130:MRG:4:250070141,62,173
