GeneID	GeneName	Family_Subfamily	Protein_class	GO_MF	GO_BP	GO_CC
Zm00001eb053220	Protein NRT1_ PTR FAMILY 2.9	OS03G0687000 PROTEIN (PTHR11654:SF589)	transporter(PC00227)			
Zm00001eb110070	Transmembrane emp24 domain-containing protein 10	OS07G0632700 PROTEIN (PTHR22811:SF129)	vesicle coat protein(PC00235)		intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);Golgi organization(GO:0007030)	endoplasmic reticulum(GO:0005783);endoplasmic reticulum-Golgi intermediate compartment(GO:0005793);Golgi apparatus(GO:0005794);membrane(GO:0016020);COPII-coated ER to Golgi transport vesicle(GO:0030134)
Zm00001eb190570	Uncharacterized protein	CALCIUM-DEPENDENT PROTEIN KINASE 6 (PTHR24349:SF519)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb164580	Putative DUF231 domain containing family protein	DUF231 DOMAIN CONTAINING FAMILY PROTEIN-RELATED (PTHR32285:SF192)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb395060	Peroxidase	PEROXIDASE (PTHR31388:SF260)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb390710	Peroxidase	PEROXIDASE (PTHR31235:SF356)	peroxidase(PC00180)			
Zm00001eb117300	Calcium-dependent protein kinase 20	CALCIUM-DEPENDENT PROTEIN KINASE 20 (PTHR24349:SF360)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb105040	Trehalose 6-phosphate phosphatase	TREHALOSE-PHOSPHATE PHOSPHATASE 10-RELATED (PTHR43768:SF54)	phosphatase(PC00181)	trehalose-phosphatase activity(GO:0004805);hydrolase activity(GO:0016787)	trehalose biosynthetic process(GO:0005992)	
Zm00001eb113170	Carboxypeptidase	CARBOXYPEPTIDASE (PTHR11802:SF281)	serine protease(PC00203)			
Zm00001eb384860	Ras-related protein RABA1d	RAS-RELATED PROTEIN RABA1D (PTHR24073:SF1066)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	intracellular protein transport(GO:0006886)	endomembrane system(GO:0012505)
