chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
1,Chr1_6870784.0,6870784,1.675015e-10,0,,,,
5,Chr5_17128702.0,17128702,4.823412e-10,1,AT5G42710,AT5G42710,AT5G42710,0.0
3,Chr3_18844691.0,18844691,2.107803e-09,0,,,,
5,Chr5_23166718.0,23166718,4.682043e-09,0,,,,
1,Chr1_12137434.0,12137434,8.236601e-09,0,,,,
5,Chr5_26415304.0,26415304,9.111679e-09,0,,,,
5,Chr5_26415313.0,26415313,9.111679e-09,0,,,,
5,Chr5_26415385.0,26415385,9.111679e-09,0,,,,
5,Chr5_13101669.0,13101669,1.377831e-08,0,,,,
5,Chr5_13101847.0,13101847,1.377831e-08,0,,,,
5,Chr5_13102001.0,13102001,1.377831e-08,0,,,,
5,Chr5_13102119.0,13102119,1.377831e-08,0,,,,
5,Chr5_13102166.0,13102166,1.377831e-08,0,,,,
2,Chr2_9778402.0,9778402,1.71741e-08,1,AT2G22970,AT2G22970,AT2G22970,0.0
5,Chr5_12256103.0,12256103,1.971039e-08,0,,,,
2,Chr2_9806925.0,9806925,2.19627e-08,0,,,,
2,Chr2_6777260.0,6777260,2.338586e-08,1,AT2G15530,AT2G15530,AT2G15530,0.0
2,Chr2_9843479.0,9843479,3.013378e-08,0,,,,
2,Chr2_9843583.0,9843583,3.013378e-08,0,,,,
2,Chr2_15591935.0,15591935,3.052634e-08,1,AT2G37100,AT2G37100,AT2G37100,0.0
2,Chr2_18644128.0,18644128,3.052634e-08,1,AT2G45220,AT2G45220,AT2G45220,0.0
5,Chr5_26415501.0,26415501,3.479733e-08,0,,,,
2,Chr2_2396239.0,2396239,3.703864e-08,0,,,,
3,Chr3_12412254.0,12412254,3.730336e-08,0,,,,
2,Chr2_9778882.0,9778882,3.932504e-08,1,AT2G22980,AT2G22980,AT2G22980,0.0
2,Chr2_9809835.0,9809835,4.391686e-08,0,,,,
2,Chr2_9810045.0,9810045,4.391686e-08,0,,,,
2,Chr2_9810648.0,9810648,4.391686e-08,0,,,,
2,Chr2_9802865.0,9802865,5.110526e-08,0,,,,
2,Chr2_9803062.0,9803062,5.110526e-08,0,,,,
3,Chr3_18844682.0,18844682,5.433981e-08,0,,,,
5,Chr5_12158106.0,12158106,6.137429e-08,0,,,,
3,Chr3_3993525.0,3993525,6.138188e-08,1,AT3G12580,AT3G12580,AT3G12580,0.0
4,Chr4_17465511.0,17465511,8.828447e-08,1,AT4G37070,AT4G37070,AT4G37070,0.0
2,Chr2_9773821.0,9773821,9.046096e-08,0,,,,
2,Chr2_9773984.0,9773984,9.046096e-08,0,,,,
2,Chr2_9774002.0,9774002,9.046096e-08,0,,,,
2,Chr2_9774575.0,9774575,9.046096e-08,0,,,,
2,Chr2_9775101.0,9775101,9.046096e-08,1,AT2G22970,AT2G22970,AT2G22970,0.0
3,Chr3_11193738.0,11193738,1.022286e-07,1,AT3G29250,AT3G29250,AT3G29250,0.0
3,Chr3_11197260.0,11197260,1.022286e-07,0,,,,
3,Chr3_11206788.0,11206788,1.022286e-07,0,,,,
5,Chr5_12426223.0,12426223,1.057601e-07,0,,,,
2,Chr2_9038733.0,9038733,1.250088e-07,0,,,,
2,Chr2_9040781.0,9040781,1.250088e-07,0,,,,
2,Chr2_9045174.0,9045174,1.250088e-07,1,AT2G21080,AT2G21080,AT2G21080,0.0
2,Chr2_9783594.0,9783594,1.331386e-07,0,,,,
2,Chr2_9784156.0,9784156,1.331386e-07,0,,,,
5,Chr5_26415342.0,26415342,1.4188e-07,0,,,,
1,Chr1_23536320.0,23536320,1.423909e-07,1,AT1G63460,AT1G63460,AT1G63460,0.0
1,Chr1_23537891.0,23537891,1.423909e-07,1,AT1G63470,AT1G63470,AT1G63470,0.0
1,Chr1_23538127.0,23538127,1.423909e-07,1,AT1G63470,AT1G63470,AT1G63470,0.0
1,Chr1_23538314.0,23538314,1.423909e-07,1,AT1G63470,AT1G63470,AT1G63470,0.0
1,Chr1_23539262.0,23539262,1.423909e-07,0,,,,
1,Chr1_23546178.0,23546178,1.423909e-07,1,AT1G63490,AT1G63490,AT1G63490,0.0
2,Chr2_9846381.0,9846381,1.751788e-07,1,AT2G23140,AT2G23140,AT2G23140,0.0
4,Chr4_5061907.0,5061907,2.041112e-07,0,,,,
3,Chr3_13478967.0,13478967,2.056622e-07,0,,,,
2,Chr2_9840273.0,9840273,2.077805e-07,0,,,,
3,Chr3_3993113.0,3993113,2.12884e-07,1,AT3G12580,AT3G12580,AT3G12580,0.0
3,Chr3_3993137.0,3993137,2.12884e-07,1,AT3G12580,AT3G12580,AT3G12580,0.0
3,Chr3_3993173.0,3993173,2.12884e-07,1,AT3G12580,AT3G12580,AT3G12580,0.0
