chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
5,Chr5_22673647.0,22673647,3.107334e-26,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22673698.0,22673698,3.107334e-26,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22679551.0,22679551,1.7570640000000002e-23,1,AT5G56000,AT5G56000,AT5G56000,0.0
3,Chr3_7040324.0,7040324,8.98878e-22,0,,,,
3,Chr3_7042430.0,7042430,8.98878e-22,1,AT3G20170,AT3G20170,AT3G20170,0.0
5,Chr5_22679225.0,22679225,3.1785339999999998e-21,1,AT5G56000,AT5G56000,AT5G56000,0.0
5,Chr5_22679228.0,22679228,3.1785339999999998e-21,1,AT5G56000,AT5G56000,AT5G56000,0.0
5,Chr5_22679461.0,22679461,3.1785339999999998e-21,1,AT5G56000,AT5G56000,AT5G56000,0.0
5,Chr5_22679536.0,22679536,3.1785339999999998e-21,1,AT5G56000,AT5G56000,AT5G56000,0.0
5,Chr5_22679540.0,22679540,3.1785339999999998e-21,1,AT5G56000,AT5G56000,AT5G56000,0.0
1,Chr1_5057186.0,5057186,1.572931e-20,0,,,,
1,Chr1_15136663.0,15136663,1.9767e-20,0,,,,
1,Chr1_9333150.0,9333150,6.5293e-20,0,,,,
3,Chr3_7021314.0,7021314,7.535963999999999e-19,0,,,,
3,Chr3_7017123.0,7017123,1.801938e-18,1,AT3G20090,AT3G20090,AT3G20090,0.0
3,Chr3_6982307.0,6982307,1.833822e-18,0,,,,
5,Chr5_22679515.0,22679515,2.9441090000000005e-17,1,AT5G56000,AT5G56000,AT5G56000,0.0
1,Chr1_9337965.0,9337965,3.87512e-17,0,,,,
1,Chr1_9331635.0,9331635,3.974547e-17,0,,,,
1,Chr1_9326158.0,9326158,5.2786970000000007e-17,0,,,,
1,Chr1_9329089.0,9329089,5.2786970000000007e-17,0,,,,
1,Chr1_9331688.0,9331688,5.2786970000000007e-17,0,,,,
1,Chr1_9332044.0,9332044,5.2786970000000007e-17,0,,,,
1,Chr1_9334820.0,9334820,5.2786970000000007e-17,0,,,,
1,Chr1_17290923.0,17290923,5.61775e-17,0,,,,
5,Chr5_22580729.0,22580729,1.326256e-16,1,AT5G55790,AT5G55790,AT5G55790,0.0
2,Chr2_4908049.0,4908049,1.682545e-16,0,,,,
1,Chr1_9332721.0,9332721,1.73097e-16,0,,,,
1,Chr1_13259545.0,13259545,2.467908e-16,0,,,,
3,Chr3_6959621.0,6959621,4.937097e-16,1,AT3G19970,AT3G19970,AT3G19970,0.0
3,Chr3_6961394.0,6961394,4.937097e-16,1,AT3G19970,AT3G19970,AT3G19970,0.0
3,Chr3_6962632.0,6962632,4.937097e-16,1,AT3G19980,AT3G19980,AT3G19980,0.0
3,Chr3_6966605.0,6966605,4.937097e-16,1,AT3G19990,AT3G19990,AT3G19990,0.0
3,Chr3_6976704.0,6976704,4.937097e-16,0,,,,
3,Chr3_6978215.0,6978215,4.937097e-16,0,,,,
3,Chr3_6981261.0,6981261,4.937097e-16,0,,,,
3,Chr3_6982550.0,6982550,4.937097e-16,0,,,,
3,Chr3_6987877.0,6987877,4.937097e-16,1,AT3G20020,AT3G20020,AT3G20020,0.0
3,Chr3_6988722.0,6988722,4.937097e-16,0,,,,
1,Chr1_17304355.0,17304355,6.07836e-16,1,AT1G47220,AT1G47220,AT1G47220,0.0
1,Chr1_17344778.0,17344778,6.169973e-16,1,AT1G47310,AT1G47310,AT1G47310,0.0
5,Chr5_22863386.0,22863386,6.220985e-16,0,,,,
1,Chr1_28888133.0,28888133,6.445169e-16,0,,,,
1,Chr1_28889638.0,28889638,6.445169e-16,0,,,,
1,Chr1_28891868.0,28891868,6.445169e-16,0,,,,
1,Chr1_28894032.0,28894032,6.445169e-16,0,,,,
1,Chr1_28896118.0,28896118,6.445169e-16,1,AT1G76930,AT1G76930,AT1G76930,0.0
1,Chr1_28897681.0,28897681,6.445169e-16,0,,,,
1,Chr1_28898150.0,28898150,6.445169e-16,0,,,,
1,Chr1_28902591.0,28902591,6.445169e-16,1,AT1G76940,AT1G76940,AT1G76940,0.0
1,Chr1_28907676.0,28907676,6.445169e-16,1,AT1G76950,AT1G76950,AT1G76950,0.0
1,Chr1_28911839.0,28911839,6.445169e-16,0,,,,
4,Chr4_12995815.0,12995815,9.006522e-16,0,,,,
3,Chr3_7079626.0,7079626,1.332805e-15,1,AT3G20300,AT3G20300,AT3G20300,0.0
3,Chr3_7079747.0,7079747,1.332805e-15,1,AT3G20300,AT3G20300,AT3G20300,0.0
1,Chr1_17296689.0,17296689,1.7281e-15,0,,,,
1,Chr1_17297150.0,17297150,1.7281e-15,0,,,,
3,Chr3_11970635.0,11970635,1.958578e-15,0,,,,
1,Chr1_9283362.0,9283362,2.545303e-15,0,,,,
1,Chr1_4586678.0,4586678,3.010713e-15,0,,,,
2,Chr2_18417156.0,18417156,4.366752e-15,0,,,,
2,Chr2_18408091.0,18408091,5.072922e-15,0,,,,
5,Chr5_22678304.0,22678304,5.959022e-15,1,AT5G56000,AT5G56000,AT5G56000,0.0
3,Chr3_6840433.0,6840433,6.37641e-15,1,AT3G19680,AT3G19680,AT3G19680,0.0
3,Chr3_6842499.0,6842499,6.37641e-15,1,AT3G19690,AT3G19690,AT3G19690,0.0
1,Chr1_17358118.0,17358118,8.021391e-15,0,,,,
1,Chr1_17358908.0,17358908,8.021391e-15,1,AT1G47350,AT1G47350,AT1G47350,0.0
1,Chr1_17359082.0,17359082,8.021391e-15,1,AT1G47350,AT1G47350,AT1G47350,0.0
1,Chr1_17359426.0,17359426,8.021391e-15,1,AT1G47350,AT1G47350,AT1G47350,0.0
2,Chr2_18399963.0,18399963,8.278761e-15,0,,,,
5,Chr5_13908687.0,13908687,1.242636e-14,0,,,,
5,Chr5_8523452.0,8523452,1.264669e-14,1,AT5G24820,AT5G24820,AT5G24820,0.0
5,Chr5_22680014.0,22680014,1.629108e-14,1,AT5G56000,AT5G56000,AT5G56000,0.0
1,Chr1_17260138.0,17260138,1.666261e-14,0,,,,
1,Chr1_4350446.0,4350446,2.25198e-14,1,AT1G12760,AT1G12760,AT1G12760,0.0
1,Chr1_4366023.0,4366023,2.25198e-14,0,,,,
5,Chr5_22672320.0,22672320,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672340.0,22672340,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672397.0,22672397,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672402.0,22672402,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672519.0,22672519,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672543.0,22672543,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_22672567.0,22672567,2.60549e-14,1,AT5G55990,AT5G55990,AT5G55990,0.0
5,Chr5_582465.0,582465,2.611161e-14,0,,,,
1,Chr1_4367012.0,4367012,3.650353e-14,1,AT1G12805,AT1G12805,AT1G12805,0.0
5,Chr5_22666898.0,22666898,3.72436e-14,0,,,,
5,Chr5_22902268.0,22902268,4.703988e-14,0,,,,
1,Chr1_25698272.0,25698272,6.72713e-14,0,,,,
1,Chr1_25698276.0,25698276,6.72713e-14,0,,,,
1,Chr1_25698284.0,25698284,6.72713e-14,0,,,,
1,Chr1_25496982.0,25496982,7.087002e-14,0,,,,
1,Chr1_21145663.0,21145663,7.368457e-14,0,,,,
1,Chr1_9238095.0,9238095,7.512306e-14,0,,,,
1,Chr1_17294268.0,17294268,7.768213e-14,0,,,,
1,Chr1_17294896.0,17294896,7.768213e-14,0,,,,
1,Chr1_9226035.0,9226035,8.178334e-14,0,,,,
1,Chr1_9294390.0,9294390,8.318009e-14,0,,,,
1,Chr1_9240310.0,9240310,9.830525e-14,0,,,,
1,Chr1_9245171.0,9245171,9.830525e-14,1,AT1G26740,AT1G26740,AT1G26740,0.0
1,Chr1_9254711.0,9254711,9.830525e-14,0,,,,
1,Chr1_9263744.0,9263744,9.830525e-14,0,,,,
5,Chr5_22271413.0,22271413,1.014184e-13,1,AT5G54820,AT5G54820,AT5G54820,0.0
5,Chr5_21998187.0,21998187,1.023171e-13,0,,,,
1,Chr1_8945206.0,8945206,1.055765e-13,2,AT1G25470;AT1G25472,AT1G25470,AT1G25470,0.0
1,Chr1_8947898.0,8947898,1.055765e-13,0,,,,
1,Chr1_8949574.0,8949574,1.055765e-13,1,AT1G25480,AT1G25480,AT1G25480,0.0
