chr,rs,ps,p_wald,n_genes_25kb,genes_in_25kb,closest_gene,closest_gene_id,closest_gene_distance_bp
4,Chr4_13239858.0,13239858,8.006153e-13,0,,,,
1,Chr1_26896820.0,26896820,4.028774e-12,0,,,,
1,Chr1_26904015.0,26904015,4.028774e-12,0,,,,
4,Chr4_12996784.0,12996784,4.128643e-12,0,,,,
1,Chr1_26897202.0,26897202,1.381255e-11,1,AT1G71370,AT1G71370,AT1G71370,0.0
1,Chr1_26897210.0,26897210,1.381255e-11,1,AT1G71370,AT1G71370,AT1G71370,0.0
1,Chr1_26897227.0,26897227,1.381255e-11,1,AT1G71370,AT1G71370,AT1G71370,0.0
1,Chr1_26898980.0,26898980,2.271038e-11,1,AT1G71370,AT1G71370,AT1G71370,0.0
1,Chr1_26898513.0,26898513,1.142518e-10,1,AT1G71370,AT1G71370,AT1G71370,0.0
2,Chr2_6766181.0,6766181,2.01913e-10,0,,,,
5,Chr5_11923984.0,11923984,1.09385e-09,0,,,,
5,Chr5_11924008.0,11924008,1.09385e-09,0,,,,
1,Chr1_18243888.0,18243888,1.179085e-09,0,,,,
3,Chr3_12412254.0,12412254,1.212498e-09,0,,,,
3,Chr3_13960065.0,13960065,1.334055e-09,0,,,,
5,Chr5_14966117.0,14966117,2.476759e-09,0,,,,
1,Chr1_4303226.0,4303226,2.642668e-09,0,,,,
3,Chr3_16488422.0,16488422,4.23265e-09,0,,,,
3,Chr3_16488497.0,16488497,4.23265e-09,0,,,,
3,Chr3_9841858.0,9841858,4.651193e-09,1,AT3G26750,AT3G26750,AT3G26750,0.0
3,Chr3_14051620.0,14051620,4.6996e-09,0,,,,
4,Chr4_11643396.0,11643396,4.90374e-09,1,AT4G21940,AT4G21940,AT4G21940,0.0
5,Chr5_13990510.0,13990510,6.187135e-09,0,,,,
1,Chr1_21387265.0,21387265,6.772889e-09,0,,,,
1,Chr1_21387268.0,21387268,6.772889e-09,0,,,,
4,Chr4_5363636.0,5363636,1.151972e-08,0,,,,
4,Chr4_13685062.0,13685062,1.15399e-08,0,,,,
3,Chr3_18844691.0,18844691,1.240636e-08,0,,,,
3,Chr3_16493189.0,16493189,1.271903e-08,1,AT3G45090,AT3G45090,AT3G45090,0.0
3,Chr3_15359083.0,15359083,1.927091e-08,0,,,,
3,Chr3_22634020.0,22634020,2.192906e-08,1,AT3G61150,AT3G61150,AT3G61150,0.0
3,Chr3_22238781.0,22238781,2.233664e-08,0,,,,
3,Chr3_4809873.0,4809873,3.056906e-08,0,,,,
1,Chr1_26904965.0,26904965,3.563426e-08,0,,,,
4,Chr4_17671583.0,17671583,3.565993e-08,1,AT4G37610,AT4G37610,AT4G37610,0.0
5,Chr5_21972162.0,21972162,3.837842e-08,0,,,,
5,Chr5_6714016.0,6714016,4.329045e-08,0,,,,
5,Chr5_6714814.0,6714814,4.329045e-08,1,AT5G19860,AT5G19860,AT5G19860,0.0
4,Chr4_5791233.0,5791233,4.440127e-08,0,,,,
2,Chr2_6777260.0,6777260,4.785342e-08,1,AT2G15530,AT2G15530,AT2G15530,0.0
4,Chr4_13693585.0,13693585,5.079232e-08,0,,,,
1,Chr1_11601707.0,11601707,5.501369e-08,0,,,,
1,Chr1_19823745.0,19823745,5.759191e-08,0,,,,
5,Chr5_9474305.0,9474305,6.686607e-08,0,,,,
3,Chr3_3435697.0,3435697,7.10242e-08,1,AT3G10970,AT3G10970,AT3G10970,0.0
3,Chr3_3437161.0,3437161,7.10242e-08,0,,,,
4,Chr4_4704459.0,4704459,8.870781e-08,0,,,,
4,Chr4_4704763.0,4704763,8.870781e-08,0,,,,
1,Chr1_4107704.0,4107704,9.233329e-08,1,AT1G12110,AT1G12110,AT1G12110,0.0
1,Chr1_4107737.0,4107737,1.035672e-07,1,AT1G12110,AT1G12110,AT1G12110,0.0
3,Chr3_16494983.0,16494983,1.100942e-07,0,,,,
1,Chr1_59740.0,59740,1.112163e-07,0,,,,
2,Chr2_6770624.0,6770624,1.185381e-07,0,,,,
3,Chr3_22048717.0,22048717,1.322156e-07,0,,,,
3,Chr3_22048718.0,22048718,1.322156e-07,0,,,,
3,Chr3_13478967.0,13478967,1.387049e-07,0,,,,
4,Chr4_4339545.0,4339545,1.418617e-07,0,,,,
