"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"IRGC_58278",67.699444,33.926111,"rice",3336,0.3336
"IRIS_313-9783",67.69944,33.92611,"rice",3336,0.3336
"IRGC_117281",90.339722,23.611667,"rice",13013,1.3013
"IRGC_25897",90,24.25,"rice",11347,1.1347
"IRGC_25924",89.33333,23.25,"rice",10311,1.0311
"IRGC_27513",90.5,22.66667,"rice",14227,1.4227
"IRGC_29066",90.339722,23.611667,"rice",13013,1.3013
"IRGC_32565",90.339722,23.611667,"rice",13013,1.3013
"IRGC_6208",90.339722,23.611667,"rice",13013,1.3013
"IRGC_6588",90.339722,23.611667,"rice",13013,1.3013
"IRGC_6590",90.339722,23.611667,"rice",13013,1.3013
"IRGC_66792",92.41667,24.86667,"rice",21824,2.1824
"IRGC_8341",90.339722,23.611667,"rice",13013,1.3013
"IRIS_313-10587",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10592",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10593",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10594",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10595",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10598",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10600",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10602",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10603",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10604",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10605",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10606",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10963",92,22.41667,"rice",17358,1.7358
"IRIS_313-10964",89.33333,23.25,"rice",10311,1.0311
"IRIS_313-10965",92,22.41667,"rice",17358,1.7358
"IRIS_313-10971",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10972",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10973",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10974",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10975",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10976",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10977",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10978",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10979",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10980",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10981",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10982",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10983",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10984",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10985",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10986",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-10987",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11013",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11014",90.33333,24.5,"rice",12704,1.2704
"IRIS_313-11015",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11016",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11017",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11018",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11019",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11047",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11048",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11049",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11051",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11052",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11053",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11054",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11055",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11056",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11057",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11058",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11059",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11060",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11061",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11062",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11063",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11064",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11065",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11066",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11067",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11068",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11069",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11070",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11111",90.33972,23.61167,"rice",13013,1.3013
"IRIS_313-11112",90.33972,23.61167,"rice",13013,1.3013
