"species","snp","chr","pos","p","logp","p_cutoff","cutoff_logp","bonf_cutoff","bonf_logp"
"Arabidopsis","Chr4_13239858.0","4",13239858,1.516849e-12,11.8190576504135,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26896820.0","1",26896820,5.27056e-12,11.2781432383,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26904015.0","1",26904015,5.27056e-12,11.2781432383,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr4_12996784.0","4",12996784,7.269351e-12,11.1385043607641,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26897202.0","1",26897202,1.746208e-11,10.7579040264541,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26897210.0","1",26897210,1.746208e-11,10.7579040264541,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26897227.0","1",26897227,1.746208e-11,10.7579040264541,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26898980.0","1",26898980,2.861323e-11,10.5434331141627,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_26898513.0","1",26898513,1.40326e-10,9.85286185420051,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr2_6766181.0","2",6766181,2.787807e-10,9.55473729575923,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_12412254.0","3",12412254,6.530651e-10,9.18504352444994,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr5_11923984.0","5",11923984,1.0847e-09,8.9646903598432,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr5_11924008.0","5",11924008,1.0847e-09,8.9646903598432,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_13960065.0","3",13960065,1.404103e-09,8.85260103273976,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_18243888.0","1",18243888,1.930636e-09,8.71429959990931,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_4303226.0","1",4303226,2.837241e-09,8.54710377293703,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_14051620.0","3",14051620,3.66896e-09,8.43545702301483,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr5_14966117.0","5",14966117,4.331728e-09,8.36333882162377,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr4_11643396.0","4",11643396,4.9519e-09,8.30522813415892,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_9841858.0","3",9841858,5.554644e-09,8.25534376998863,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr4_900691.0","4",900691,5.766835e-09,8.23906247439362,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr4_905513.0","4",905513,5.766835e-09,8.23906247439362,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr4_906393.0","4",906393,5.766835e-09,8.23906247439362,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_16488422.0","3",16488422,7.436725e-09,8.12861827783626,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_16488497.0","3",16488497,7.436725e-09,8.12861827783626,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_21387265.0","1",21387265,8.204337e-09,8.08595650892843,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr1_21387268.0","1",21387268,8.204337e-09,8.08595650892843,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr5_13990510.0","5",13990510,8.887365e-09,8.05122698319049,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Arabidopsis","Chr3_18844691.0","3",18844691,1.108384e-08,7.95530975207229,0.002690582,2.57015376756291,1.42731416869084e-08,7.84548042302306
"Barley","chr3H:140202822\T,\C","3H",140202822,5.114177e-11,10.291224245259,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr1H:4379216\G,\A","1H",4379216,2.506187e-10,9.60098652710158,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr2H:32065428\T,\G","2H",32065428,4.239663e-10,9.37266866299619,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr5H:374080462\A,\G","5H",374080462,5.301421e-10,9.27560770591942,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr3H:509739609\A,\C","3H",509739609,1.066258e-09,8.97213769735519,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr2H:636962801\G,\T","2H",636962801,2.996172e-09,8.52343325889422,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr1H:431099118\A,\G","1H",431099118,3.024729e-09,8.51931352979724,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr6H:387051087\G,\C","6H",387051087,5.404177e-09,8.26727043521173,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr7H:20555204\T,\C","7H",20555204,5.65496e-09,8.24757046268206,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr6H:412070648\G,\T","6H",412070648,7.770415e-09,8.1095557859099,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr3H:580673817\T,\G","3H",580673817,8.539281e-09,8.06857869498758,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr3H:326965418\A,\G","3H",326965418,9.850387e-09,8.00654670669398,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr2H:31251295\T,\G","2H",31251295,1.289987e-08,7.88941466633386,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr6H:497899066\C,\T","6H",497899066,1.535131e-08,7.81385455820008,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr3H:291558494\T,\G","3H",291558494,2.110244e-08,7.67566732587434,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr2H:291574791\C,\T","2H",291574791,2.644037e-08,7.57773247173428,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr1H:16534165\A,\G","1H",16534165,3.164207e-08,7.49973511303241,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr7H:11293388\A,\C","7H",11293388,3.564929e-08,7.44794911524136,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr6H:430076073\C,\G","6H",430076073,3.780328e-08,7.4224705169855,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr7H:11291335\T,\C","7H",11291335,4.383028e-08,7.35822575494343,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr5H:36311052\A,\C","5H",36311052,5.195943e-08,7.28433562182558,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr3H:17964751\C,\T","3H",17964751,6.221076e-08,7.20613449305067,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
"Barley","chr5H:584100614\T,\G","5H",584100614,6.993561e-08,7.15530163271613,0.00295362,2.52964537988352,1.01593390740372e-07,6.99313454459493
