"Lines","Long","Lat","crop","matemp_value"
"88",0.683333,47.4,"arabidopsis",11.8291664123535
"108",-4.06667,48.5167,"arabidopsis",11.1000003814697
"139",-4.06667,48.5167,"arabidopsis",11.1000003814697
"159",3.93333,47.35,"arabidopsis",9.32499980926514
"265",-1.16667,44.65,"arabidopsis",12.9624996185303
"350",4.11667,46.6667,"arabidopsis",10.720832824707
"351",4.11667,46.6667,"arabidopsis",10.720832824707
"403",16.2667,49.3667,"arabidopsis",7.80416679382324
"410",16.3497,49.4211,"arabidopsis",7.94166660308838
"424",16.2815,49.4112,"arabidopsis",7.39583349227905
"428",16.232,49.403,"arabidopsis",7.34583330154419
"430",15.5,47,"arabidopsis",9.0416669845581
"470",-87.735,40.8313,"arabidopsis",10.1666669845581
"476",-87.735,40.8313,"arabidopsis",10.1666669845581
"484",-87.735,40.8313,"arabidopsis",10.1666669845581
"504",-87.735,40.8313,"arabidopsis",10.1666669845581
"506",-87.735,40.8313,"arabidopsis",10.1666669845581
"531",-87.735,40.8313,"arabidopsis",10.1666669845581
"544",-73.2089,40.9076,"arabidopsis",11.1833333969116
"546",-73.2089,40.9076,"arabidopsis",11.1833333969116
"628",-72.9069,40.7777,"arabidopsis",11.1458330154419
"630",-72.9069,40.7777,"arabidopsis",11.1458330154419
"680",-72.8615,40.9447,"arabidopsis",10.8999996185303
"681",-72.8615,40.9447,"arabidopsis",10.8999996185303
"685",-73.1493,40.9064,"arabidopsis",10.970832824707
"687",-73.1493,40.9064,"arabidopsis",10.970832824707
"728",-73.114,40.9352,"arabidopsis",11.1125001907349
"742",-73.114,40.9352,"arabidopsis",11.1125001907349
"763",74.3667,42.3,"arabidopsis",-2.99583339691162
"765",73.41,42.19,"arabidopsis",-2.39166665077209
"766",73.6333,42.5833,"arabidopsis",-4.28333330154419
"768",76.35,42.8,"arabidopsis",0.71666669845581
"772",72.4667,37.35,"arabidopsis",1.625
"801",-84.4639,37.9169,"arabidopsis",12.5583333969116
"853",-86.6691,41.7976,"arabidopsis",9.5833330154419
"854",-86.6691,41.7976,"arabidopsis",9.5833330154419
"867",-86.4366,41.8266,"arabidopsis",9.5833330154419
"868",-86.4366,41.8266,"arabidopsis",9.5833330154419
"870",-86.4366,41.8266,"arabidopsis",9.5833330154419
"915",-71.4378,41.8972,"arabidopsis",9.7083330154419
"932",-71.1445,42.3634,"arabidopsis",10.2083330154419
"991",14.0526813,55.3822641,"arabidopsis",NA
"992",14.0526813,55.3822641,"arabidopsis",NA
"997",14.0526813,55.3822641,"arabidopsis",NA
"1002",14.0526813,55.3822641,"arabidopsis",NA
