"species","domain","term_full","p_raw","go_id","term"
"arabidopsis","BP","biological regulation (GO:0065007)",2.93e-23,"GO:0065007","biological regulation"
"arabidopsis","BP","regulation of biological process (GO:0050789)",2.08e-21,"GO:0050789","regulation of biological process"
"arabidopsis","BP","regulation of cellular process (GO:0050794)",5.67e-21,"GO:0050794","regulation of cellular process"
"arabidopsis","BP","regulation of gene expression (GO:0010468)",2.4e-15,"GO:0010468","regulation of gene expression"
"arabidopsis","BP","regulation of macromolecule biosynthetic process (GO:0010556)",2.5e-15,"GO:0010556","regulation of macromolecule biosynthetic process"
"arabidopsis","BP","regulation of macromolecule metabolic process (GO:0060255)",2.19e-14,"GO:0060255","regulation of macromolecule metabolic process"
"arabidopsis","BP","regulation of biosynthetic process (GO:0009889)",4.22e-14,"GO:0009889","regulation of biosynthetic process"
"arabidopsis","BP","regulation of metabolic process (GO:0019222)",6.66e-14,"GO:0019222","regulation of metabolic process"
"arabidopsis","BP","response to stimulus (GO:0050896)",6.39e-13,"GO:0050896","response to stimulus"
"arabidopsis","BP","response to chemical (GO:0042221)",9.8e-13,"GO:0042221","response to chemical"
"arabidopsis","BP","regulation of RNA biosynthetic process (GO:2001141)",1.13e-12,"GO:2001141","regulation of RNA biosynthetic process"
"arabidopsis","BP","regulation of DNA-templated transcription (GO:0006355)",1.13e-12,"GO:0006355","regulation of DNA-templated transcription"
"arabidopsis","BP","regulation of RNA metabolic process (GO:0051252)",5.04e-12,"GO:0051252","regulation of RNA metabolic process"
"arabidopsis","BP","regulation of nucleobase-containing compound metabolic process (GO:0019219)",5.54e-12,"GO:0019219","regulation of nucleobase-containing compound metabolic process"
"arabidopsis","BP","regulation of primary metabolic process (GO:0080090)",8.45e-12,"GO:0080090","regulation of primary metabolic process"
"arabidopsis","BP","cellular process (GO:0009987)",1.92e-11,"GO:0009987","cellular process"
"arabidopsis","BP","cellular response to stimulus (GO:0051716)",5.08e-11,"GO:0051716","cellular response to stimulus"
"arabidopsis","BP","response to oxygen-containing compound (GO:1901700)",7.89e-11,"GO:1901700","response to oxygen-containing compound"
"arabidopsis","BP","response to lipid (GO:0033993)",3.44e-09,"GO:0033993","response to lipid"
"arabidopsis","BP","response to endogenous stimulus (GO:0009719)",4.02e-09,"GO:0009719","response to endogenous stimulus"
"arabidopsis","BP","response to hormone (GO:0009725)",4.65e-09,"GO:0009725","response to hormone"
"arabidopsis","BP","signal transduction (GO:0007165)",8.22e-09,"GO:0007165","signal transduction"
"arabidopsis","BP","cell communication (GO:0007154)",2.25e-08,"GO:0007154","cell communication"
"arabidopsis","BP","signaling (GO:0023052)",4.53e-08,"GO:0023052","signaling"
"arabidopsis","BP","regulation of developmental process (GO:0050793)",1.42e-07,"GO:0050793","regulation of developmental process"
"arabidopsis","MF","DNA-binding transcription factor activity (GO:0003700)",5.41e-15,"GO:0003700","DNA-binding transcription factor activity"
"arabidopsis","MF","transcription regulator activity (GO:0140110)",9.22e-15,"GO:0140110","transcription regulator activity"
"arabidopsis","MF","DNA binding (GO:0003677)",1.84e-14,"GO:0003677","DNA binding"
"arabidopsis","MF","binding (GO:0005488)",7.15e-13,"GO:0005488","binding"
"arabidopsis","MF","sequence-specific DNA binding (GO:0043565)",2.04e-12,"GO:0043565","sequence-specific DNA binding"
"arabidopsis","MF","sequence-specific double-stranded DNA binding (GO:1990837)",4.53e-12,"GO:1990837","sequence-specific double-stranded DNA binding"
"arabidopsis","MF","transcription regulatory region nucleic acid binding (GO:0001067)",1.41e-11,"GO:0001067","transcription regulatory region nucleic acid binding"
"arabidopsis","MF","transcription cis-regulatory region binding (GO:0000976)",1.41e-11,"GO:0000976","transcription cis-regulatory region binding"
"arabidopsis","MF","protein binding (GO:0005515)",1.54e-11,"GO:0005515","protein binding"
"arabidopsis","MF","double-stranded DNA binding (GO:0003690)",5.18e-11,"GO:0003690","double-stranded DNA binding"
"arabidopsis","MF","catalytic activity (GO:0003824)",3.33e-09,"GO:0003824","catalytic activity"
"arabidopsis","MF","ion binding (GO:0043167)",1.5e-08,"GO:0043167","ion binding"
"arabidopsis","MF","small molecule binding (GO:0036094)",1.07e-07,"GO:0036094","small molecule binding"
"arabidopsis","MF","adenyl ribonucleotide binding (GO:0032559)",4.38e-07,"GO:0032559","adenyl ribonucleotide binding"
"arabidopsis","MF","structural constituent of ribosome (GO:0003735)",1.27e-06,"GO:0003735","structural constituent of ribosome"
"arabidopsis","MF","adenyl nucleotide binding (GO:0030554)",1.49e-06,"GO:0030554","adenyl nucleotide binding"
"arabidopsis","MF","""NAD+ nucleosidase activity, cyclic ADP-ribose generating (GO:0061809)""",1.79e-06,"GO:0061809","""NAD+ nucleosidase activity, cyclic ADP-ribose generating (GO:0061809)"""
"arabidopsis","MF","ATP binding (GO:0005524)",3.07e-06,"GO:0005524","ATP binding"
"arabidopsis","MF","cis-regulatory region sequence-specific DNA binding (GO:0000987)",3.1e-06,"GO:0000987","cis-regulatory region sequence-specific DNA binding"
"arabidopsis","MF","anion binding (GO:0043168)",3.99e-06,"GO:0043168","anion binding"
"arabidopsis","MF","""catalytic activity, acting on a protein (GO:0140096)""",5.2e-06,"GO:0140096","""catalytic activity, acting on a protein (GO:0140096)"""
"arabidopsis","MF","heterocyclic compound binding (GO:1901363)",1.72e-05,"GO:1901363","heterocyclic compound binding"
"arabidopsis","MF","purine ribonucleotide binding (GO:0032555)",2.05e-05,"GO:0032555","purine ribonucleotide binding"
"arabidopsis","MF","""hydrolase activity, acting on glycosyl bonds (GO:0016798)""",2.13e-05,"GO:0016798","""hydrolase activity, acting on glycosyl bonds (GO:0016798)"""
"arabidopsis","MF","ribonucleotide binding (GO:0032553)",2.23e-05,"GO:0032553","ribonucleotide binding"
"barley","BP","defense response (GO:0006952)",0.000566,"GO:0006952","defense response"
"barley","BP","cytokinin-activated signaling pathway (GO:0009736)",0.000703,"GO:0009736","cytokinin-activated signaling pathway"
"barley","BP","cellular response to cytokinin stimulus (GO:0071368)",0.000703,"GO:0071368","cellular response to cytokinin stimulus"
"barley","BP","response to stimulus (GO:0050896)",0.00093,"GO:0050896","response to stimulus"
"barley","BP","response to cytokinin (GO:0009735)",0.00104,"GO:0009735","response to cytokinin"
"barley","BP","phosphorelay signal transduction system (GO:0000160)",0.00207,"GO:0000160","phosphorelay signal transduction system"
"barley","BP","export across plasma membrane (GO:0140115)",0.00283,"GO:0140115","export across plasma membrane"
"barley","BP","hormone-mediated signaling pathway (GO:0009755)",0.00345,"GO:0009755","hormone-mediated signaling pathway"
"barley","BP","cellular response to hormone stimulus (GO:0032870)",0.00362,"GO:0032870","cellular response to hormone stimulus"
"barley","BP","cellular response to endogenous stimulus (GO:0071495)",0.00367,"GO:0071495","cellular response to endogenous stimulus"
"barley","BP","mRNA catabolic process (GO:0006402)",0.00463,"GO:0006402","mRNA catabolic process"
"barley","BP","xenobiotic export from cell (GO:0046618)",0.00607,"GO:0046618","xenobiotic export from cell"
"barley","BP","xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)",0.00607,"GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane"
"barley","BP","nuclear-transcribed mRNA catabolic process (GO:0000956)",0.0064,"GO:0000956","nuclear-transcribed mRNA catabolic process"
"barley","BP","biotin biosynthetic process (GO:0009102)",0.00866,"GO:0009102","biotin biosynthetic process"
"barley","BP","biotin metabolic process (GO:0006768)",0.00866,"GO:0006768","biotin metabolic process"
"barley","BP","L-serine biosynthetic process (GO:0006564)",0.00866,"GO:0006564","L-serine biosynthetic process"
"barley","BP","nucleic acid catabolic process (GO:0141188)",0.00896,"GO:0141188","nucleic acid catabolic process"
"barley","BP","export from cell (GO:0140352)",0.0101,"GO:0140352","export from cell"
"barley","BP","post-embryonic development (GO:0009791)",0.0102,"GO:0009791","post-embryonic development"
"barley","BP","negative regulation of translation (GO:0017148)",0.0108,"GO:0017148","negative regulation of translation"
"barley","BP","response to stress (GO:0006950)",0.0125,"GO:0006950","response to stress"
"barley","BP","magnesium ion transmembrane transport (GO:1903830)",0.0127,"GO:1903830","magnesium ion transmembrane transport"
"barley","BP","magnesium ion transport (GO:0015693)",0.0127,"GO:0015693","magnesium ion transport"
"barley","BP","macromolecule catabolic process (GO:0009057)",0.0143,"GO:0009057","macromolecule catabolic process"
"barley","MF","calmodulin binding (GO:0005516)",2.23e-07,"GO:0005516","calmodulin binding"
"barley","MF","phosphoglycerate dehydrogenase activity (GO:0004617)",0.000497,"GO:0004617","phosphoglycerate dehydrogenase activity"
"barley","MF","protein-containing complex binding (GO:0044877)",0.00375,"GO:0044877","protein-containing complex binding"
"barley","MF","rRNA N-glycosylase activity (GO:0030598)",0.0127,"GO:0030598","rRNA N-glycosylase activity"
"barley","MF","magnesium ion transmembrane transporter activity (GO:0015095)",0.0127,"GO:0015095","magnesium ion transmembrane transporter activity"
"barley","MF","RNA glycosylase activity (GO:0030597)",0.0146,"GO:0030597","RNA glycosylase activity"
"barley","MF","actin filament binding (GO:0051015)",0.0165,"GO:0051015","actin filament binding"
"barley","MF","actin binding (GO:0003779)",0.0184,"GO:0003779","actin binding"
"barley","MF","xenobiotic transmembrane transporter activity (GO:0042910)",0.0189,"GO:0042910","xenobiotic transmembrane transporter activity"
"barley","MF","5'-3' RNA exonuclease activity (GO:0004534)",0.0243,"GO:0004534","5'-3' RNA exonuclease activity"
"barley","MF","auxin receptor activity (GO:0038198)",0.0243,"GO:0038198","auxin receptor activity"
"barley","MF","histone octamer slider activity (GO:0140751)",0.0243,"GO:0140751","histone octamer slider activity"
"barley","MF","nucleosome array spacer activity (GO:0140750)",0.0243,"GO:0140750","nucleosome array spacer activity"
"barley","MF","double-stranded methylated DNA binding (GO:0010385)",0.0249,"GO:0010385","double-stranded methylated DNA binding"
"barley","MF","snoRNP binding (GO:0030519)",0.0249,"GO:0030519","snoRNP binding"
"barley","MF","""dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity (GO:0052917)""",0.0249,"GO:0052917","""dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity (GO:0052917)"""
"barley","MF","3-deoxy-manno-octulosonate cytidylyltransferase activity (GO:0008690)",0.0249,"GO:0008690","3-deoxy-manno-octulosonate cytidylyltransferase activity"
"barley","MF","box C/D methylation guide snoRNP complex binding (GO:0062064)",0.0249,"GO:0062064","box C/D methylation guide snoRNP complex binding"
"barley","MF","cysteine-type carboxypeptidase activity (GO:0016807)",0.0249,"GO:0016807","cysteine-type carboxypeptidase activity"
"barley","MF","xanthine dehydrogenase activity (GO:0004854)",0.0249,"GO:0004854","xanthine dehydrogenase activity"
"barley","MF","proteoglycan sulfotransferase activity (GO:0050698)",0.0249,"GO:0050698","proteoglycan sulfotransferase activity"
"barley","MF","dethiobiotin synthase activity (GO:0004141)",0.0249,"GO:0004141","dethiobiotin synthase activity"
"barley","MF","N-terminal protein N-methyltransferase activity (GO:0071885)",0.0249,"GO:0071885","N-terminal protein N-methyltransferase activity"
"barley","MF","biotin synthase activity (GO:0004076)",0.0249,"GO:0004076","biotin synthase activity"
"barley","MF","cysteine-type exopeptidase activity (GO:0070004)",0.0249,"GO:0070004","cysteine-type exopeptidase activity"
"maize","BP","anatomical structure development (GO:0048856)",8.07e-08,"GO:0048856","anatomical structure development"
"maize","BP","developmental process (GO:0032502)",1.7e-07,"GO:0032502","developmental process"
"maize","BP","biological_process (GO:0008150)",2.29e-07,"GO:0008150","biological_process"
"maize","BP","multicellular organismal process (GO:0032501)",1.05e-06,"GO:0032501","multicellular organismal process"
"maize","BP","multicellular organism development (GO:0007275)",2.77e-06,"GO:0007275","multicellular organism development"
"maize","BP","system development (GO:0048731)",9.42e-06,"GO:0048731","system development"
"maize","BP","developmental process involved in reproduction (GO:0003006)",2.82e-05,"GO:0003006","developmental process involved in reproduction"
"maize","BP","reproductive process (GO:0022414)",4.7e-05,"GO:0022414","reproductive process"
"maize","BP","regulation of response to salt stress (GO:1901000)",0.000155,"GO:1901000","regulation of response to salt stress"
"maize","BP","regulation of response to osmotic stress (GO:0047484)",0.000155,"GO:0047484","regulation of response to osmotic stress"
"maize","BP","gametophyte development (GO:0048229)",0.000197,"GO:0048229","gametophyte development"
"maize","BP","cellular process (GO:0009987)",0.000216,"GO:0009987","cellular process"
"maize","BP","shoot system development (GO:0048367)",0.00039,"GO:0048367","shoot system development"
"maize","BP","reproductive structure development (GO:0048608)",0.000717,"GO:0048608","reproductive structure development"
"maize","BP","reproductive system development (GO:0061458)",0.000757,"GO:0061458","reproductive system development"
"maize","BP","regulation of nucleobase-containing compound metabolic process (GO:0019219)",0.00091,"GO:0019219","regulation of nucleobase-containing compound metabolic process"
