Phenotype,Species,Locus_rank,Chr,Lead_SNP_Position,Lead_SNP_ID,NegLog10P,Lead_gene,Candidate_genes_in_window
PC1,Arabidopsis,1,2,6790913,Chr2_6790913.0,15.6654328645367,AT2G15570,AT2G15570;AT2G15560;AT2G15555;AT2G15580
PC1,Arabidopsis,2,4,11405588,Chr4_11405588.0,10.6949176754553,AT4G21410,AT4G21410;AT4G21430;AT4G21400;AT4G21390
PC1,Arabidopsis,3,5,9275721,Chr5_9275721.0,10.3778048417861,AT5G26667,AT5G26667;AT5G26673;AT5G26594;AT5G26692;AT5G26570;AT5G26717;AT5G26742
PC1,Barley,1,2H,22482635,"chr2H:22482635\A,\G",7.93381128117588,HORVU.MOREX.r3.2HG0105960,HORVU.MOREX.r3.2HG0105960;HORVU.MOREX.r3.2HG0105980
PC1,Barley,2,6H,9409955,"chr6H:9409955\A,\G",7.84704146327756,HORVU.MOREX.r3.6HG0542020,HORVU.MOREX.r3.6HG0542020
PC1,Barley,3,5H,62518220,"chr5H:62518220\C,\G",7.63900693169408,HORVU.MOREX.r3.5HG0437920,HORVU.MOREX.r3.5HG0437920
PC1,Rice,1,3,23067201,"9311_chr03:23067201\C,\T",18.4444974580159,LOC_Os03g41438,LOC_Os03g41438;LOC_Os03g41460;LOC_Os03g41470
PC1,Rice,2,10,1555970,"9311_chr10:1555970\G,\A",16.2162571680029,LOC_Os10g03600,LOC_Os10g03600;LOC_Os10g03590;LOC_Os10g03610;LOC_Os10g03620;LOC_Os10g03570
PC1,Rice,3,5,19889788,"9311_chr05:19889788\C,\T",14.622514712235,LOC_Os05g33760,LOC_Os05g33760;LOC_Os05g33750
PC1,Maize,1,2,191557757,S2_191557757,7.04455548422191,Zm00001eb100820,Zm00001eb100820;Zm00001eb100830
PC1,Maize,2,6,109983032,S6_109983032,5.57667776250229,Zm00001eb276150,Zm00001eb276150;Zm00001eb276140
PC1,Maize,3,5,159169143,S5_159169143,5.57403072485996,Zm00001eb240160,Zm00001eb240160;Zm00001eb240150
PC1,Sorghum,1,6,56483441,S6_56483441,7.11327487547608,SORBI_3006G217000,SORBI_3006G217000;SORBI_3006G217100;SORBI_3006G217200;SORBI_3006G216900;SORBI_3006G217300;SORBI_3006G217400;SORBI_3006G216800;SORBI_3006G217500
PC1,Sorghum,2,7,12052511,S7_12052511,6.63144629661441,SORBI_3007G087900,SORBI_3007G087900;SORBI_3007G088000
